"","STUDY_ID.1","STUDY_ID","REVIEWERS","INCLUDE.x","INCLUDE.1","TITLE","AU","PY","ABSTRACT","X","dec","INCLUDE.y"
"526",3247,44,"Anna","YES","MAYBE","The use of farmers' knowledge in coffee agroforestry management: implications for the conservation of tree biodiversity","VALENCIA VIVIAN;WEST PAIGE;STERLING ELEANOR J;GARCIA-BARRIOS LUIS;NAEEM SHAHID",2015,"In agroforestry systems, the survival of shade trees is often the result of farmers' deliberate selection. Therefore, how communities generate knowledge and apply it to resource management practices influence the potential for biodiversity conservation of agroforestry systems. In this study, we investigated the use of knowledge by farmers to manage coffee (coffea arabica) agroforests and the consequences for the conservation of tree biodiversity and composition of surrounding forests. We interviewed 50 coffee farmers to investigate their shade tree preferences and sources of knowledge of the properties of shade trees and coffee management practices; we also conducted tree inventories in 31 coffee farms and 10 forest sites in la sepultura biosphere reserve in chiapas, mexico. Our results showed that farmers are modifying agroforests according to their knowledge and tree preferences, and that the resulting agroforest is lower in tree diversity and dominated by pioneer and farmers' preferred tree species as compared to forests. The principal sources of knowledge of management practices are external sources, such as governmental and non-governmental organizations, whereas the primary source of tree specific knowledge is empirical knowledge. We found that the higher proportion of pioneer trees relative to forest is mostly explained by farmers' tree selection decisions (63%) rather than as a byproduct of management practices (37%) that disturb the soil and open the canopy, altering light penetration and microclimate conditions. Based on interviews and tree inventories, we found that farmers gradually replace canopy trees of neutral and disliked species by preferred species, in particular inga spp. We found that external sources continue to promote the idea that inga spp. Trees bring significant benefits to coffee production in spite of a lack of scientific evidence to support this claim. This indicates that farmers are receptive to incorporate outside knowledge into their knowledge systems and adapt their resource management practices accordingly. Our findings highlight the importance of disseminating sound and clear scientific information to practitioners who work directly with farming communities to ensure that accurate and up-to-date information is being contributed to local knowledge systems.",NA,1,2
"527",3247,44,"EmilyD","YES","MAYBE","The use of farmers' knowledge in coffee agroforestry management: implications for the conservation of tree biodiversity","VALENCIA VIVIAN;WEST PAIGE;STERLING ELEANOR J;GARCIA-BARRIOS LUIS;NAEEM SHAHID",2015,"in agroforestry systems, the survival of shade trees is often the result of farmers' deliberate selection. therefore, how communities generate knowledge and apply it to resource management practices influence the potential for biodiversity conservation of agroforestry systems. in this study, we investigated the use of knowledge by farmers to manage coffee (coffea arabica) agroforests and the consequences for the conservation of tree biodiversity and composition of surrounding forests. we interviewed 50 coffee farmers to investigate their shade tree preferences and sources of knowledge of the properties of shade trees and coffee management practices; we also conducted tree inventories in 31 coffee farms and 10 forest sites in la sepultura biosphere reserve in chiapas, mexico. our results showed that farmers are modifying agroforests according to their knowledge and tree preferences, and that the resulting agroforest is lower in tree diversity and dominated by pioneer and farmers' preferred tree species as compared to forests. the principal sources of knowledge of management practices are external sources, such as governmental and non-governmental organizations, whereas the primary source of tree specific knowledge is empirical knowledge. we found that the higher proportion of pioneer trees relative to forest is mostly explained by farmers' tree selection decisions (63%) rather than as a byproduct of management practices (37%) that disturb the soil and open the canopy, altering light penetration and microclimate conditions. based on interviews and tree inventories, we found that farmers gradually replace canopy trees of neutral and disliked species by preferred species, in particular inga spp. we found that external sources continue to promote the idea that inga spp. trees bring significant benefits to coffee production in spite of a lack of scientific evidence to support this claim. this indicates that farmers are receptive to incorporate outside knowledge into their knowledge systems and adapt their resource management practices accordingly. our findings highlight the importance of disseminating sound and clear scientific information to practitioners who work directly with farming communities to ensure that accurate and up-to-date information is being contributed to local knowledge systems.",82,1,2
"528",3247,44,"Ming","NO","MAYBE","The use of farmers' knowledge in coffee agroforestry management: implications for the conservation of tree biodiversity","VALENCIA VIVIAN;WEST PAIGE;STERLING ELEANOR J;GARCIA-BARRIOS LUIS;NAEEM SHAHID",2015,"in agroforestry systems, the survival of shade trees is often the result of farmers' deliberate selection. therefore, how communities generate knowledge and apply it to resource management practices influence the potential for biodiversity conservation of agroforestry systems. in this study, we investigated the use of knowledge by farmers to manage coffee (coffea arabica) agroforests and the consequences for the conservation of tree biodiversity and composition of surrounding forests. we interviewed 50 coffee farmers to investigate their shade tree preferences and sources of knowledge of the properties of shade trees and coffee management practices; we also conducted tree inventories in 31 coffee farms and 10 forest sites in la sepultura biosphere reserve in chiapas, mexico. our results showed that farmers are modifying agroforests according to their knowledge and tree preferences, and that the resulting agroforest is lower in tree diversity and dominated by pioneer and farmers' preferred tree species as compared to forests. the principal sources of knowledge of management practices are external sources, such as governmental and non-governmental organizations, whereas the primary source of tree specific knowledge is empirical knowledge. we found that the higher proportion of pioneer trees relative to forest is mostly explained by farmers' tree selection decisions (63%) rather than as a byproduct of management practices (37%) that disturb the soil and open the canopy, altering light penetration and microclimate conditions. based on interviews and tree inventories, we found that farmers gradually replace canopy trees of neutral and disliked species by preferred species, in particular inga spp. we found that external sources continue to promote the idea that inga spp. trees bring significant benefits to coffee production in spite of a lack of scientific evidence to support this claim. this indicates that farmers are receptive to incorporate outside knowledge into their knowledge systems and adapt their resource management practices accordingly. our findings highlight the importance of disseminating sound and clear scientific information to practitioners who work directly with farming communities to ensure that accurate and up-to-date information is being contributed to local knowledge systems.",82,0,2
"544",3511,49,"Anna","YES","MAYBE","Ecosystem change and establishment of an invasive snail alter gastropod communities in long-lived lake malawi","VAN BOCXLAER BERT;ALBRECHT CHRISTIAN",2015,"Biotic invasions can have far-reaching effects in isolated, eco-insular systems such as the african great lakes, certainly in synergy with other anthropogenic stressors that affect ecosystem stability. Interactions between invasive and indigenous taxa across trophic levels often tend to propagate throughout the ecosystem, but also those at the same trophic level may affect biodiversity. Here, we examine faunal interactions between an invasive asian morph of the cerithioidean gastropod melanoides tuberculata and indigenous gastropods in long-lived lake malawi. Studying quantitative samples, we document a negative spatial correlation between the established invader and endemic melanoides species, and positive ones between invasive and native m. Tuberculata, and between native melanoides and schistosome-transmitting bulinus. Comparison of modern and fossil samples indicates that melanoides communities have changed since the middle holocene from consisting predominantly of endemic taxa (95%) toward a dominance by non-endemics (80%). External evidence suggests that ecosystem change, such as increased sedimentation and eutrophication, and interactions between the invasive and endemic melanoides species are the most likely causes for these changes. More in-depth study of the benthic ecosystem is required to document interaction mechanisms better, but the invasive taxon is playing an important role in reshaping communities and diversity in lake malawi.",NA,1,3
"545",3511,49,"Ming","YES","MAYBE","Ecosystem change and establishment of an invasive snail alter gastropod communities in long-lived lake malawi","VAN BOCXLAER BERT;ALBRECHT CHRISTIAN",2015,"biotic invasions can have far-reaching effects in isolated, eco-insular systems such as the african great lakes, certainly in synergy with other anthropogenic stressors that affect ecosystem stability. interactions between invasive and indigenous taxa across trophic levels often tend to propagate throughout the ecosystem, but also those at the same trophic level may affect biodiversity. here, we examine faunal interactions between an invasive asian morph of the cerithioidean gastropod melanoides tuberculata and indigenous gastropods in long-lived lake malawi. studying quantitative samples, we document a negative spatial correlation between the established invader and endemic melanoides species, and positive ones between invasive and native m. tuberculata, and between native melanoides and schistosome-transmitting bulinus. comparison of modern and fossil samples indicates that melanoides communities have changed since the middle holocene from consisting predominantly of endemic taxa (95%) toward a dominance by non-endemics (80%). external evidence suggests that ecosystem change, such as increased sedimentation and eutrophication, and interactions between the invasive and endemic melanoides species are the most likely causes for these changes. more in-depth study of the benthic ecosystem is required to document interaction mechanisms better, but the invasive taxon is playing an important role in reshaping communities and diversity in lake malawi.",20,1,3
"546",3511,49,"EmilyD","YES","MAYBE","Ecosystem change and establishment of an invasive snail alter gastropod communities in long-lived lake malawi","VAN BOCXLAER BERT;ALBRECHT CHRISTIAN",2015,"biotic invasions can have far-reaching effects in isolated, eco-insular systems such as the african great lakes, certainly in synergy with other anthropogenic stressors that affect ecosystem stability. interactions between invasive and indigenous taxa across trophic levels often tend to propagate throughout the ecosystem, but also those at the same trophic level may affect biodiversity. here, we examine faunal interactions between an invasive asian morph of the cerithioidean gastropod melanoides tuberculata and indigenous gastropods in long-lived lake malawi. studying quantitative samples, we document a negative spatial correlation between the established invader and endemic melanoides species, and positive ones between invasive and native m. tuberculata, and between native melanoides and schistosome-transmitting bulinus. comparison of modern and fossil samples indicates that melanoides communities have changed since the middle holocene from consisting predominantly of endemic taxa (95%) toward a dominance by non-endemics (80%). external evidence suggests that ecosystem change, such as increased sedimentation and eutrophication, and interactions between the invasive and endemic melanoides species are the most likely causes for these changes. more in-depth study of the benthic ecosystem is required to document interaction mechanisms better, but the invasive taxon is playing an important role in reshaping communities and diversity in lake malawi.",20,1,3
"562",3639,50,"EmilyD","NO","MAYBE","Invasive vertebrates in australia and new zealand","KRULL CHERYL R;GALBRAITH JOSIE A;GLEN AL S;NATHAN HELEN W",2015,"invasive vertebrate species have had a dramatic impact on the unique native ecosystems of both australia and new zealand. some of these species were accidentally introduced, though many were introduced deliberately for a number of reasons: as a food resource, for hunting and trade, as a mode of transportation, as a control tool for other pests, and by acclimatisation societies to remind colonists of home. regardless of the method of introduction, these invasive species have had major negative impacts on the native flora and fauna, including herbivory, predation, competition, disease, hybridisation and habitat change, and have also affected human health and industry. in both countries the aim is now to prevent establishment of new invasive species and preserve key areas of high biodiversity value through the control or eradication of invasive species.",88,0,2
"563",3639,50,"Ming","YES","MAYBE","Invasive vertebrates in australia and new zealand","KRULL CHERYL R;GALBRAITH JOSIE A;GLEN AL S;NATHAN HELEN W",2015,"invasive vertebrate species have had a dramatic impact on the unique native ecosystems of both australia and new zealand. some of these species were accidentally introduced, though many were introduced deliberately for a number of reasons: as a food resource, for hunting and trade, as a mode of transportation, as a control tool for other pests, and by acclimatisation societies to remind colonists of home. regardless of the method of introduction, these invasive species have had major negative impacts on the native flora and fauna, including herbivory, predation, competition, disease, hybridisation and habitat change, and have also affected human health and industry. in both countries the aim is now to prevent establishment of new invasive species and preserve key areas of high biodiversity value through the control or eradication of invasive species.",88,1,2
"564",3639,50,"Anna","YES","MAYBE","Invasive vertebrates in australia and new zealand","KRULL CHERYL R;GALBRAITH JOSIE A;GLEN AL S;NATHAN HELEN W",2015,"Invasive vertebrate species have had a dramatic impact on the unique native ecosystems of both australia and new zealand. Some of these species were accidentally introduced, though many were introduced deliberately for a number of reasons: as a food resource, for hunting and trade, as a mode of transportation, as a control tool for other pests, and by acclimatisation societies to remind colonists of home. Regardless of the method of introduction, these invasive species have had major negative impacts on the native flora and fauna, including herbivory, predation, competition, disease, hybridisation and habitat change, and have also affected human health and industry. In both countries the aim is now to prevent establishment of new invasive species and preserve key areas of high biodiversity value through the control or eradication of invasive species.",NA,1,2
"571",3766,53,"Xutong","NO","MAYBE","Fish composition in the guadiamar river basin after one of the worst mining spills in europe","DE MIGUEL R J;OLIVA-PATERNA F J;GALVEZ-BRAVO L;FERNANDEZ-DELGADO C",2014,"On 25 april 1998, the tailing pond of the los frailes mine in aznalcollar (seville, spain) ruptured, causing one of the most harmful environmental disasters in europe in recent decades. Through the crack, 6 hm(3) of acidic water and metallic mud were spilt, defaunating a large area of the guadiamar river. After the spill cleanup and habitat restoration, multiple anthropogenic impacts continued to degrade the affected area. This work aimed to provide the most updated list of fish species in the guadiamar river basin after the spill. Data were collected between 1999 and 2011 by electrofishing, light-traps, minnow-traps and multimesh gill-nests in 78 sampling sites. Species richness values for both native and exotic species in the guadiamar river basin were high when compared with values for other right bank tributaries of the guadalquivir river. This may be due to direct contact with the mouth of the guadalquivir, which allowed the presence of migratory species. It may also be due to its location in the lower part of the guadalquivir river basin, where exotic species accumulated. Among the guadiamar river basin species, luciobarbus sclateri and squalius alburnoides have the widest distribution. The former is a generalist species resistant to unfavourable habitat changes, and the latter has a very successful breeding strategy. However, when focused on the affected area, there was a marked increase in exotic species, and both pumpkinseed (lepomis gibbosus) and carp (cyprinus carpio) co-dominated together with the native l. Sclateri and s. Alburnoides. The distribution of species within the river basin suggests that the upper section (except the agrio reservoir) and middle section tributaries may be acting as native species shelters, while the affected area becomes an exotic species source. This information should be useful for monitoring future changes in the species composition and for management planning measures.",NA,0,2
"572",3766,53,"Yingjie","YES","MAYBE","Fish composition in the guadiamar river basin after one of the worst mining spills in europe","DE MIGUEL R J;OLIVA-PATERNA F J;GALVEZ-BRAVO L;FERNANDEZ-DELGADO C",2014,"On 25 april 1998, the tailing pond of the los frailes mine in aznalcollar (seville, spain) ruptured, causing one of the most harmful environmental disasters in europe in recent decades. Through the crack, 6 hm(3) of acidic water and metallic mud were spilt, defaunating a large area of the guadiamar river. After the spill cleanup and habitat restoration, multiple anthropogenic impacts continued to degrade the affected area. This work aimed to provide the most updated list of fish species in the guadiamar river basin after the spill. Data were collected between 1999 and 2011 by electrofishing, light-traps, minnow-traps and multimesh gill-nests in 78 sampling sites. Species richness values for both native and exotic species in the guadiamar river basin were high when compared with values for other right bank tributaries of the guadalquivir river. This may be due to direct contact with the mouth of the guadalquivir, which allowed the presence of migratory species. It may also be due to its location in the lower part of the guadalquivir river basin, where exotic species accumulated. Among the guadiamar river basin species, luciobarbus sclateri and squalius alburnoides have the widest distribution. The former is a generalist species resistant to unfavourable habitat changes, and the latter has a very successful breeding strategy. However, when focused on the affected area, there was a marked increase in exotic species, and both pumpkinseed (lepomis gibbosus) and carp (cyprinus carpio) co-dominated together with the native l. Sclateri and s. Alburnoides. The distribution of species within the river basin suggests that the upper section (except the agrio reservoir) and middle section tributaries may be acting as native species shelters, while the affected area becomes an exotic species source. This information should be useful for monitoring future changes in the species composition and for management planning measures.",NA,1,2
"573",3766,53,"Aurora","YES","MAYBE","Fish composition in the guadiamar river basin after one of the worst mining spills in europe","DE MIGUEL R J;OLIVA-PATERNA F J;GALVEZ-BRAVO L;FERNANDEZ-DELGADO C",2014,"On 25 april 1998, the tailing pond of the los frailes mine in aznalcollar (seville, spain) ruptured, causing one of the most harmful environmental disasters in europe in recent decades. Through the crack, 6 hm(3) of acidic water and metallic mud were spilt, defaunating a large area of the guadiamar river. After the spill cleanup and habitat restoration, multiple anthropogenic impacts continued to degrade the affected area. This work aimed to provide the most updated list of fish species in the guadiamar river basin after the spill. Data were collected between 1999 and 2011 by electrofishing, light-traps, minnow-traps and multimesh gill-nests in 78 sampling sites. Species richness values for both native and exotic species in the guadiamar river basin were high when compared with values for other right bank tributaries of the guadalquivir river. This may be due to direct contact with the mouth of the guadalquivir, which allowed the presence of migratory species. It may also be due to its location in the lower part of the guadalquivir river basin, where exotic species accumulated. Among the guadiamar river basin species, luciobarbus sclateri and squalius alburnoides have the widest distribution. The former is a generalist species resistant to unfavourable habitat changes, and the latter has a very successful breeding strategy. However, when focused on the affected area, there was a marked increase in exotic species, and both pumpkinseed (lepomis gibbosus) and carp (cyprinus carpio) co-dominated together with the native l. Sclateri and s. Alburnoides. The distribution of species within the river basin suggests that the upper section (except the agrio reservoir) and middle section tributaries may be acting as native species shelters, while the affected area becomes an exotic species source. This information should be useful for monitoring future changes in the species composition and for management planning measures.",NA,1,2
"574",3813,52,"Min","YES","MAYBE","Assessing fish assemblages similarity above and below a dam in a neotropical reservoir with partial blockage","ARAUJO F G;SANTOS A B I;ALBIERI R J",2014,"Damming rivers disrupts the water flow and changes the ichthyofauna organisation. we investigated an impoundment with permanent connection and homogeneous environmental conditions between the zones above and below the dam. temperature was comparatively higher during wet season irrespective of zone, and both zones had higher dissolved oxygen, conductivity and transparency in the dry season. a total of 1687 individuals comprising 27 species were collected in the downriver zone, while the reservoir had 879 individuals and 23 species. each zone had different fish assemblage composition and structure, but assemblages were not explained by the examined environmental variables (r(2) - 0.08; p - 0.307). migratory species such as pimelodus maculatus, pimelodus fur, leporinus copelandii and prochilodus lineatus were the most affected, and probably are prevented to perform upriver migrations. on the other hand, lentic adapted species such as g. brasiliensis, hoplias malabaricus and hoplosternum littorale successfully colonised the reservoir. therefore we conclude that the presence of the lateral hydrological connectivity alone does not guarantee the ecological connectivity since fish assemblage similarity differed between the two zones. fish passage facilities should be monitored and managed to evaluate and improve their functionality.",NA,1,2
"575",3813,52,"Ruishan","NO","MAYBE","Assessing fish assemblages similarity above and below a dam in a neotropical reservoir with partial blockage","ARAUJO F G;SANTOS A B I;ALBIERI R J",2014,"Damming rivers disrupts the water flow and changes the ichthyofauna organisation. We investigated an impoundment with permanent connection and homogeneous environmental conditions between the zones above and below the dam. Temperature was comparatively higher during wet season irrespective of zone, and both zones had higher dissolved oxygen, conductivity and transparency in the dry season. A total of 1687 individuals comprising 27 species were collected in the downriver zone, while the reservoir had 879 individuals and 23 species. Each zone had different fish assemblage composition and structure, but assemblages were not explained by the examined environmental variables (r(2) - 0.08; p - 0.307). Migratory species such as pimelodus maculatus, pimelodus fur, leporinus copelandii and prochilodus lineatus were the most affected, and probably are prevented to perform upriver migrations. On the other hand, lentic adapted species such as g. Brasiliensis, hoplias malabaricus and hoplosternum littorale successfully colonised the reservoir. Therefore we conclude that the presence of the lateral hydrological connectivity alone does not guarantee the ecological connectivity since fish assemblage similarity differed between the two zones. Fish passage facilities should be monitored and managed to evaluate and improve their functionality.",NA,0,2
"576",3813,52,"Veronica","YES","MAYBE","Assessing fish assemblages similarity above and below a dam in a neotropical reservoir with partial blockage","ARAUJO F G;SANTOS A B I;ALBIERI R J",2014,"Damming rivers disrupts the water flow and changes the ichthyofauna organisation. We investigated an impoundment with permanent connection and homogeneous environmental conditions between the zones above and below the dam. Temperature was comparatively higher during wet season irrespective of zone, and both zones had higher dissolved oxygen, conductivity and transparency in the dry season. A total of 1687 individuals comprising 27 species were collected in the downriver zone, while the reservoir had 879 individuals and 23 species. Each zone had different fish assemblage composition and structure, but assemblages were not explained by the examined environmental variables (r(2) - 0.08; p - 0.307). Migratory species such as pimelodus maculatus, pimelodus fur, leporinus copelandii and prochilodus lineatus were the most affected, and probably are prevented to perform upriver migrations. On the other hand, lentic adapted species such as g. Brasiliensis, hoplias malabaricus and hoplosternum littorale successfully colonised the reservoir. Therefore we conclude that the presence of the lateral hydrological connectivity alone does not guarantee the ecological connectivity since fish assemblage similarity differed between the two zones. Fish passage facilities should be monitored and managed to evaluate and improve their functionality.",NA,1,2
"577",3831,54,"Yingjie","YES","MAYBE","Human and wildlife usage of a protected area buffer zone in an area of high immigration","BAMFORD ANDREW J;FERROL-SCHULTE DANIELLA;WATHAN JENNIFER",2014,"Population growth near protected areas threatens the capacity of such areas for biodiversity conservation. Protected areas may even encourage growth by providing economic benefits that attract migrants. Consequently, understanding the relationships between human demographics and biodiversity is important for conservation. We studied a community-governed wildlife management area bordering the selous game reserve in tanzania, set up to benefit local people and the subsistence rural economy. Annual population growth in this area is 5%. We used a combination of ecological and socio-economic surveys to determine the causes of this growth and its effect on wildlife in the wildlife management area. One-third of local people interviewed were immigrants to the area. Population growth appeared to be unrelated to the protected area; instead an increasing proportion of immigrants cited readily available land as their reason for moving. Pastoralism was associated with fewer signs of large grazing mammals and elephants loxodonta africana and agriculture was associated with fewer signs of elephant and buffalo syncerus caffer but more signs of other ungulates. Few residents were aware of the wildlife management area and few received any benefits from wildlife and therefore had little reason to conserve it. This situation is attributable to poor management of the wildlife management area. Detrimental effects of human activity could spread to the selous game reserve if population growth continues. However, natural resources could benefit residents if properly managed. Interactions between human demographics and protected areas are complex and may be best managed on a case-by-case basis.",NA,1,2
"578",3831,54,"Xutong","NO","MAYBE","Human and wildlife usage of a protected area buffer zone in an area of high immigration","BAMFORD ANDREW J;FERROL-SCHULTE DANIELLA;WATHAN JENNIFER",2014,"Population growth near protected areas threatens the capacity of such areas for biodiversity conservation. Protected areas may even encourage growth by providing economic benefits that attract migrants. Consequently, understanding the relationships between human demographics and biodiversity is important for conservation. We studied a community-governed wildlife management area bordering the selous game reserve in tanzania, set up to benefit local people and the subsistence rural economy. Annual population growth in this area is 5%. We used a combination of ecological and socio-economic surveys to determine the causes of this growth and its effect on wildlife in the wildlife management area. One-third of local people interviewed were immigrants to the area. Population growth appeared to be unrelated to the protected area; instead an increasing proportion of immigrants cited readily available land as their reason for moving. Pastoralism was associated with fewer signs of large grazing mammals and elephants loxodonta africana and agriculture was associated with fewer signs of elephant and buffalo syncerus caffer but more signs of other ungulates. Few residents were aware of the wildlife management area and few received any benefits from wildlife and therefore had little reason to conserve it. This situation is attributable to poor management of the wildlife management area. Detrimental effects of human activity could spread to the selous game reserve if population growth continues. However, natural resources could benefit residents if properly managed. Interactions between human demographics and protected areas are complex and may be best managed on a case-by-case basis.",NA,0,2
"579",3831,54,"Aurora","YES","MAYBE","Human and wildlife usage of a protected area buffer zone in an area of high immigration","BAMFORD ANDREW J;FERROL-SCHULTE DANIELLA;WATHAN JENNIFER",2014,"Population growth near protected areas threatens the capacity of such areas for biodiversity conservation. Protected areas may even encourage growth by providing economic benefits that attract migrants. Consequently, understanding the relationships between human demographics and biodiversity is important for conservation. We studied a community-governed wildlife management area bordering the selous game reserve in tanzania, set up to benefit local people and the subsistence rural economy. Annual population growth in this area is 5%. We used a combination of ecological and socio-economic surveys to determine the causes of this growth and its effect on wildlife in the wildlife management area. One-third of local people interviewed were immigrants to the area. Population growth appeared to be unrelated to the protected area; instead an increasing proportion of immigrants cited readily available land as their reason for moving. Pastoralism was associated with fewer signs of large grazing mammals and elephants loxodonta africana and agriculture was associated with fewer signs of elephant and buffalo syncerus caffer but more signs of other ungulates. Few residents were aware of the wildlife management area and few received any benefits from wildlife and therefore had little reason to conserve it. This situation is attributable to poor management of the wildlife management area. Detrimental effects of human activity could spread to the selous game reserve if population growth continues. However, natural resources could benefit residents if properly managed. Interactions between human demographics and protected areas are complex and may be best managed on a case-by-case basis.",NA,1,2
"586",4005,22,"Min","YES","MAYBE","BIODIVERSITY AND INVASIBILITY: DISTRIBUTION PATTERNS OF INVASIVE PLANT SPECIES IN THE HIMALAYAS, NEPAL","BHATTARAI KHEM RAJ;MAREN INGER ELISABETH;SUBEDI SURESH CHANDRA",2014,"Invasive plant species are exerting a serious threat to biological diversity in many regions of the world. to understand plant invasions this study aims to test which of the two plant invasiveness hypotheses; 'low native diversity' vs. 'high native diversity', is supported by the regional distribution patterns of invasive plant species in the himalayas, nepal. this study is based on data retrieved from published literatures and herbarium specimens. the relationship between invasive plant species distribution patterns and that of native plant species is elucidated by scatter plots, as well as by generalized linear models. the native plant species and invasive plant species have similar distribution patterns and the maximum number of invasive plant species is found in the same altitudinal range where the highest richness for native tree species is found. there is a clear trend of higher invasive plant richness in regions where native tree species richness is relatively high. consequently, the native plant richness is highest in the central phytogeographic region, followed by the eastern and the western regions, respectively. the invasive plant species also follows a similar trend. additionally, the invasive plant species richness was positively correlated with anthropogenic factors such as human population density and the number of visiting tourists. this study supports the hypothesis that 'high native diversity' supports or facilitates invasive plant species. further, it indicates that native and invasive plant species may require similar natural conditions, but that the invasive plant species seem more dependent and influenced by anthropogenic disturbance factors.",NA,1,2
"587",4005,22,"Ruishan","NO","MAYBE","BIODIVERSITY AND INVASIBILITY: DISTRIBUTION PATTERNS OF INVASIVE PLANT SPECIES IN THE HIMALAYAS, NEPAL","BHATTARAI KHEM RAJ;MAREN INGER ELISABETH;SUBEDI SURESH CHANDRA",2014,"INVASIVE PLANT SPECIES ARE EXERTING A SERIOUS THREAT TO BIOLOGICAL DIVERSITY IN MANY REGIONS OF THE WORLD. TO UNDERSTAND PLANT INVASIONS THIS STUDY AIMS TO TEST WHICH OF THE TWO PLANT INVASIVENESS HYPOTHESES; 'LOW NATIVE DIVERSITY' VS. 'HIGH NATIVE DIVERSITY', IS SUPPORTED BY THE REGIONAL DISTRIBUTION PATTERNS OF INVASIVE PLANT SPECIES IN THE HIMALAYAS, NEPAL. THIS STUDY IS BASED ON DATA RETRIEVED FROM PUBLISHED LITERATURES AND HERBARIUM SPECIMENS. THE RELATIONSHIP BETWEEN INVASIVE PLANT SPECIES DISTRIBUTION PATTERNS AND THAT OF NATIVE PLANT SPECIES IS ELUCIDATED BY SCATTER PLOTS, AS WELL AS BY GENERALIZED LINEAR MODELS. THE NATIVE PLANT SPECIES AND INVASIVE PLANT SPECIES HAVE SIMILAR DISTRIBUTION PATTERNS AND THE MAXIMUM NUMBER OF INVASIVE PLANT SPECIES IS FOUND IN THE SAME ALTITUDINAL RANGE WHERE THE HIGHEST RICHNESS FOR NATIVE TREE SPECIES IS FOUND. THERE IS A CLEAR TREND OF HIGHER INVASIVE PLANT RICHNESS IN REGIONS WHERE NATIVE TREE SPECIES RICHNESS IS RELATIVELY HIGH. CONSEQUENTLY, THE NATIVE PLANT RICHNESS IS HIGHEST IN THE CENTRAL PHYTOGEOGRAPHIC REGION, FOLLOWED BY THE EASTERN AND THE WESTERN REGIONS, RESPECTIVELY. THE INVASIVE PLANT SPECIES ALSO FOLLOWS A SIMILAR TREND. ADDITIONALLY, THE INVASIVE PLANT SPECIES RICHNESS WAS POSITIVELY CORRELATED WITH ANTHROPOGENIC FACTORS SUCH AS HUMAN POPULATION DENSITY AND THE NUMBER OF VISITING TOURISTS. THIS STUDY SUPPORTS THE HYPOTHESIS THAT 'HIGH NATIVE DIVERSITY' SUPPORTS OR FACILITATES INVASIVE PLANT SPECIES. FURTHER, IT INDICATES THAT NATIVE AND INVASIVE PLANT SPECIES MAY REQUIRE SIMILAR NATURAL CONDITIONS, BUT THAT THE INVASIVE PLANT SPECIES SEEM MORE DEPENDENT AND INFLUENCED BY ANTHROPOGENIC DISTURBANCE FACTORS.",NA,0,2
"588",4005,22,"Veronica","YES","MAYBE","BIODIVERSITY AND INVASIBILITY: DISTRIBUTION PATTERNS OF INVASIVE PLANT SPECIES IN THE HIMALAYAS, NEPAL","BHATTARAI KHEM RAJ;MAREN INGER ELISABETH;SUBEDI SURESH CHANDRA",2014,"INVASIVE PLANT SPECIES ARE EXERTING A SERIOUS THREAT TO BIOLOGICAL DIVERSITY IN MANY REGIONS OF THE WORLD. TO UNDERSTAND PLANT INVASIONS THIS STUDY AIMS TO TEST WHICH OF THE TWO PLANT INVASIVENESS HYPOTHESES; 'LOW NATIVE DIVERSITY' VS. 'HIGH NATIVE DIVERSITY', IS SUPPORTED BY THE REGIONAL DISTRIBUTION PATTERNS OF INVASIVE PLANT SPECIES IN THE HIMALAYAS, NEPAL. THIS STUDY IS BASED ON DATA RETRIEVED FROM PUBLISHED LITERATURES AND HERBARIUM SPECIMENS. THE RELATIONSHIP BETWEEN INVASIVE PLANT SPECIES DISTRIBUTION PATTERNS AND THAT OF NATIVE PLANT SPECIES IS ELUCIDATED BY SCATTER PLOTS, AS WELL AS BY GENERALIZED LINEAR MODELS. THE NATIVE PLANT SPECIES AND INVASIVE PLANT SPECIES HAVE SIMILAR DISTRIBUTION PATTERNS AND THE MAXIMUM NUMBER OF INVASIVE PLANT SPECIES IS FOUND IN THE SAME ALTITUDINAL RANGE WHERE THE HIGHEST RICHNESS FOR NATIVE TREE SPECIES IS FOUND. THERE IS A CLEAR TREND OF HIGHER INVASIVE PLANT RICHNESS IN REGIONS WHERE NATIVE TREE SPECIES RICHNESS IS RELATIVELY HIGH. CONSEQUENTLY, THE NATIVE PLANT RICHNESS IS HIGHEST IN THE CENTRAL PHYTOGEOGRAPHIC REGION, FOLLOWED BY THE EASTERN AND THE WESTERN REGIONS, RESPECTIVELY. THE INVASIVE PLANT SPECIES ALSO FOLLOWS A SIMILAR TREND. ADDITIONALLY, THE INVASIVE PLANT SPECIES RICHNESS WAS POSITIVELY CORRELATED WITH ANTHROPOGENIC FACTORS SUCH AS HUMAN POPULATION DENSITY AND THE NUMBER OF VISITING TOURISTS. THIS STUDY SUPPORTS THE HYPOTHESIS THAT 'HIGH NATIVE DIVERSITY' SUPPORTS OR FACILITATES INVASIVE PLANT SPECIES. FURTHER, IT INDICATES THAT NATIVE AND INVASIVE PLANT SPECIES MAY REQUIRE SIMILAR NATURAL CONDITIONS, BUT THAT THE INVASIVE PLANT SPECIES SEEM MORE DEPENDENT AND INFLUENCED BY ANTHROPOGENIC DISTURBANCE FACTORS.",NA,1,2
