"timestamp","coder_id","paper_id","year_pub","author","C1_biodiv","C2_meta","C3_quant","C4_study","meet_all_4","sup_check","comments","further_discuss","explicit_distant_impacts","explain_distant_impacts","status"
2020-04-05 11:41:09,"X_Wu","5125",2019,"Niu","Forest","Tourism","Species diversity","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-05-11 20:24:14,"E_Xing","5175",2019,"Lewis","occupancy and avian species richness of Passerellidae sparrows","Agricultural Conservation Easement Program (ACEP)","Apparent avian species richness and the occupancy probability of four Passerellidae species","Observational study","Yes","Yes","na","no such data in Chinese survey","yes","Wetlands enrolled in the Agricultural Conservation Easement Program (ACEP) have the same avian biodiversity and effect in providing winter avian habitat  with reference wetlands located on public land in West Virginia.  ","accept"
2020-04-06 11:43:28,"X_Wu","5309",2019,"Dunn","Gentoo penguin","Tourism","Population","Observational study","Yes","Yes","","","","","accept"
2020-04-30 17:25:52,"Y_Zhang","5314",2018,"Reif","Bird population","Agricultural production intensity impact on farmland bird population","Relative population abundance","Observational study","Yes","Yes","","No","No","Agricultural impact on farmland bird population","accept"
2020-04-14 10:16:50,"A_Herzberger","5477",2018,"Symes","habitat loss and exploitation of bird species ","habitat loss , exploitation, wildlife trade","habitat loss, attribute population declines to exploitation ","Observational study","Yes","Yes","","No","Yes","","accept"
2020-03-19 10:41:39,"A_Herzberger","5486",2018,"Urra","mollusk populations dynamics"," harvest of commercial mollusks during tourist season","abundance of commercial mollusks","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-06-09 14:32:13,"A_Herzberger","5577",2012,"Fischer","Birds","invasive Russian olive on bird habitat"," richness ","Observational study","Yes","Yes","","No","Yes","Yes, both the bird habitat is used by migrating birds and the habitat was invaded by Russian Olive which was introduced from Europe for conservation ","accept"
2020-05-19 20:19:22,"X_Wu","5746",2012,"Villamagna","Waterbird","Species invasion","Density, species richness, Simpson's index, species composition","Observational study","Yes","No","","","","","accept"
2020-04-30 12:24:34,"C_Hovis","5756",2012,"Remis","Monkey","hunting/trade","abundane over time, spp comp","Observational study","Yes","No Supplementary Material Provided","","No","Yes","Talk about how migration and trade have increased hunting and meat demand in the region","accept"
2020-04-30 16:33:43,"K_Kapsar","5773",2012,"Chepinoga","Vascular plants","Tourism","Species richness","Observational study","Yes","No","","No","No","""Tourists"" are mentioned, but it is unspecified exactly where they came from. These seem like remote islands though, so I think it's safe to assume a telecoupling of at least some scale. ","accept"
2020-04-30 16:57:26,"K_Kapsar","5782",2012,"Martin","Great Bustard abundance","Agricultural policy ","Abundance","Observational study","Yes","No","","No","No","""The total area cultivated with unirrigated legumes crops that are largely promoted under agri-environment schemes, increased in Castilla y León during the 1998-2008, although not uniformly throughout the region."" ","accept"
2020-05-11 23:37:37,"E_Xing","5804",2012,"FITZGERALD","Presence of winter ant","nonnative Argentine ant,","appearance or persistence of winter ants","Observational study","Yes","Yes","na","no such data in Chinese survey","yes","At sites near development within the preserve, abundant  nonnative Argentine ant populations may be excluding native winter ants. ","accept"
2020-05-15 14:07:29,"E_Dean","5844",2012,"Brewer","Coral reef fishes","Trade (market access) that increases fishing pressure","Reef fish populations","Observational study","Yes","Yes","","","Yes","","accept"
2020-04-05 17:14:43,"X_Wu","5853",2012,"Flecks","Turquoise dwarf gecko (Lygodactylus williamsi)","International pet trade","Population size","Interview","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-03-26 16:06:28,"A_Herzberger","5875",2012,"Fiedler","migrating sea turtles as by-catch ","Fisheries by-catching sea turtles","amount and composition  of turtles bycatch ","Observational study","Yes","No Supplementary Material Provided","","No","Yes","these turtles migrate from West Africa to South America and come in-contact with lots of fisheries","accept"
2020-03-20 10:11:41,"A_Herzberger","5905",2012,"Sarmento","meiofaunal harpacticoid copepod assemblage","tourist disturbance","density, abundance, species richness of harpacticoid species","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-05-28 16:41:09,"K_Kapsar","5926",2012,"Harriague","Macro and meiofauna","Tourist vessel traffic","abundance, diversity, biomass","Observational study","Yes","No","","No","No","Tourist traffic is assumed to be from outside the study system. ","accept"
2020-03-19 15:02:27,"MG_Chung","5966",2012,"Vitule","fish fauna","biotic homogenization of fish fauna caused by the elimination of a natural barrier by a dam construction, aquacuture, aquarium trade","Jaccard’s and Bray–Curtis’s coefficients, Whittaker’s beta diversity index, non-metric multidimensional scaling analysis (NMDS) and nonparametric tests","Modeling study (using empirical data and not projected)","Yes","Yes","","","","","accept"
2020-05-25 23:02:49,"M_Lei","6195",2011,"Azhar","birds richness in Peninsular Malaysia","natural forest prior to conversion to oil palms.","the Shannon–Wiener index  the Simpson index.","Observational study","Yes","Yes","","No","No","Natural forest prior to conversion to oil palms because of agricultural expansion","accept"
2020-04-29 16:32:54,"A_Torres","6254",2011,"Seshadri","animals","Tourism","Mortality","Observational study","Yes","Yes","","No","Yes","","accept"
2020-05-13 00:06:00,"E_Xing","6321",2011,"SARMENTO","densities of the meiofauna and algal biomass","tourism","densities of the meiofauna and algal biomass","Observational study","Yes","No Supplementary Material Provided","na","no such data in Chinese survey","yes","Human trampling The densities of the total meiofauna and of the commonest groups were negatively affected in the trampled area due to human trampling by tourists on the northeastern coast of Brazil.","accept"
2020-03-31 14:18:59,"A_Herzberger","6331",2011,"Vibrans","forest species composition ","human disturbance, Logging, Livestock, Agriculture","species abundance, diversity, ","Observational study","Yes","No Supplementary Material Provided","","No","No","they just refer to logging and agriculture - it is in Brazil","accept"
2020-03-19 16:23:58,"MG_Chung","6396",2011,"Murphy","the littoral macroinvertebrate communities","Chernobyl accident","total abundance, taxon richness, Berger-Parker dominance, Shannon-Wiener diversity, taxon richness","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-20 10:19:56,"MG_Chung","6493",2011,"Suarez-Rubio","forest bird communities","the impact of exurban development on bird communities","species abundance and richness","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-05 16:36:30,"E_Dean","6502",2011,"Nocera","Abundance of grassland birds","Trade","Abundance of grassland birds","Modeling study (using empirical data and not projected)","Yes","No Supplementary Material Provided","","","Yes","","accept"
2020-04-21 11:03:30,"C_Hovis","6511",2011,"Gleditsch","Bird abund/occ","invasive spp","spp correlations","Observational study","Yes","No Supplementary Material Provided","","No","Yes","They specifically reference the introduction of the invasive species and it's subsequent spread","accept"
2020-03-17 10:36:30,"A_Herzberger","6655",2011,"Salvador ","large mammals species composition","Ecotourism"," species composition, richness, habitat use","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-30 18:42:57,"C_Hovis","6655",2011,"Salvador","Mammal species richness","tourism","species number","Observational study","Yes","No Supplementary Material Provided","Paper not very convincing, don't actually measure tourist impact very well IMO but it is there as a categorical variable ","No","Yes","Direct link to eco-tourism and potential threats to biodiversity","accept"
2020-03-14 14:56:18,"E_Dean","6655",2011,"Salvador","Species richness ","Tourism","Number of species (species richness) between sample sites","Observational study","Yes","No Supplementary Material Provided","This paper compares species richness between pristine forests and forests with tourism paths. It is like inside/outside college example and probably should be excluded.","","","","accept"
2020-05-14 00:28:53,"E_Xing","6655",2011,"Salvador","species richness and composition of large mammals","ecotourism","species richness and composition","Observational study","Yes","No Supplementary Material Provided","na","no such data in Chinese survey","yes","Ecotourism reserves along major rivers may act as effective faunal refugees and provide one of the few opportunities for the conservation of floodplain habitats outside strictly protected areas in a mosaic landscape threatened by bouncing populations of colonists.  So the ecotourism at Amazonian forest may improve the biodiversity.","accept"
2020-03-17 11:34:06,"K_Kapsar","6655",2011,"Salvador","Large-bodied mammal presence","Ecotourists","Species richness ","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-19 08:56:53,"M_Lei","6655",2011,"Salvador","Large mammal species richness and habitat use in an upper Amazonian forest","Ecotourism ","Large mammal species richness","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-06 16:38:07,"X_Wu","6820",2010,"Young","White-breasted Thrasher (Ramphocinclus brachyurus)","Tourism","Population","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-19 22:15:29,"X_Wu","6845",2010,"Juhasz","Coral abundence","Tourism","Species abundence","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-30 21:31:18,"Y_Zhang","6948",2010,"Hvenegaard","Several shorebirds","Tourism impact on shorebirds population","Number of shorebirds by species","Observational study","Yes","No Supplementary Material Provided","","No","Yes","Correlate number of tourists with number of shorebirds (without specifying where the tourists came from)","accept"
2020-05-01 09:49:35,"Y_Li","813",2018,"Mantelatto","corals","invasive species"," space-occupying taxa/functional groups, their percentage cover (%) and the richness, Shannon–Wiener diversity index and Pielou evenness","Observational study","Yes","No","","No","Yes","","accept"
2020-03-19 21:56:39,"Y_Li","2222",2016,"Nishijima","bird extinction risks ","wood trade","extinction risks","Modeling study (using empirical data and not projected)","Yes","Yes","","","","","accept"
2020-04-30 11:54:17,"Y_Li","6655",2011,"Salvador","large mammals","ecotourism","richness; composition","Observational study","Yes","No Supplementary Material Provided","","No","Yes","ecotourism reserves along major rivers may act as effective faunal refugees and provide one of the
few opportunities for the conservation of floodplain habitats outside strictly protected areas in a mosaic
landscape threatened by bouncing populations of colonists.","accept"
2020-04-30 13:01:50,"Y_Li","1",2019,"Brun","na","na","na","Experimental study","No","Yes","not a metacoupling paper, please remove","No","No","na","reject"
2020-03-17 20:17:35,"A_Torres","6",2019,"Palacio","changes in the bird community","There is no external process. The paper assess the impacts of land-use change (forest loss) on species extinction and re-colonization, but it does not link land-use change with trade or any external process. Wildlife trade is mentioned just for one species as a potential factor contributing to the trends, but without quantifications and acknowledging that land-use changes are the most parsimonious explanation for changes in the species community ","Community changes and species trends","Observational study","No","No","","","","","reject"
2020-05-19 09:02:33,"X_Wu","8",2018,"Lines","Mammal species","No","Species diversity","Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","This paper is about Transfrontier Conservation Area Programme, not metacoupling","","","","reject"
2020-03-18 20:42:52,"K_Kapsar","11",2019,"Ellen","unclear","Trade networks","none","Observational study","No","No Supplementary Material Provided","","","","","reject"
2020-04-11 14:52:35,"E_Dean","12",2019,"Nieman","No biodiversity examined","Trade, human migration","No biodiversity examined","Modeling study (using empirical data and not projected)","No","Yes","","","","","reject"
2020-04-16 16:47:29,"C_Hovis","24",2019,"Wallach",NA,NA,NA,"Review (not qualified for coding)","No","No","Paper arguing non native spp should be counted in biodiversity assessments","","","","reject"
2020-04-14 11:35:28,"K_Kapsar","25",2019,"Jimenez-Lopez","Orchids","NA (only local trade of orchids)",NA,"Observational study","No","No","","No","No","""In this region, the orchid vendors also extract the plants from the forests in their communities, while the buyers are inhabitants of the cities where the orchids are traded. Therefore, this business is local throughout its trading chain.""","reject"
2020-03-19 12:00:23,"K_Kapsar","29",2019,"Guan","Diversity of vegetation and seed banks","Unclear","Species richness","Observational study","No","Yes","This paper deals with the effects of channel diversion in the Yellow River. However, channel diversion was not for the direct purpose of any telecoupling process and the spatial extent of the channel diversion makes me think that it occurred within a single system (as opposed to transferring water from one system to another). Some background research on the Yellow River reveals that telecoupled processes (i.e. aquaculture and oil and gas development) may have been a rationale for the channel diversion (https://earthobservatory.nasa.gov/world-of-change/YellowRiver), but I decided that this was too far removed from the actual diversion to justify inclusion in this study. ","","","","reject"
2020-04-30 13:07:17,"Y_Li","64",2019,"Baraf","Marine angelfshes","na","na","Modeling study (using empirical data and not projected)","No","Yes","not a metacoupling paper","No","No","not a metacoupling paper","reject"
2020-04-30 22:17:20,"M_Lei","67",2018,"Kang"," the dung beetle Gymnopleurus mopsus","expansion of the dung beetle Gymnopleurus mopsus",NA,"Experimental study","No","No","","No","No","","reject"
2020-04-30 18:47:34,"M_Lei","83",2019,"Byrne","No",NA,NA,"Modeling study (using empirical data and not projected)","No","Yes","","No","No","","reject"
2020-03-16 11:04:32,"MG_Chung","89",2019,"Magnano","the temporal variation in bird communities","They just compare the temporal variation in bird communities and the effects of land-use change on the structure and function of avian assemblages in the Lower Delta of the Parana River (Argentina). They did not clearly mention any metacoupling impacts.","Bird diversity, richness, and evenness","Observational study","No","Yes","","","","","reject"
2020-03-20 06:22:34,"Y_Dou","92",2019,"Wang","amphibian diversity","land use and tourism ","abundances and species numbers","Observational study","No","Yes","","","","","reject"
2020-04-30 13:14:43,"Y_Li","94",2019,"ZUNGUM","birds","invasive species","na","Review (not qualified for coding)","No","No","","No","Yes","invasive species","reject"
2020-04-05 15:16:32,"X_Wu","111",2019,"Moore","Species in Nyungwe National Park",NA,"Species richness","Observational study","No","No","This paper is about the poaching activity in conservation area. Although they used tourist trails, it can not reflect the external process.","","","","reject"
2020-03-17 20:27:36,"A_Torres","131",2019,"Ranjan","There is no quantitative assessment of impacts on biodiversity","Payment for Ecosystem Services","None","Modeling study (not qualified for coding)","No","Yes","The research question tackled is ""how to support an environmental enterprise based on commercially utilizing a rapidly spreading invasive weed to derive the best outcomes for the environment as well as the local communities involved?"" and is a modeling study.","","","","reject"
2020-03-17 21:24:45,"A_Torres","140",2019,"Schroter","Cultural ecosystem services provided by birds and mammals (existince and beques and birdwatching)","Species migration","No biodiversity quantification","Analyse species mentioned in relation to conservation efforts in NGO reports","No","No","The objective of the paper is to identify and characterise sending regions for interregional flows of two understudied cultural ES. There is no assessment of how the species migration affects biodiversity","","","","reject"
2020-04-06 12:06:24,"X_Wu","148",2017,"Schowalter",NA,NA,NA,"Review (not qualified for coding)","No","No","This paper is about biology and management of a native insect.","","","","reject"
2020-05-28 15:16:30,"C_Hovis","152",2019,"Gallant",NA,NA,NA,"Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","Struggled with this paper a little but decided to reject due to no apparent distant impact, study looks at how permanant settlements of the inuit led to the expansion of red fox range in the first half of the 20th century. To me, there is little evidence for aa distant force acting on/drving the creation of settlements","","","","reject"
2020-04-06 12:24:36,"X_Wu","163",2019,"Chaudhary","Species extinctions","Trade","Endemic species","Modeling study (projected)","No","Yes","Using a recent high resolution and harmonized global land use map along with IUCN habitat classification data for all 22,386 mammal, bird, and amphibian species, to project endemic species extinctions due to habitat loss to date across all 804 terrestrial ecoregions.
This paper studies the effect of global trade. Unfortunately, it's a projecting study.    ","","","","reject"
2020-05-19 09:06:12,"X_Wu","169",2016,"Sandilyan","Fish diversity","Ornamental fish trade; introduction of exotic fishes",NA,"Review (not qualified for coding)","No","No Supplementary Material Provided","","","","","reject"
2020-05-28 15:00:50,"C_Hovis","177",2019,"Janseen",NA,NA,NA,"Observational study","No","No Supplementary Material Provided","Reject, No quantification of biodiversity","","Yes","","reject"
2020-04-05 17:52:01,"X_Wu","180",2019,"Deng","Fish habitat",NA,NA,"Modeling study (using empirical data and not projected)","No","No","","","","","reject"
2020-05-28 14:57:50,"C_Hovis","184",2016,"Menon",NA,NA,NA,"Observational study","No","No Supplementary Material Provided","Reject, urbanization not apparently due to distant factors","","","","reject"
2020-04-28 16:13:18,"C_Hovis","191",2019,"Berry",NA,NA,NA,"Observational study","No","No","Reject, hypothesizes establishment of single cell parasite/pathogen, no impacts on native spp analyzed","","","","reject"
2020-03-18 20:17:20,"A_Torres","199",2019,"Sanchez-Mercado","Red Siskin native populations","Wildlife trade","There is no quantification of impacts on native communities","Data analysis (not qualified for coding)","No","No","This paper is not assessing the impact of wildlife trade on Red Siskin, but testing hypotheses of parallel vs. specialized illegal trade. There are records of species intercepted, but no assessment of extraction rates before global demand","","","","reject"
2020-04-16 10:35:02,"Y_Zhang","200",2016,"Mingist","Fish spawning ground","Sand mining (trade) impact on fish habitat","N/A (only habitat assessment: water quality indicators)","Observational study","No","No Supplementary Material Provided","Sand mining sites, number of labors and intensity ~ water quality (physico-chemical parameters such as temperature, conductivity, TDS, pH, Secchi depth) ~ no biodiversity measurements","No","No","","reject"
2020-04-30 13:25:57,"Y_Li","203",2019,"Gedan","na","na","na","Observational study","No","No","not a metacoupling paper, please remove it.","No","No","not a metacoupling paper, please remove it.","reject"
2020-04-05 15:15:51,"E_Dean","216",2019,"Fantinato","Pollination networks","Tourism","Richness of animal-pollinated plants and pollinators","Observational study","No","No Supplementary Material Provided","I would not include this paper","No","No","The author discusses tourism, but does not reference distant impacts on biodiversity ","reject"
2020-04-30 13:39:47,"Y_Li","225",2015,"Cruz","amphibians","na","na","Observational study","No","No","not a metacoupling paper, please remove it.","No","No","not a metacoupling paper, please remove it.","reject"
2020-04-11 16:36:19,"E_Dean","259",2014,"Guan","Plants (Carex heterolepis)  ","Inundation of river system for variety of purposes (energy, recreation)","Carex biomass","Experimental study","No","Yes","Paper is a no, although it ""technically"" met criteria.","","No","The authors mention the inundation is a result of human needs but does not link biodiversity to some telecoupling factor. Additionally, the study was an experiment and therefore did not directly measure the effects of inundation.","reject"
2020-05-14 20:40:24,"E_Xing","275",2014,"ISAKSON","maize genetic diversity","The neoliberal restructuring of agriculture","genetic richness","Data analysis","No","No Supplementary Material Provided","na","no such data in Chinese survey","no such data in Chinese survey","no such data in Chinese survey","reject"
2020-03-18 10:52:31,"A_Torres","276",2014,"Lopes","plant and animal populations","Dams","No quantification. It is a literature review","Review (not qualified for coding)","No","No Supplementary Material Provided","","","","","reject"
2020-04-30 22:21:16,"M_Lei","285",2014,"Criddle","Bering Sea pollock","NA(changing technologies and climate change)",NA,"Simulation or Forecasting study (does not qualify for coding)","No","No","","No","No","","reject"
2020-05-29 11:26:12,"A_Herzberger","286",2019,"Gothe",NA,NA,NA,"Observational study","No","No","","","","","reject"
2020-04-27 16:17:47,"C_Hovis","290",2019,"Rodewald","bird range","mining",NA,"Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","Measuring amount of bird pop occurring in mining areas but not actually quantifying the impact on the spp","","","","reject"
2020-03-18 16:14:02,"A_Torres","299",2014,"Sturaro","responses of amphipod assemblages associated with Posidonia oceanica meadows to different marine protection levels","UNCLEAR This is not a coordinated instrument for marine protected areas (like Natura 2000 or Ramsar) AND the study does not assess the effects of protection but of different levels of protection, i.e., it does not compare protected with unprotected areas. ","patterns of amphipod assemblages","Observational study","No","No Supplementary Material Provided","","","","","reject"
2020-03-18 14:47:35,"A_Herzberger","300",2019,"Lwin","Diversity of aquatic macroinvertebrate","conservation/tourism - no ","species richness ","Observational study","No","No Supplementary Material Provided","","","","","reject"
2020-03-19 13:01:52,"K_Kapsar","309",2014,"Sergo","NA - non-specific changes in forest cover","tourism","change in forest area","Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","Study analyzes relationship between forest area at a national level and tourism arrivals, but does not analyze any particular species or set of species. ","","","","reject"
2020-03-16 11:29:22,"MG_Chung","312",2019,"Fonseca","alien reptiles and amphibians","This study analyze the spread/arrival of an invasive species via pet trade but dose not quantitatively assess the impacts of the invasive species on local/native biodiversity.","alien richness","Data analysis (not qualified for coding)","No","Yes","","","","","reject"
2020-04-30 19:05:04,"M_Lei","318",2019,"Davis","No",NA,NA,"Modeling study (using empirical data and not projected)","No","No","","No","No","","reject"
2020-03-18 16:29:41,"A_Torres","319",2019,"Shaw","raptor populations","land coversion (farmland expansion), however there are no mentioned linkages with trade. It is just an analyses of species richness in different habitats ","encounter rates and species richness","Observational study","No","Yes","","","","","reject"
2020-05-28 14:51:59,"C_Hovis","320",2013,"Blanchet",NA,NA,NA,"Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","Reject, looks at evolutionary diversity and geography, no distant impact","No","","","reject"
2020-03-19 15:21:37,"A_Herzberger","332",2019,"Wagaw","Lake quality and biodiversity ","Water extraction: industrial (soda ash prod., mineral, salt extraction) & agriculture processes (irrigation, livestock)","Lake level, water chemistry, invertebrates, fish, birds,","Observational study","No","No Supplementary Material Provided","","","","","reject"
2020-03-18 17:37:42,"A_Torres","336",2019,"Estrada","primate habitats and population persistence","International trade of agricultural and nonagricultural commodities","habitat conversion (deforestation) & number of primate species currently threatened with extinction in each country at present in 2050 and 2100","Simulation or Forecasting study (does not qualify for coding)","No","Yes","UNCLEAR. The first part of the paper assesses deforestation trends associated with trade by countries, looking at countries where primates naturally occur (which I think should be excluded). The second part look at the number of threatened primates in those countries and model the future risk of primate extinction according to changing in land-use. The model combines land-use maps with a Countryside species-area-relationship model. It allocates the threatened species to certain land-uses according to their affinity, but there are not empirical data... I think it should be excluded but I'd like to check with someone else.","","","","reject"
2020-05-28 13:51:37,"A_Herzberger","344",2019,"Baylis","sea animals ",NA,"marine predator diversity","Observational study","No","No","","","","","reject"
2020-03-17 19:03:13,"E_Xing","348",2019,"Spenceley","no","tourism","no","Review","No","No Supplementary Material Provided","na","no such data in Chinese survey","no such data in Chinese survey","no such data in Chinese survey","reject"
2020-04-28 16:05:52,"C_Hovis","370",2019,"Brzezinski","Mink pop","Invasive spp",NA,"Observational study","No","No Supplementary Material Provided","Reject, does not assess invasive spp impact on native","","","","reject"
2020-05-28 15:26:22,"C_Hovis","402",2019,"Hovis",NA,NA,NA,"Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","Not sure if it counts since the quantification of BD is not tied to a species or community, Decided to reject since only looking at tree cover loss, no tie to biodiversity metric","","","","reject"
2020-03-19 12:04:58,"A_Torres","411",2015,"Flynn","Coral reef decline","Impacts of boat anchoring associated with ocean recreation and boat traffic","benthic community composition, coral colony size and density, species richness and abundance","Observational study","No","No Supplementary Material Provided","Shipping or recreation, nor the source of the ships (local, national, international) is mentioned. The scale of the entire system is unclear.","","","","reject"
2020-04-27 12:34:23,"A_Herzberger","413",2012,"Josens","wetland bird diversity ","NA  vague ""anthropogenic influence"" urban areas, cattle production, recreation ","species richness, abundance, community composition and seasonality","Observational study","No","No","","","","","reject"
2020-04-28 21:58:08,"Y_Zhang","416",2012,"Rhyne","Fish","Trade (marine aquarium fish)","Shannon and Simpson diversity indices, conponent evenness","Observational study","No","Yes","This paper studied the marine aquarium fish diversity of the imported country (USA), rather than (trade impact on) those exported countries, hence it didn't meet our coding criteria.","No","No","","reject"
2020-03-30 18:27:06,"A_Torres","417",2019,"Giovas",NA,"Species introduction",NA,"Isotope analysis","No","No Supplementary Material Provided","","No","No","","reject"
2020-04-27 12:28:52,"A_Herzberger","421",2019,"Jehlík","invasive species #","ports ","# of invasive at ports","Review (not qualified for coding)","No","No","","No","No","","reject"
2020-05-28 14:46:10,"C_Hovis","430",2012,"Baasch",NA,NA,NA,"Experimental study","No","No Supplementary Material Provided","Reject, experiment comparing restoration practices after mining, no active mining impact ","No","","","reject"
2020-04-05 15:23:44,"X_Wu","441",2019,"Mottaghi","Interstitial crustaceans",NA,"Shannon–Wiener Index","Observational study","No","No Supplementary Material Provided","This paper foucuses on anthropogenic disturbances, and compares diversity in natural beaches and artificial/disturbed beaches, but didn't mention the metacoupling process.","","","","reject"
2020-04-28 15:30:03,"C_Hovis","462",2019,"Biagioni",NA,NA,NA,"Review (not qualified for coding)","No","No Supplementary Material Provided","Reject, review","","","","reject"
2020-04-05 15:29:17,"X_Wu","470",2019,"Armstrong","Biodiverstiy in North Atlantic",NA,NA,"Survey","No","No","This paper is based on survey of experts rather than measurement.","","","","reject"
2020-04-28 23:06:18,"Y_Zhang","474",2011,"Grant","vegatation","(Management impact on) Elephant impact on vegetation change","Unclear","Observational study","No","No Supplementary Material Provided","This paper talked much about management of protected areas and its impact on elephant abundance, rarely involving quantified impact of elephant impact on vegetation","No","No","","reject"
2020-03-20 10:47:59,"K_Kapsar","496",2019,"Marques","birds","agriculture and forestry","risk of bird species extinction","Modeling study (using empirical data and not projected)","No","Yes","This is the Marques et al. study that we discussed earlier as a group. I wasn't sure exactly what we decided given that this study is very similar to what we're interested in. However, it does not use empirical data on bird species extinction. Rather, it calculates the risk of extinction based on changes in habitat as a result of land use change from agriculture and forestry. For these reasons, I have recommended that we reject it. ","","","","reject"
2020-03-16 11:57:29,"MG_Chung","512",2018,"Canteiro","plant and animal species","the impacts of touristic activities on biodiversity of the protected areas","This study interviews with the experts to identify such impacts.","expert ineterviews","No","No Supplementary Material Provided","","","","","reject"
2020-05-28 14:42:09,"C_Hovis","514",2018,"Radny",NA,NA,NA,"Experimental study","No","No Supplementary Material Provided","Reject, no distant impact","No","No","No distant impact","reject"
2020-04-16 16:19:52,"C_Hovis","526",2018,"Claudio","Bacteria study",NA,NA,"Observational study","No","No","Study on microbiome diversity of bats","","","","reject"
2020-04-27 17:15:14,"C_Hovis","530",2018,"Moser","Spp richness","invasive spp",NA,"Modeling study (using empirical data and not projected)","No","Yes","Reject, does not evaluate invasive spp impact on native","","","","reject"
2020-04-30 19:09:57,"M_Lei","567",2018,"Boileau","shrub expansion","migratory caribou","shrub species cover","Observational study","No","No","migration of a species on biodiversity but without human-interference","No","No","","reject"
2020-04-30 13:48:55,"Y_Li","619",2018,"Wang","na","tourist","na","Observational study","No","No","this is a metacoupling paper but no relation with biodiversity, please remove it.","No","Yes","tourist","reject"
2020-04-05 15:32:12,"X_Wu","635",2018,"Jeres","Fish",NA,NA,"Observational study","No","No","Only the abstract is in English.","","","","reject"
2020-03-20 09:51:01,"K_Kapsar","645",2018,"Ma",NA,"Neighboring households? ",NA,"Observational study","No","No","This study examines the impacts of various biodiversity conservation policies on household level income in panda reserves in China. However, it does not appear to measure any actual biodiversity impacts. ","","","","reject"
2020-04-30 17:32:46,"M_Lei","648",2018,"Huelsz","NO","Tourism",NA,"Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","","No","No","","reject"
2020-05-24 15:38:08,"A_Torres","674",2017,"Bowler","Danish terrestrial birds",NA,"abundance","Modeling study (using empirical data and not projected)","No","No","","No","","","reject"
2020-04-30 13:54:11,"Y_Li","718",2018,"Van Wilgenburg","boreal forest bird ","na","habitat quality","Observational study","No","No","not a metacoupling paper, please remove it.","No","No","not a metacoupling paper, please remove it.","reject"
2020-03-19 22:56:58,"M_Lei","769",2018,"Gurtler","the number of axis deer and wild boar in a protected area of north-eastern Argentina","hunters to cull wild boar and exotic deer compatible with park conservation goals",NA,"Observational study","No","No Supplementary Material Provided","There are no quantitative indicators of biodiversity","","","","reject"
2020-04-30 12:35:38,"Y_Li","770",2018,"Colorado Z.","migratory birds","na","bird richness and abundance ","Observational study","No","Yes","remove this paper","No","No","no metacouplings","reject"
2020-03-20 09:56:36,"K_Kapsar","789",2018,"Bertelsmeier",NA,"international trade/shipping","propagule pressure","Observational study","No","No","This study examines the rate of establishment of invasive ant species as it relates to rate of discovery by border control agents. However, it does not examine the the risk to other biodiversity in the invaded regions and is therefore rejected from further coding. ","","","","reject"
2020-03-19 09:12:01,"E_Dean","792",2018,"Hardisty-Moore","Migratory animal population dynamics","No metacoupling explicitly indicated","Abundance","Modeling study (using empirical data and not projected)","No","No Supplementary Material Provided","Paper just examined the shift in population trends over time, organized by animal and type of migratory behavior. No metacoupling indicated.","","","","reject"
2020-05-28 00:10:59,"Y_Li","818",2018,"Hassan","forest, elephants","refugee migration","forest cover loss","Observational study","No","No Supplementary Material Provided","","No","Yes","refugee migration led to settlement camps development and forest loss","reject"
2020-03-17 19:39:27,"E_Xing","837",2018,"Parsons","The number of waterbird individuals and species","no","The number of waterbird individuals and species","Observational study","No","No Supplementary Material Provided","na","no such data in Chinese survey","no such data in Chinese survey","no such data in Chinese survey","reject"
2020-03-16 14:13:57,"MG_Chung","847",2017,"Nuno","sea turtle","Consumer preferences toward wild-sourced (illegal) sea turtle products may increase unsustainable sea turtle trade and thus decrease sea turtle bioidversity. Farmed (legal) products can promote sustainable trade by providing legally sourced products, decreasing harvest from the wild, and driving down prices.",NA,"Household surveys","No","Yes","","","","","reject"
2020-03-16 14:38:58,"MG_Chung","853",2018,"Tsuyuzaki","fire-favored plant species","the impacts of global warming on wildfire; this study only focused on anthropogenic climate change ","plant species richness, diversity (H'), and evenness (J')","Observational study","No","No Supplementary Material Provided","","","","","reject"
