"timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
2020-03-18 15:59:26,4155,"Birds","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.003","Ovenbird (Seiurus aurocapilla), local scale","MG_Chung","1"
2020-03-18 16:00:44,4155,"Birds","2","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.049","Black-throated green warbler (Setophaga virens), local level","MG_Chung","2"
2020-03-18 16:01:52,4155,"Birds","3","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.049","Dark-eyed junco (Junco hyemalis), local level","MG_Chung","3"
2020-03-18 16:03:04,4155,"Birds","4","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.03","Red-eyed vireo (Vireo olivaceus), at the 25-ha scale","MG_Chung","4"
2020-03-18 16:04:13,4155,"Birds","5","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.035","Blackburnian warbler (Setophaga fusca), at 25-ha level","MG_Chung","5"
2020-03-18 16:05:30,4155,"Birds","6","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.035","Veery (Catharus fuscescens), local scale","MG_Chung","6"
2020-03-18 16:06:35,4155,"Birds","7","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.028","American robin (Turdus migratorius), local scale","MG_Chung","7"
2020-03-18 16:08:16,4155,"Birds","8","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.011","Chestnut-sided warbler (Setophaga pensylvanica), local level","MG_Chung","8"
2020-03-18 16:09:23,4155,"Birds","9","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.001","Chipping sparrow (Spizella passerina), both local scale and 25-ha scale, P < 0.001","MG_Chung","9"
2020-03-18 16:10:42,4155,"Birds","10","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.009","Yellow-bellied sapsucker (Sphyrapicus varius), at 25-ha scale","MG_Chung","10"
2020-03-18 16:11:54,4155,"Birds","11","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.001","Brown-headed cowbird (Molothrus ater), at 25-ha scale, P<0.001","MG_Chung","11"
2020-03-18 16:13:12,4155,"Birds","12","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.394","Eastern wood-pewee (Contopus virens)","MG_Chung","12"
2020-03-18 16:13:57,4155,"Birds","13","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.91","Blue-headed vireo (Vireo solitarius)","MG_Chung","13"
2020-03-18 16:14:38,4155,"Birds","14","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.09","Hermit thrush (Catharus guttatus)","MG_Chung","14"
2020-03-18 16:15:27,4155,"Birds","15","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Seasonal","Neutral","FALSE","0.68","Hooded warbler (Setophaga citrina)","MG_Chung","15"
2020-03-18 16:16:14,4155,"Birds","16","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.58","American Redstart (Setophaga ruticilla)","MG_Chung","16"
2020-03-18 16:17:02,4155,"Birds","17","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Seasonal","Neutral","FALSE","0.76","Black-throated blue warbler (Setophaga caerulescens)","MG_Chung","17"
2020-03-18 16:17:47,4155,"Birds","18","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.35","Scarlet tanager (Piranga olivacea)","MG_Chung","18"
2020-03-18 16:18:25,4155,"Birds","19","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.69","Rose-breasted grosbeak (Pheucticus ludovicianus)","MG_Chung","19"
2020-03-19 10:46:01,5486,"Invertebrates","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0.05","","A_Herzberger","1"
2020-03-26 16:15:13,5875,"Reptiles","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Annual","Unclear","FALSE","","","A_Herzberger","1"
2020-03-26 16:16:01,5875,"Reptiles","2","Taxonomic",NA,"Composition (what species?)",NA,"Gamma (across all sites)","Annual","Unclear","Not evaluated","","","A_Herzberger","2"
2020-03-26 16:17:51,5875,"Reptiles","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.07","","A_Herzberger","1"
2020-03-20 10:23:36,5905,"Invertebrates","1","Taxonomic",NA,NA,"habitat temperature","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.01","","A_Herzberger","1"
2020-03-20 10:24:21,5905,"Invertebrates","1","Taxonomic",NA,NA,"habitat height","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.01","","A_Herzberger","1"
2020-03-20 10:24:58,5905,"Invertebrates","1","Taxonomic",NA,NA,"habitat density","Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.01","","A_Herzberger","1"
2020-03-20 10:25:53,5905,"Invertebrates","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.01","","A_Herzberger","1"
2020-03-20 10:26:36,5905,"Invertebrates","1","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.01","","A_Herzberger","1"
2020-03-20 10:27:43,5905,"Invertebrates","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Day","Negative (detrimental)","TRUE","0.05","","A_Herzberger","1"
2020-03-19 15:33:44,5966,"Fish","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Jaccard's coefficient for quantifying fish community similarity between two basins before and after introductions. ""All kinds of fish species introduction, the increase in similarity was from 16.53-16.77% to 27.03-28.25%, taking account the aquatic environments after the elimination of the natural barrier (e.g., due to dam construction) by the Itaipu impoundment."" They observed an increase in the number of non-native species in common related to the introductions.","MG_Chung","1"
2020-03-19 15:37:39,5966,"Fish","2","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","0.0039","Whittaker's beta diversity; The analysis of turnover in fish species composition between pre- and post-introductions clearly showed a significant decrease in the distinctiveness of the fish fauna after introductions. They observed an increase in the number of non-native species in common related to the introductions.","MG_Chung","2"
2020-03-31 14:28:00,6331,"Plants/trees/shrubs","1","Taxonomic",NA,"Richness (number of species)",NA,"Gamma (across all sites)","1 time","Neutral (only when there is absolutely no difference in metrics)","FALSE","","error bars overlap, no p value provided","A_Herzberger","1"
2020-03-31 14:29:03,6331,"Plants/trees/shrubs","2","Functional","","regeneration ",NA,"Gamma (across all sites)","1 sample time ","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","","A_Herzberger","2"
2020-03-19 17:17:00,6396,"Invertebrates","1","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Beta (between pairs of sites)","Annual","Neutral","FALSE","","Shannon-Wiener diversity; ""The present study could find no evidence that freshwater macroinvertebrate community diversity was affected by ionising radiation around Chernobyl.","MG_Chung","1"
2020-03-19 17:21:15,6396,"Invertebrates","2","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Beta (between pairs of sites)","Annual","Neutral","FALSE","","Berger-Parker dominance index; ""None of the macroinvertebrate assemblage measures were related to variation between lakes in the external radiation dose.""","MG_Chung","2"
2020-03-19 17:22:52,6396,"Invertebrates","3","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Annual","Neutral","FALSE","","Abundance of individuals","MG_Chung","3"
2020-03-19 17:29:05,6396,"Invertebrates","4","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Annual","Neutral","FALSE","","Taxon richness; ""No evidence was found in this study that the ecological status of lake communities has been influenced by radioactive contamination from the Chernobyl accident. Indeed, the most contaminated lake, Glubokoye, contained the highest richness of aquatic invertebrates.""","MG_Chung","4"
2020-03-19 17:32:05,6396,"Invertebrates","5","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Annual","Neutral","FALSE","","freshwater snails; ""Even taxa that were hypothesised to be particularly susceptible to high levels of radionuclide contamination such as freshwater snails, showed no response.""","MG_Chung","5"
2020-03-20 10:36:53,6493,"Birds","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.038","Impact of exurban development on relative abundance of forest birds; Eight forest species (out of 44 species) showed lower relative abundance in exurban development (vs forest; e.g., Worm-eating Warbler, Hooded Warbler).","MG_Chung","1"
2020-03-20 10:40:19,6493,"Birds","2","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.01","MRPP (a multi-response permutation procedure) to analyze differences in bird composition between the two land-use types; Bird species composition differed significantly between the two land-use types, i.e. forest and exurban development (MRPP: T=-8.51, A=0.02, P<0.01).","MG_Chung","2"
2020-03-17 10:58:08,6655,"Mammals","1","Functional",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.001","","A_Herzberger","1"
2020-03-17 10:59:09,6655,"Mammals","1","Functional",NA,"Occurence",NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.001","","A_Herzberger","1"
2020-03-17 11:53:06,6655,"Mammals","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","Not evaluated","","Temporal resolution = snapshot/aggregate? They do measure seasonal biodiversity, but not in comparison to tourism. 

7 fewer species in ecotourism site compared to reserve site. However, author claims that these numbers are comparable. ","K_Kapsar","1"
2020-03-19 09:58:31,6655,"Mammals","1","Taxonomic",NA,"Occurence",NA,"Alpha (w/in site)","Annual","Neutral","FALSE","","The species richness in an ecotourism-exploited forest and composition were similar to those found in two adjacent pristine sites","M_Lei","1"
2020-03-30 18:55:37,6655,"Mammals","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","Not evaluated","","Compared to Cocha, tourist site had seven less species
NOTE that authors do not consider this to be a substantial difference, use as evidence that eco-tourism is good for bd","C_Hovis","1"
2020-03-30 18:55:38,6655,"Mammals","2","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","Not evaluated","","Compared to Amigos, tourist site had seven less species
NOTE that authors do not consider this to be a substantial difference, use as evidence that eco-tourism is good for bd","C_Hovis","2"
2020-03-19 22:25:41,6845,"Invertebrates","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.0127","Branching coral","X_Wu","1"
2020-03-19 22:26:56,6845,"Invertebrates","2","","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.0001","Massive coral","X_Wu","2"
2020-04-05 07:48:27,2998,"Fish","1","Taxonomic",NA,"Cumulative species richness",NA,"Gamma (across all sites)","Month","Changed (e.g. species composition)","TRUE","0.05","No p-value, entered 0.05","E_Dean","1"
2020-04-05 07:49:19,2998,"Fish","2","Taxonomic",NA,"Average species richness",NA,"Gamma (across all sites)","Month","Changed (e.g. species composition)","TRUE","0.05","no p-value provided, entered 0.05","E_Dean","2"
2020-04-05 07:50:56,2998,"Fish","3","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Gamma (across all sites)","Month","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.464","","E_Dean","3"
2020-04-05 07:52:09,2998,"Fish","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Month","Changed (e.g. species composition)","TRUE","0.01","","E_Dean","4"
2020-04-05 08:07:13,3122,"Fish","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.578","","E_Dean","1"
2020-04-05 08:08:47,3122,"Fish","2","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Seasonal","Positive (beneficial)","Not evaluated","","Said significant but provided no p-values","E_Dean","2"
2020-04-05 08:14:34,3122,"Fish","3","Taxonomic",NA,"Richness (number of species)",NA,"Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","TRUE","","","E_Dean","3"
2020-04-05 08:15:37,3122,"Fish","4","Taxonomic","","Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","TRUE","","","E_Dean","4"
2020-04-05 08:17:25,3122,"Fish","5","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","TRUE","","","E_Dean","5"
2020-04-05 08:18:08,3122,"Fish","6","Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","Not evaluated","","","E_Dean","6"
2020-04-05 11:50:46,5125,"Plants/trees/shrubs","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","0.0001","","X_Wu","1"
2020-04-05 16:01:30,992,"Invertebrates","1","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Month","Changed (e.g. species composition)","FALSE","0.151","","X_Wu","1"
2020-04-05 16:30:13,3868,"Plants/trees/shrubs","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Annual","Changed (e.g. species composition)","TRUE","0.016","","E_Dean","1"
2020-04-05 16:32:12,2345,"Birds","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Annual","Negative (detrimental)","TRUE","0.001","Forest interior guild species richness","X_Wu","1"
2020-04-05 16:35:46,2345,"Birds","2","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Annual","Positive (beneficial)","TRUE","0.004","Early successional guild species richness","X_Wu","2"
2020-04-05 16:36:45,2345,"Birds","3","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Annual","Positive (beneficial)","TRUE","0.001","Synanthropic guild species richness","X_Wu","3"
2020-04-05 16:47:22,6502,"Birds","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.00002","Northern Harrier","E_Dean","1"
2020-04-05 16:48:08,6502,"Birds","2","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.001","Ferruginous Hawk","E_Dean","2"
2020-04-05 16:48:51,6502,"Birds","3","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.06","Sharp-tailed Grouse","E_Dean","3"
2020-04-05 16:49:50,6502,"Birds","4","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.07","Upland Sandpiper","E_Dean","4"
2020-04-05 16:50:35,6502,"Birds","5","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.007","Long-billed Curlew","E_Dean","5"
2020-04-05 16:51:10,6502,"Birds","6","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.0009","Short-eared Owl","E_Dean","6"
2020-04-05 16:51:46,6502,"Birds","7","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000003","Horned Lark","E_Dean","7"
2020-04-05 17:10:02,6502,"Birds","8","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000001","Sedge Wren","E_Dean","8"
2020-04-05 17:10:48,6502,"Birds","9","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","","0.000004","Sprague’s Pipit","E_Dean","9"
2020-04-05 17:11:37,6502,"Birds","10","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000007","Vesper Sparrow","E_Dean","10"
2020-04-05 17:12:19,6502,"Birds","11","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.00007","Lark Bunting","E_Dean","11"
2020-04-05 17:13:02,6502,"Birds","12","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.0004","Savannah Sparrow","E_Dean","12"
2020-04-05 17:14:00,6502,"Birds","13","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","","TRUE","0","Grasshopper Sparrow","E_Dean","13"
2020-04-05 17:14:43,6502,"Birds","14","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.00002","Baird’s Sparrow","E_Dean","14"
2020-04-05 17:15:43,6502,"Birds","15","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.19","Le Conte’s Sparrow","E_Dean","15"
2020-04-05 17:16:42,6502,"Birds","16","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Neutral (only when there is absolutely no difference in metrics)","TRUE","0.01","McCown’s Longspur","E_Dean","16"
2020-04-05 17:17:26,6502,"Birds","17","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000009","Chestnut-collared Longspur","E_Dean","17"
2020-04-05 17:18:10,6502,"","18","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000002","Bobolink","E_Dean","18"
2020-04-05 17:18:51,6502,"Birds","19","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000001","Eastern Meadowlark","E_Dean","19"
2020-04-05 17:19:27,6502,"Birds","20","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Annual","Negative (detrimental)","TRUE","0.000009","Western Meadowlark","E_Dean","20"
2020-04-05 17:20:06,6502,"Birds","22","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,NA,"Annual","Negative (detrimental)","TRUE","0","All birds","E_Dean","22"
2020-04-05 17:23:46,5853,"Reptiles","1","Taxonomic","Population dynamics (survival, fitness, reproduction, mortality, etc.)","","","Alpha (w/in site)","Annual","Negative (detrimental)","Not evaluated","","","X_Wu","1"
2020-04-06 09:30:11,1299,"Birds","1","Taxonomic","","","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Seasonal","Negative (detrimental)","TRUE","0.05","The effect of bike trails in summer on summer habitat selection of capercaillie in home range","X_Wu","1"
2020-04-06 09:31:04,1299,"Birds","2","Taxonomic","","","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Seasonal","Positive (beneficial)","FALSE","","The effect of hike trails in summer on summer habitat selection of capercaillie in home range","X_Wu","2"
2020-04-06 09:35:46,1299,"Birds","3","Taxonomic","","","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Seasonal","Positive (beneficial)","TRUE","0.01","The effect of winter recreation infrastructure on winter habitat selection of capercaillie in study area.","X_Wu","3"
2020-04-06 09:37:51,1299,"Birds","4","Taxonomic","","","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Seasonal","Negative (detrimental)","TRUE","0.01","The effect of winter recreation infrastructure on winter habitat selection of capercaillie in home range.","X_Wu","4"
2020-04-06 10:11:04,1799,"Birds","1","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.05","Relationships between bird price and changes in abundance over time in Way Canguk, Sumatra","X_Wu","1"
2020-04-06 10:12:20,1799,"Birds","2","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Alpha (w/in site)","Day","Negative (detrimental)","FALSE","","Relationships between bird price and changes in bird abundance along remoteness gradients in northern Sumatra","X_Wu","2"
2020-04-06 11:09:16,4393,"Fish","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","Not evaluated","","","X_Wu","1"
2020-04-06 11:53:24,5309,"Birds","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Alpha (w/in site)","Annual","Negative (detrimental)","TRUE","0.00157","The effect of interaction term between season and number of tourists on active nests","X_Wu","1"
2020-04-06 15:45:20,4551,"Plants/trees/shrubs","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Annual","Negative (detrimental)","TRUE","0.05","Treatment only native species except Coriaria were allowed to establish VS Treatments retaining non-native species","X_Wu","1"
2020-04-06 15:48:15,4551,"Plants/trees/shrubs","2","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Annual","Negative (detrimental)","FALSE","","Treatment non-native species removed and retaining Coriaria VS Treatments retaining non-native species","X_Wu","2"
2020-04-06 15:51:15,4551,"Plants/trees/shrubs","3","Taxonomic","","Composition (what species?)","","Beta (between pairs of sites)","Annual","Positive (beneficial)","TRUE","0.05","Treatment only native species except Coriaria were allowed to establish VS Treatments retaining non-native species","X_Wu","3"
2020-04-06 15:52:08,4551,"Plants/trees/shrubs","4","Taxonomic","","Composition (what species?)","","Beta (between pairs of sites)","Annual","Positive (beneficial)","FALSE","","Treatment non-native species removed and retaining Coriaria VS Treatments retaining non-native species","X_Wu","4"
2020-04-06 15:53:59,4551,"Plants/trees/shrubs","5","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","Annual","Negative (detrimental)","TRUE","0.03","Treatment only native species except Coriaria were allowed to establish VS Treatments retaining non-native species","X_Wu","5"
2020-04-06 15:54:58,4551,"Plants/trees/shrubs","6","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","","Negative (detrimental)","TRUE","0.03","Treatment non-native species removed and retaining Coriaria VS Treatments retaining non-native species","X_Wu","6"
2020-04-06 16:44:16,6820,"Birds","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Alpha (w/in site)","Day","Negative (detrimental)","Not evaluated","","","X_Wu","1"
2020-04-07 14:05:21,17,"Plants/trees/shrubs","1","Taxonomic","","Percent cover","","Beta (between pairs of sites)","Annual","Neutral (only when there is absolutely no difference in metrics)","FALSE","","","E_Dean","1"
2020-04-10 16:05:34,5477,"Birds","1","Taxonomic",NA,NA,"Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Annual","Negative (detrimental)","Not evaluated","","","A_Herzberger","1"
2020-04-11 14:25:07,5844,"Fish","1","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.005","","E_Dean","1"
2020-04-11 14:28:15,5844,"Fish","2","Taxonomic","","Evenness","","Gamma (across all sites)","Seasonal","Positive (beneficial)","TRUE","0.001","Fishing pressure ","E_Dean","2"
2020-04-11 14:30:08,5844,"Fish","3","Taxonomic",NA,"Average taxonomic distinctness","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.001","Fishing pressure","E_Dean","3"
2020-04-11 14:31:03,5844,"Fish","4","Taxonomic","","variation in taxonomic distinctness","","Gamma (across all sites)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","TRUE","0.005","Fishing pressure","E_Dean","4"
2020-04-11 14:32:24,5844,"Fish","5","Functional","","Herbivore biomass","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.002","Fishing pressure","E_Dean","5"
2020-04-11 14:33:07,5844,"Fish","6","Functional","","Piscivore biomass","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.002","Fishing pressure","E_Dean","6"
2020-04-11 14:34:15,5844,"Fish","7","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","Seasonal","Positive (beneficial)","TRUE","0.003","Coral cover","E_Dean","7"
2020-04-11 14:35:52,5844,"Fish","8","Taxonomic","","Average taxonomic distinctness","","Gamma (across all sites)","Seasonal","Positive (beneficial)","TRUE","0.001","Coral cover","E_Dean","8"
2020-04-11 14:36:40,5844,"Fish","9","Taxonomic","","variation in taxonomic distinctness","","Gamma (across all sites)","Seasonal","Positive (beneficial)","TRUE","0.005","Coral cover","E_Dean","9"
2020-04-11 14:37:34,5844,"Fish","10","Functional","","Non-target piscivore biomass","","Gamma (across all sites)","Seasonal","Positive (beneficial)","","0.005","Coral Cover","E_Dean","10"
2020-04-11 14:38:16,5844,"Fish","11","","","Evenness","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.001","Coral cover","E_Dean","11"
2020-04-11 14:39:10,5844,"Fish","12","Functional","","all herbivore biomass","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.001","Coral cover","E_Dean","12"
