Timestamp,Coder ID,Paper ID Code ,Year Published,First Author's Last Name,Criteria 1: Biodiversity,Criteria 2: Metacoupling,Criteria 3: Biodiversity Quantification,Criteria 4: Study Type,Were you able to explicitly indicate that the paper meets all four of our criteria for the previous questions?,,,Did you check for relevant information in the supplementary material?,Concerns/Comments,Does this paper need further discussion with the whole group? (Expect most answers to be no),"Did the authors explicitly reference distant impacts on biodiversity in the text of the paper? (If yes, you did not have to infer that there was a telecoupling process.)",Please explain your above answer.
4/30/2020 15:48:30,Y_Zhang,4403,2013,Ellis,Sea birds,Bycatch and oil/gas spill impact on sea birds,Unclear,Observational study,No,,,No Supplementary Material Provided,"Only did counts for several sea birds over years, no assessment of biodiversity of that species has been made",No,No,
4/30/2020 15:31:42,Y_Zhang,4293,2014,Ballantyne,Several plant species,"Hiking trails impact on species richness, abundance",Species abundance,Observational study,Yes,,,No Supplementary Material Provided,,No,No,Use hiking trails  in 2003 vs. 2013 for comparison. Not explicit mentioned number of tourists etc.
4/30/2020 15:07:03,Y_Zhang,4251,2014,Zarghi,Unclear (biodiversity in general?),Ecotourism impact on biodiversity,"Dominance, Shannon, Simpson, Evenness, Menherick, Margalef, Equitability, Berger-Parker index",Review (not qualified for coding),No,,,No Supplementary Material Provided,,No,No,
4/30/2020 14:39:37,Y_Zhang,4020,2014,Huhta,Several bird species,Human disturbance (tourism) impact on bird abundance,abundance,Observational study,Yes,,,No Supplementary Material Provided,,No,No,
4/30/2020 13:58:27,Y_Zhang,4005,2014,Raj,Native/invasive species,Invasive species distribution and diversity [not metacoupling effect],Number of species,Observational study,No,,,Yes,No explicit metacoupling effect measured/reported,No,No,
4/30/2020 13:54:11,Y_Li,718,2018,Van Wilgenburg,boreal forest bird ,na,habitat quality,Observational study,Yes,,,No,"not a metacoupling paper, please remove it.",No,No,"not a metacoupling paper, please remove it."
4/30/2020 13:48:55,Y_Li,619,2018,Wang,na,tourist,na,Observational study,Yes,,,No,"this is a metacoupling paper but no relation with biodiversity, please remove it.",No,Yes,tourist
4/30/2020 13:39:47,Y_Li,225,2015,Cruz,amphibians,na,na,Observational study,Yes,,,No,"not a metacoupling paper, please remove it.",No,No,"not a metacoupling paper, please remove it."
4/30/2020 13:34:19,Y_Zhang,5621,2012,Zhang,NA,NA,NA,NA,No,,,No,Chinese language,No,No,
4/30/2020 13:25:57,Y_Li,203,2019,Gedan,na,na,na,Observational study,Yes,,,No,"not a metacoupling paper, please remove it.",No,No,"not a metacoupling paper, please remove it."
4/30/2020 13:14:43,Y_Li,94,2019,ZUNGUM,birds,invasive species,na,Review (not qualified for coding),Yes,,,No,,No,Yes,invasive species
4/30/2020 13:07:17,Y_Li,64,2019,Baraf,Marine angelfshes,na,na,Modeling study (using empirical data and not projected),Yes,,,Yes,not a metacoupling paper,No,No,not a metacoupling paper
4/30/2020 13:01:50,Y_Li,1,2019,Brun,na,na,na,Experimental study,Yes,,,Yes,"not a metacoupling paper, please remove",No,No,na
4/30/2020 12:55:08,C_Hovis,4760,2013,Sada,Branchipods,Tourism,egg density,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,"Site of burning man festival, global attraction"
4/30/2020 12:35:38,Y_Li,770,2018,Colorado Z.,migratory birds,na,bird richness and abundance ,Observational study,Yes,,,Yes,remove this paper,No,No,no metacouplings
4/30/2020 12:24:34,C_Hovis,5756,2012,Remis,Monkey,hunting/trade,"abundane over time, spp comp",Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,Talk about how migration and trade have increased hunting and meat demand in the region
4/30/2020 11:54:17,Y_li,6655,2011,Salvador,large mammals,ecotourism,richness; composition,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,"ecotourism reserves along major rivers may act as effective faunal refugees and provide one of the
few opportunities for the conservation of floodplain habitats outside strictly protected areas in a mosaic
landscape threatened by bouncing populations of colonists."
4/30/2020 9:39:41,E_Dean,3790004,2012,Kaisanlahti-Jokimaki,Bird communities,Tourism,Bird abundance and diversity,"Used a study with artificial nests which may fall under ""simulation""",No,,,Yes,,No,No,Authors mentioned tourism but did not identify relationship between biodiversity and external places/processes affecting biodiversity
4/30/2020 9:24:21,E_Dean,3790003,2011,Lucas-Borja,Plant communities,"Tourism, however this is briefly mentioned and not connected to any external process or place.",Plant cover and diversity,Observational study,No,,,Yes,,No,No,Authors describe tourism but there is no link to external processes.
4/30/2020 0:18:03,Y_Zhang,3883,2014,Au,Coral reef,Divers impact on coral reef abundance,Relative abundance,Observational study,No,,,Yes,"No before/after abundance comparison, can't measure metacoupling effect.",No,No,
4/30/2020 0:08:01,Y_Zhang,3719,2015,Orlova,Euphausiids,[Not metacoupling effect] Climate impact on euphausiids and their predators,Euphausiid abundance,Observational study,No,,,Yes,,No,No,
4/30/2020 0:01:40,Y_Zhang,3673,2015,Keppel,Mussel and sea star,Ocean acidification and warming impact on mussels and sea stars,Unclear,Experimental study,No,,,Yes,Ocean acidification and warming (i.e. climate change) was too broad,No,No,
4/29/2020 23:57:05,Y_Zhang,3481,2015,Nijman,Several tortoises and turtles,Wildlife trade impact on tortoise and turtle abundance,"Abundance (survey traded species only, not species in original places)",Observational study,No,,,No Supplementary Material Provided,"Survey traded species only, not species in original places",No,No,
4/29/2020 23:39:37,Y_Zhang,3311,2015,Kleef,Chironomid larvae,Unclear (restoration of lake impact on species composition),Species composition,Observational study,No,,,Yes,,No,No,
4/29/2020 23:29:16,Y_Zhang,3175,2015,Hufbauer,Flour beetle,Unclear,Population size,Experimental study,No,,,Yes,No explicit metacoupling effect,No,No,
4/29/2020 23:17:18,Y_Zhang,3174,2015,Hagenblad,Invasive plant species (Impatiens glandulifera),Introduction and spread of invasive species impact on native (genetic) biodiversity,Genetic diversity in I. glandulifera,Observational study,No,,,Yes,It is a study about genetic diversity of an invasive species itself...,No,No,
4/29/2020 23:06:58,Y_Zhang,2683,2016,Buckley,Multiple species,Ecotourism impact on multiple species population,Species population,Simulation or Forecasting study (does not qualify for coding),No,,,No Supplementary Material Provided,"Population viability analysis, Vortex modeling/simulation for prediction",No,No,
4/29/2020 23:00:24,Y_Zhang,2427,2016,Scherer,Biodiversity,Water consumption impact on potential biodiversity loss through agriculture/trade,Potentially disappeared fraction of species (PDF),Mixed: observational and modeling,No,,,Yes,A little confused,Yes,No,
4/29/2020 22:44:11,Y_Zhang,2347,2016,Loh,Seahorse,Implied trade impact on seahorse abundance (but no before and after comparison),Seahorse abundance,Observational study,No,,,Yes,,No,No,
4/29/2020 18:12:23,A_Torres,1965,2017,DeSha,Butterfly ,NA,Species assemblage,Observational study,No,,,No,,,,
4/29/2020 18:08:54,A_Torres,7153,2010,Kostoski,NA,invasive species and tourism,NA,Review (not qualified for coding),No,,,No Supplementary Material Provided,,,,
4/29/2020 17:49:14,Y_Zhang,2015,2017,Piana,Fish,Unclear - no metacoupling effect was specifically detected.,abundance,Observational study,No,,,No Supplementary Material Provided,,No,No,
4/29/2020 17:21:58,C_Hovis,4063,2014,Sealey,Plant,Human impact (tourism),"plant richness, community",Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,Tourism mentioned as key driver of human impact metric
4/29/2020 16:37:32,A_Torres,6359,2011,Airoldi,Mussels and oysters,NA,cover,Observational study,No,,,No,The possible link with tourism is just too weak here,,,
4/29/2020 16:32:54,A_Torres,6254,2011,Seshadri,animals,Tourism,Mortality,Observational study,Yes,,,Yes,,No,Yes,
4/29/2020 16:05:01,A_Torres,5818,2012,Soto,Plants and animals,International trade (corn),land cover change,"Not proper analysis. Only presents changes in land-cover by states, but it does not analyze impacts on biodiversity",No,,,No Supplementary Material Provided,,,,
4/29/2020 15:56:16,A_Torres,5721,2012,Klauco,NA,Tourism,Landscape fragmentation,Modeling study (using empirical data and not projected),No,,,No,"This article finds that tourism leads to landscape fragmentation, however as demonstrated by Fahrig'sr reviews the effect of fragmentation on biodiversity is not necessarily negative, so we cannot take landscape fragmentation as a surrogate to conclude anything on biodiversity trends.",,,
4/29/2020 15:51:49,A_Torres,5117,2019,Liu,NA,Invasive species,NA,Simulation or Forecasting study (does not qualify for coding),No,,,No,,,,
4/29/2020 15:49:28,A_Torres,5077,2019,Roy,NA,Invasive species,NA,Horizon scanning to make a list of invasive species,No,,,No,,,,
4/29/2020 15:46:47,A_Torres,4973,2013,Hughes,wildlife,NA,NA,Review (not qualified for coding),No,,,No,,,,
4/29/2020 15:45:15,A_Torres,4736,2013,Bender,reef fishes,NA,species threat status,Modeling study (using empirical data and not projected),No,,,No,,,,
4/29/2020 15:42:49,A_Torres,4454,2013,Schueler,biomass,EU RED Sustainability Criteria,biomass,Simulation or Forecasting study (does not qualify for coding),No,,,No,,,,
4/29/2020 15:36:33,A_Torres,4205,2014,Hughes,NA,Invasive species,NA,Review (not qualified for coding),No,,,No,,,,
4/29/2020 15:31:52,A_Torres,3831,2014,Bamford,mammals,NA,presence,Observational study,No,,,No,No meta/telecoupling,,,
4/29/2020 14:55:22,K_Kapsar,5572,2012,Pretto,Non-native species,Tourism,NA,Observational study,No,,,No,,No,No,
4/29/2020 14:48:13,K_Kapsar,4733,2013,Steven,Birds,Tourism,Number of species threatened by tourism,Observational study,Yes,,,No,"While this paper counts the number of endangered and critically endangered bird species threatened by tourism in biodiversity hotspots around the globe, it does not actually measure the impacts of tourism on those species. ",Yes,No,Not specified where tourists are coming from. Assumed to be outside focal CHANS. 
4/29/2020 14:09:14,A_Torres,3537,2015,Olson,ungulates,"Asian Highway Network, linked with global trade and resource extraction",None,Review (not qualified for coding),No,,,No Supplementary Material Provided,This paper is a book chapter and more of a synthesis work.,No,,
4/29/2020 14:03:18,A_Torres,3300,2015,Scott,sea anemones and anemonefishes,pet trade,abundance,Observational study,No,,,No Supplementary Material Provided,"This work report abundances of species, but it does not assess the impacts of pet trade, it only discuss it. ",No,Yes,
4/29/2020 13:54:24,A_Torres,3039,2015,de Juan,fisheries,Tourism,Species biomass and species richness,Observational study,No,,,No Supplementary Material Provided,No proper analysis of the impacts of tourism on fisheries,No,No,No quantification of tourism nor source/scale of tourists mentioned
4/29/2020 13:52:56,K_Kapsar,4552,2013,Zhou,Mammals,Tourism,Presence,Observational study,Yes,,,Yes,,No,No,Assumed that tourists are from a different CHANS. 
4/29/2020 13:42:47,C_Hovis,2205,2016,Homayoun,Bird,NA,community metrics,Observational study,No,,,No,"Reject, no apparent distant impact assessed related to the urbanization:biodiversity relationship",,,
4/29/2020 13:36:41,C_Hovis,5148,2019,Garcia,Fish,na,ABUNDANCE,Observational study,No,,,No,"Reject, study is inventory of fish spp, not TC impact assessed",No,,
4/29/2020 13:31:57,K_Kapsar,4528,2013,Ogutu,Large-bodied mammals,Human expansion? ,Density,Observational study,No,,,No,"Movement of wildlife between national park and adjacent plains region and expansion of humans into the plains region, resulting in decreases in wildlife... ",Yes,No,Movement of wildlife between national park and adjacent plains where human population expanded? 
4/29/2020 13:30:23,C_Hovis,5019,2019,Ali,Sheep pop,NA,Presence,Observational study,No,,,No,"Reject no comprehensive analysis of TC factors on sheep pop, just anecdotal evidence, seems like a study at the very early stages of investigation",No,,
4/29/2020 13:14:26,C_Hovis,84,2019,Lindenmayer,Bird,Logging,apparent occupancy and richness,Observational study,Yes,,,Yes,,No,No,"Distant impact is logging, assuming that at least a portion of the logging is used to meet demand from distant places and not just for local communities"
4/29/2020 12:21:37,C_Hovis,3354,2015,Syrjanen,Fish,NA,NA,Observational study,No,,,No,"Reject, no measure of stocking impact on natural bd",,,
4/29/2020 11:44:42,C_Hovis,7049,2010,Brock,NA,NA,NA,Simulation or Forecasting study (does not qualify for coding),No,,,No Supplementary Material Provided,"Reject, simulation with no empirical data",,,
4/29/2020 11:40:02,C_Hovis,2502,2016,Wan,NA,Invasive spp,NA,Modeling study (using empirical data and not projected),No,,,No,"Reject,Does not measure actual impact on biodviersity (indentifies hotspots of potential plant invasion)",No,,
4/29/2020 11:37:04,C_Hovis,5085,2019,Vogdrup-Schmidt,NA,Investment,NA,Observational study,No,,,No,"Reject, does not assess biodiversity (donation factors for conservation)",No,,
4/29/2020 11:20:57,Y_Zhang,1879,2017,Ramirez-Restrepo,Urban butterflies (Lepidoptera),Urbanization impact on butterfly abundance and richness,Richness and abundance,Review (not qualified for coding),No,,,No Supplementary Material Provided,"Although this is a review paper not suitable for coding, it would provide good background information and should be considered by the literature review/introduction part team",Yes,No,
4/29/2020 0:49:50,Y_Zhang,1752,2017,Zeeman,Plant species,Urbanization impact on native/non-native plant species occurance,species occurance,Observational study,Yes,,,Yes,,No,No,
4/29/2020 0:32:05,Y_Zhang,1740,2017,McClanahan,Coral reefs,Climate change impact on coral reefs and its ecosystem,"Coral cover, number of genera, site susceptibility",Observational study,No,,,No Supplementary Material Provided,Climate change impact was too broad and vague,No,No,
4/29/2020 0:22:01,Y_Zhang,1718,2017,Chaudhary,Multiple taxa of species,Wood consumption and trade impact on species extinction,species per million meter cubic of wood production,Simulation or Forecasting study (does not qualify for coding),No,,,Yes,,No,No,
4/29/2020 0:21:06,M_Lei,3754,2014,TELLERÍA,PASSERINE RICHNESS,NA,patterns of winter bird richness,Observational study,No,,,No Supplementary Material Provided,,No,No,"there is no distant impacts, just talk about productivity, temperature and landscape cover"
4/29/2020 0:11:56,Y_Zhang,1537,2017,Walsh,Flying fox,Human population imapct on flying fox niche,Niche modeling,Modeling study (using empirical data and not projected),No,,,Yes,,No,No,
4/29/2020 0:06:37,Y_Zhang,1498,2017,Jansen,Spruce,Seed introduction through several ways (i.e. trade),Unclear,Review (not qualified for coding),No,,,Yes,,No,No,
4/28/2020 23:56:06,M_Lei,2547,2016,Grosset,The red swamp crayfish Procambarus clarkii in Europe: Impacts on aquatic ecosystems and human well-being,invasive crayfish,the amount of invasive crayfish,Review (not qualified for coding),No,,,Yes,,No,No,
4/28/2020 23:52:21,Y_Zhang,1491,2016,Ducharme,Unclear,Certified agricultural lands impact on biodiversity,Unclear,Review (not qualified for coding),No,,,Yes,,No,No,
4/28/2020 23:46:15,Y_Zhang,1392,2017,Santos,Fish,Dam construction on fish traits,fish traits,Observational study,No,,,Yes,No quantifiable biodiversity metrics,No,No,
4/28/2020 23:41:41,M_Lei,6276,2011,Field,impacts of residual salmon-derived nutrients on estuarine breeding bird richness and eveness,salmon migration,Shannon's index and  simpson's index,Observational study,Yes,,,Yes,,Yes,No,Pacific salmon (Oncorhynchus spp.) returning to streams around the North Pacific Rim provide a nutrient subsidy to these ecosystems， which means the fish flow.
4/28/2020 23:19:36,Y_Zhang,1091,2018,Hossain,Tiger tracks,Human disturbance on tiger abundance (use tiger track as proxy),Tiger tracks,Observational study,No,,,No Supplementary Material Provided,No quantified biodiversity metrics as expected in our criteria,No,No,
4/28/2020 23:06:18,Y_Zhang,474,2011,Grant,vegatation,(Management impact on) Elephant impact on vegetation change,Unclear,Observational study,No,,,No Supplementary Material Provided,"This paper talked much about management of protected areas and its impact on elephant abundance, rarely involving quantified impact of elephant impact on vegetation",No,No,
4/28/2020 22:44:28,Y_Zhang,466,2011,Bejarano,Riparian trees and shrubs,Presence of dam impact on numbers of riparian trees and shrubs (through flow regulation),Number of species,Observational study,Yes,,,Yes,,No,No,
4/28/2020 22:17:00,Y_Zhang,425,2019,Costa,Tiger beetles (macroinvertebrates),Tourism impacts on sand tiger beetle abundance,Tiger beetle abundance,Mixed: both observational/experimental study and literature review,Yes,,,Yes,,No,No,Didn't specify where the tourists come from
4/28/2020 21:58:08,Y_Zhang,416,2012,Rhyne,Fish,Trade (marine aquarium fish),"Shannon and Simpson diversity indices, conponent evenness",Observational study,No,,,Yes,"This paper studied the marine aquarium fish diversity of the imported country (USA), rather than (trade impact on) those exported countries, hence it didn't meet our coding criteria.",No,No,
4/28/2020 18:39:51,C_Hovis,3699,2015,Villa,NA,NA,NA,Observational study,No,,,No,"
Reject b/c microbe study",No,,
4/28/2020 18:36:52,C_Hovis,2944,2016,Oliveira,NA,NA,NA,Observational study,No,,,No,"Rejected b/c assesses the diversity of crops, not ""natural"" biodivesity (may need to specify this somewhere in the criteria)",No,,
4/28/2020 18:33:54,C_Hovis,134,2017,Dudley,Shrimp body condition and abundance,Species Invasion,"body condition, habitat quality?, abundance",Observational study,Yes,,,No Supplementary Material Provided,,No,No,"Two invasive spp described as introduced, had to google to make sure introductions were related to TC. Minimal amount of inferring. "
4/28/2020 17:09:09,M_Lei,5780,2012,Lenzen,International trade threats number of species,International trade,species threaten,Review (not qualified for coding),No,,,Yes,This article can be used as a literature review,No,Yes,
4/28/2020 16:37:48,M_Lei,379,2019,Moraes,Long‐term temporal and spatial patterns in bioeroding sponge distribution at the Abrolhos Bank,bioeroding sponge,Bioeroding sponge richness and abundance,Observational study,Yes,,,Yes,,No,Yes,
4/28/2020 16:13:18,C_Hovis,191,2019,Berry,NA,NA,NA,Observational study,No,,,No,"Reject, hypothesizes establishment of single cell parasite/pathogen, no impacts on native spp analyzed",,,
4/28/2020 16:05:52,C_Hovis,370,2019,Brzezinski,Mink pop,Invasive spp,NA,Observational study,No,,,No Supplementary Material Provided,"Reject, does not assess invasive spp impact on native",,,
4/28/2020 15:49:24,C_Hovis,5531,2012,Emde,Fish and inverts,NA,various,Observational study,No,,,No Supplementary Material Provided,"Reject, does not assess invasive spp impact on native bd ",,,
4/28/2020 15:37:05,C_Hovis,1423,2017,Ahmed,Beetle,NA,Various,Observational study,No,,,No Supplementary Material Provided,"Reject, no apparent TC impact on BD; just a survey of beetle biodiversity of an area",,,
4/28/2020 15:32:22,C_Hovis,2185,2016,Moreno,NA,NA,NA,Not in English,No,,,No,Reject Not in English,,,
4/28/2020 15:30:03,C_Hovis,462,2019,Biagioni,NA,NA,NA,Review (not qualified for coding),No,,,No Supplementary Material Provided,"Reject, review",,,
4/28/2020 15:23:32,C_Hovis,2053,2017,Carrasco,NA,NA,NA,Review (not qualified for coding),No,,,No Supplementary Material Provided,,,,
4/28/2020 13:55:49,M_Lei,4419,2013,YORIO,Human activities that may impact Olrog’s Gulls ‘s ’breeding populations,The number of  Olrog’s Gulls ‘s ’breeding site,The number of  Olrog’s Gulls ‘s ’breeding site,Observational study,No,,,No Supplementary Material Provided,,No,No,
4/28/2020 13:16:41,K_Kapsar,3989,2014,Bessa,Macroinvertebrates,Tourism,"community structure, abundance, etc. ",Observational study,Yes,,,No,,No,Yes,"""On the other hand, the increase in the number of tourists
recorded in the country (INE–National Institute of Statistics) in the
last years has potentiated the improvement of sandy beaches’ facil-
ities to promote the aesthetic and economic value of beaches along
the entire coast(Veloso-Gomes andTaveira-Pinto,2003). However,
the ecological implications of these actions were never assessed."""
4/28/2020 11:16:41,K_Kapsar,3772,2014,McDermid,Lake Sturgeon,Hydroelectric dams,Genetic diversity,Observational study,Yes,,,No Supplementary Material Provided,,No,No,Inferred that hydroelectric dams were for power generation for distant CHANS. 
4/28/2020 10:48:53,K_Kapsar,2741,2016,Schaffartzik,NA,Palm oil,NA,Review (not qualified for coding),No,,,No Supplementary Material Provided,,No,Yes,
4/28/2020 10:21:33,K_Kapsar,3511,2014,Bocxlaer,M. tuberculata snails,Invasive morph of M. tuberculata ,density,Observational study,Yes,,,Yes,,No,Yes,The invasive morph comes from Asia
4/28/2020 10:13:09,K_Kapsar,2300,2016,Wang,Chinese River Sturgeon,Hydroelectric Dam,Sturgeon spawning rate (reported from another study),Observational study,No,,,No,,No,Yes,Hydroelectric power generation
4/27/2020 17:45:07,C_Hovis,3484,2015,Reyes-Martinez,Macrofauna,Tourism,Assemblages,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,Specifically ref global tourism
4/27/2020 17:27:09,K_Kapsar,6799,2011,Jeeva,macroinvertebrates and fish,NA (proposed dam),Percentage of total assemblage,Observational study,No,,,No,,No,No,
4/27/2020 17:22:16,K_Kapsar,6342,2011,Adetutu,Fungus ,Tourism,NA,Observational study,No,,,No,,No,Yes,
4/27/2020 17:19:51,K_Kapsar,6174,2012,Loureiro,All,Tourism,? ,Modeling study (using empirical data and not projected),No,,,No,"This paper is backwards! It looks at the impacts of biodiversity on tourism. I.e., does a more biodiverse landscape attract more tourists? ",No,Yes,
4/27/2020 17:15:14,C_Hovis,530,2018,Moser,Spp richness,invasive spp,NA,Modeling study (using empirical data and not projected),No,,,Yes,"Reject, does not evaluate invasive spp impact on native",,,
4/27/2020 17:13:33,K_Kapsar,5972,2012,Houdet,NA,NA,NA,Economic survey,No,,,No,,No,No,
4/27/2020 17:11:15,K_Kapsar,5899,2012,Moorman,bird and arthropod biodiversity,NA,abundance,Observational study,No,,,No,,No,No,
4/27/2020 17:05:34,K_Kapsar,5497,2018,Reljic,Brown bears,Transboundary management?,Modeled outcomes on bear population size..,Modeling study (using empirical data and not projected),No,,,No,"The authors model the impacts of hunting on brown bear populations in Croatia and Slovenia. In particular, they test the impact of modeling the bears as two separate populations or just one population on the outcomes of the model. ",Yes,No,
4/27/2020 17:05:00,C_Hovis,5742,2012,Silva,NA,tourism,abundance/biomass,Observational study,No,,,No Supplementary Material Provided,Reject b/c technically algae are not in plant or animal kingdoms,,,
4/27/2020 16:49:00,A_Herzberger,2306,2016,Harrison,deforestation,hunting,NA,Review (not qualified for coding),No,,,No,,,,
4/27/2020 16:43:30,A_Herzberger,3184,2015,Vijayakumar,animals used in medicine,animals used in medicine,NA,Observational study,No,,,No,,,,
4/27/2020 16:40:58,A_Herzberger,6202,2011,Kusum,NA,climate change ,NA,Observational study,No,,,No,,,,
4/27/2020 16:38:25,A_Herzberger,1912,2017,Lehikoinen,bird abundance ,NA: different types of wetland management ,abundance,Experimental study,No,,,No,,,,
4/27/2020 16:35:22,C_Hovis,2186,2016,Avalos,Bird,NA,Bird stuff,Observational study,No,,,No Supplementary Material Provided,Reject bc no apparent telecoupling impact related to the road,No,No,
4/27/2020 16:32:05,A_Herzberger,2613,2016,Vargas,mammals,no,mammals,Observational study,No,,,No,,,,
4/27/2020 16:27:57,C_Hovis,6724,2011,Keller,NA,invasive spp,NA,Review (not qualified for coding),No,,,No Supplementary Material Provided,"Review of invasive spp establishment, reject",,,
4/27/2020 16:20:34,A_Herzberger,955,2018,Eshoo,NA,Ecotourism,socioeconomic  ,Observational study,No,,,No,,,,
4/27/2020 16:17:47,C_Hovis,290,2019,Rodewald,bird range,mining,NA,Modeling study (using empirical data and not projected),No,,,No Supplementary Material Provided,Measuring amount of bird pop occurring in mining areas but not actually quantifying the impact on the spp,,,
4/27/2020 16:03:28,A_Herzberger,3590,2015,Yasué,# seahorse caught in trade,sea horse trade,NA,Observational study,No,,,No,,,,
4/27/2020 16:00:34,C_Hovis,4850,2015,Arizaga,assemblage bird,invasive spp,assemblage and body condition,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,
4/27/2020 15:35:35,C_Hovis,1349,2017,Waldron,BD loss,Investment,percent bd lost/gained,Modeling study (using empirical data and not projected),Yes,,,Yes,,No,Yes,
4/27/2020 13:31:13,C_Hovis,3112,2015,Santos,corals,tourism,absence/presence,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,
4/27/2020 12:37:28,A_Herzberger,4652,2013,Shoo,NA,Eco tourism,"No, quantified socioeconomic ",Observational study,No,,,No,,,,
4/27/2020 12:34:23,A_Herzberger,413,2012,Josens,wetland bird diversity ,"NA  vague ""anthropogenic influence"" urban areas, cattle production, recreation ","species richness, abundance, community composition and seasonality",Observational study,No,,,No,,,,
4/27/2020 12:28:52,A_Herzberger,421,2019,Jehlík,invasive species #,ports ,# of invasive at ports,Review (not qualified for coding),No,,,No,,No,No,
4/27/2020 12:13:22,A_Herzberger,4683,2013,Sato,"plant richness, abundance and diversity",Ski slope disturbance,"richness, abundance and diversity",Review (not qualified for coding),No,,,No,,No,Yes,ski tourism 
4/27/2020 12:13:04,C_Hovis,3335,2015,Ginter,Pike perch population,Increase in internation demand/catch regulations/trans boundary managment,pop size and demographics,Observational study,Yes,,,No Supplementary Material Provided,,No,No,I think I did little inferring as they cite the transition to a market economy in the 1990s as a large pressure on the fishery but I had to google just to make sure that Estonia exported internationally (FAO report). I think it is safe to assume that the market economy shift = international markets. 
4/27/2020 11:53:31,A_Herzberger,1565,2017,Kirk,function bird groups,organic v. conventional ag,"beta diversity, richness",Observational study,Yes,,,Yes,,No,No,They talked about how ag influences biodiversity on a global scale
4/27/2020 11:53:28,K_Kapsar,4434,2013,Ballantyne,Vascular Plants,Tourism,Unclear,Review (not qualified for coding),No,,,No,"Added to Literature Review folder. Rejected because it does not examine the quantitative impacts of an intervention on biodiversity. Rather, it looks at the percentage of species impacted by the metacoupling from a review of the IUCN database. ",No,Yes,
4/27/2020 11:46:28,K_Kapsar,3889,2014,Camerini,Birds and butterflies,Landfill ,Unlcear,Observational study,No,,,No,"Rejected because there's no comparison (before vs. after landfill restoration). There is a comparison between two sites that were restored slightly differently and while there are restoration policies, the design of the restoration was not mentioned to be the specific result of the policy and was therefore rejected. ",No,No,"Assumed that ""hazardous waste"" from the landfill was from a distant location. "
4/23/2020 17:28:08,C_Hovis,2850,2016,Cobera,Cumaceans,None,Cumacean assemblages,Observational study,No,,,No,,,,
4/23/2020 17:15:42,C_Hovis,911,2018,Mallela,Coral,None,Coral pop metrics,Experimental study,No,,,No Supplementary Material Provided,"Reject, no apparent TC impact",,,
4/23/2020 17:11:43,C_Hovis,923,2018,Fonseca,None,Knowledge/Culture,None,Observational study,No,,,No Supplementary Material Provided,,,,
4/21/2020 15:20:49,A_Herzberger,2426,2016,Mason,microbes ,NA,NA,Observational study,No,,,No,,No,No,
4/21/2020 15:19:10,A_Herzberger,1258,2018,Harris,this paper is about ice,NA,NA,Review (not qualified for coding),No,,,No,,No,,
4/21/2020 15:15:01,A_Herzberger,969,2018,Howell,NA Algae ,NA,NA,Observational study,No,,,No,,No,No,
4/21/2020 11:05:00,A_Herzberger,518,2018,Amira,"bird abundance, species richness, and composition",rice field landscape in South Asia ,"bird abundance, species richness, and composition",Observational study,Yes,,,No,,No,No,rice fields are the landscape 
4/21/2020 11:03:30,C_Hovis,6511,2011,Gleditsch,Bird abund/occ,invasive spp,spp correlations,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,They specifically reference the introduction of the invasive species and it's subsequent spread
4/21/2020 10:41:53,C_Hovis,3636,2015,Fraixedas,Bird pop metrics,None,Pop metrics,Observational study,No,,,No Supplementary Material Provided,Rejected b/c only looked at CC and urbanization (which was not apparently linked to TC),,,
4/17/2020 14:13:49,K_Kapsar,3100,2015,McNamara,Bushmeat trade,NA,NA,Observational study,No,,,No,Quantification of the amount of bushmeat trade as a function of different landscape metrics. ,No,No,
4/17/2020 9:40:59,A_Herzberger,510,2018,Geedicke,salt marsh habitat ,Disturbance from urban water runoff containing nutrients and heavy metal pollutants,"they quantify chemical disturbance from water runoff  (pH, salinity, sediments, nutrients etc.)",Observational study,Yes,,,Yes,,No,Yes,"runoff from urban systems to salt marsh habitat, pericoupling "
4/17/2020 9:22:04,A_Herzberger,2745,2016,Barrico,NA,migration,NA,Review (not qualified for coding),No,,,No,,No,Yes,
4/16/2020 18:38:23,A_Torres,2678,2016,Valencia,Tree species of conservation concern,NA,proportion of trees of conservation concern,Observational study,No,,,No,"Although the paper is done in the context of coffee plantations (which I assume are grown mostly for global trade) it tests the effects of different management strategies on tree species, instead of the impacts of coffee plantations on those species",,,
4/16/2020 18:28:18,A_Torres,2671,2016,Gilroy,migratory birds,NA,Population trends,Modeling study (using empirical data and not projected),No,,,No,,,,
4/16/2020 18:24:15,A_Torres,2670,2016,Cao,macroin-vertebrate assemblages,Tourism,"assemblage composition, richness",Observational study,Yes,,,No,,No,No,Tourism is mentioned and quantify but not the sending systems
4/16/2020 17:01:34,K_Kapsar,3093,2015,Lucifora,Basking sharks,NA,Presence,Modeling study (using empirical data and not projected),No,,,No,,No,No,No distant impact
