Timestamp,Coder ID,Paper ID Code ,Year Published,First Author's Last Name,Taxonomic Focus,Habitat Focus,Number of Countries Involved,Countries Analyzed,Continent(s) represented,Scale of Entire System,Number of Time Periods (number),Starting Year of Study,Ending Year of Study,Temporal Resolution,Temporal Resolution (Unknown/Unclear),,Metacoupling Variable Type,Before/During/After,Specific Peri- or Telecoupled Flow(s),Telecoupled Flow Category,,,,,,Separation of Peri- and Telecoupled Connections,Separation of Peri- and Telecoupled Connections (uncertain),,Source of Biodiversity Data,Source of Metacoupling Data,Type of Biodiversity Data,Type of Metacoupling Data,Scale of biodiversity metric(s)?,Comments/Concerns,How many metrics of biodiversity did the study report?,What were the specific metrics reported?,Does this paper need further discussion with the whole group? (Expect most answers to be no),Countries Analyzed for Biodiversity
4/14/2020 12:03:22,E_Dean,339,2013,Oldekop,"Amphibians, Plants/trees/shrubs",Terrestrial,,Ecuador,South America,Sub-national (within-country region),1,NA,NA,Unknown/Unclear,Study did not outline how often data was collected,,Categorical,During,"Trade was quantified as market access, categorizing areas into ""remote"" (less market access) and ""non-remote"" (more market access). Presence/absence of community rules/sanctions regulating land use (governing of trade) could not be quantified and related to biodiversity.","Trade, Governing of trade",,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,2,Fern species richness; leaf litter frog species richness,No,Ecuador
3/18/2020 20:34:58,K_Kapsar,1488,2017,Lopez-Ricaurte,Birds,Terrestrial,1,Colombia,South America,Global (>100 countries),1,2016,2016,Unknown/Unclear,Single time period,,Categorical,During,Oil palm,Trade,,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Remote sensing",Sub-national (within-country region),"Scale of entire system: ambiguous because recipient countries of palm oil exports are not specified. 

Number of countries involved: Unclear due to previous reasons

Unclear temporal resolution because data were aggregated into one time period. ",3,"Species richness, species abundance, community composition",No,
3/19/2020 13:17:53,M_Lei,1488,2017,Ricaurte,Birds,Terrestrial,1,Colombia,South America,Sub-national ((within-country region),4,2016,2016,Daily,,,Categorical,After,Oil palm expansion(48 oil palm points were selected as observation points),Investment,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,Species richness and abundance; mean species richness and mean total abundance,Yes,
3/17/2020 12:31:37,K_Kapsar,3924,2014,Cove,Mammals,Terrestrial,1,Costa Rica,South America,Intercontinental (> 2 continents),3,2009,2010,Seasonally,,,Categorical,During,Pineapple exports; Cattle ranching,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),"Scale of entire system is unclear. Pineapple plantations are implied to be fore exportation, but it's unclear where they're going. I put intercontinental, but that is a big assumption. 

Number of countries involved is also unclear for reasons stated above. 

Number of time periods: Put 3 because there were three field seasons during which camera traps were collected. ",2,Detection probability; occurrence probability,No,
3/17/2020 11:53:09,K_Kapsar,6655,2011,Salvador,Mammals,"Terrestrial, Freshwater",1,Peru,South America,Intercontinental (> 2 continents),62,2005,2006,Unknown/Unclear,"Walked transect surveys, but did not specify how often they were walked. ",,Categorical,During,Ecotourists,Tourism,,,,,,No,,,"Primary, Secondary",Secondary,"Biological field observations, Social science field observations",Common knowledge? Tourist vs. non-tourist sites ,Sub-national (within-country region),"""Scale of entire system"" is unclear given that it is not specified where the tourists are coming from. I chose intercontinental, but that was entirely a guess. 

Similarly, no idea how to deal with ""Number of countries involved"" when we don't know which countries the tourists are coming from. 

Number of time periods: Put 62 because that's the total number of surveys conducted. 

Metacoupling data type: Chose categorical because they compared reserve with tourists to reserve without tourists. ",1,species richness between sites,No,
4/15/2020 15:35:52,K_Kapsar,1743,2017,Balduino,Fish,Freshwater,,Brazil,South America,Unclear/unspecified,1,NA,NA,Seasonally,,,Categorical,During,Tourists,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Qualitative analysis,Sub-national (within-country region),,5,"abundance, richness, diversity, dominance, community competition",No,Brazil
4/16/2020 15:23:46,K_Kapsar,2642,2016,Lourdes,Fish,Freshwater,,Philippines,Asia,Unclear/unspecified,1,2013,2015,Weekly,,,Categorical,During,Invasive aquaculture fish,Invasive species,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,"fish biomass, Shannon-Weiner diversity, richness, evenness",No,Philippines
4/28/2020 10:35:56,K_Kapsar,3511,2014,Bocxlaer,Invertebrates,Freshwater,,Malawi,Africa,Intercontinental (> 2 continents),1,2004,2004,Unknown/Unclear,Sampling protocol not detailed,,Continuous,During,Invasive snail morph,Invasive species,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,Density,No,Malawi
4/28/2020 11:20:44,K_Kapsar,3772,2014,McDermid,Fish,Freshwater,,Canada,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),4,1940,2010,Decadally,,,Categorical,"Before, During",Dam,Energy Transfer,,,,,,No,,,Primary,Secondary,Biological field observations,unspecified,Sub-national (within-country region),,7,Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size,No,Canada
4/28/2020 13:20:02,K_Kapsar,3989,2014,Bessa,Invertebrates,Marine,,Portugal,Europe,Unclear/unspecified,2,1999,2011,"Monthly, Seasonally",,,Categorical,During,Tourists,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Unclear. Presence/absence of tourists ,Sub-national (within-country region),,6,density (3 spp); richness; Shannon-Weiner index; community structure,No,Portugal
4/29/2020 13:55:51,K_Kapsar,4552,2013,Zhou,Mammals,Terrestrial,,China,Asia,Unclear/unspecified,1,2007,2007,Seasonally,,,Ordinal,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,fieldsign abundance,No,China
3/19/2020 23:41:34,M_Lei,897,2018,Czortek,"Invertebrates, Plants/trees/shrubs",Terrestrial,1,Poland,Europe,Sub-national ((within-country region),144,1872,2016,Unknown/Unclear,Three data periods: 1872–1969; 1960–2016;  Augest 2016,,Continuous,During,1600 climbers(statistics),Tourism,,,,,,No,,,Primary,Secondary,"Biological field observations, Aggregate institutional data","Field observations, Aggregate institutional data",Sub-national (within-country region),,2,species richness; diversity,No,
4/5/2020 14:55:42,E_Dean,1717,2017,Pickering,Plants/trees/shrubs,Terrestrial,,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),1,NA,NA,"Unknown/Unclear, Time period and temporal resolution is not stated",There is no description of the temporal component of the sampling scheme.,,Categorical,During,Recreational use of nature trails,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),Is this the type of paper that is like a college inside/outside comparison?,3,Species composition; growth form; species richness,Yes,Australia
3/19/2020 11:13:01,M_Lei,2577,2016,Titelboim,Invertebrates,Marine,1,Israel,Asia,Sub-national ((within-country region),15,2013,2014,Monthly,,,Categorical,After,thermal pollution(Monitor the water temperature and set up a control monitoring point),Energy Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,Species composition(species richness);The total numerical abundance(numerical abundance);,No,
3/20/2020 0:22:50,M_Lei,3151,2015,LASNE,Fish,Freshwater,1,France,Europe,Sub-national ((within-country region),18,1994,2011,Annually,,,Categorical,"Before, After",fish flow (The nest density and spatial distribution),Migration (non-human),,,,,,Yes,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,The nest density and spatial distribution,No,
3/19/2020 12:23:33,M_Lei,3456,2015,Bravo,Invertebrates,Marine,1,Argentina,South America,Sub-national ((within-country region),4,2011,2012,Seasonally,,,Continuous,"Before, After","Recreational diving(receive about 7,000 divers per year)；Descriptive statement",Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Multivariate dispersion of assemblage structure(Disturbance),No,
3/19/2020 11:48:17,M_Lei,3924,2014,Cove,Mammals,Terrestrial,1,Costa Rica,South America,Sub-national ((within-country region),2,2009,2010,Seasonally,,,Categorical,After,fragmentation and landscape changes affect on Nest predators occurrence ,Investment,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Nest predators occurrence,No,
4/11/2020 14:44:15,E_Dean,1676,2017,Robichaud,Fish,Freshwater,,Solomon Islands,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),1,2004,2004,Seasonally,,,Continuous,During,"Distal drivers (human population density, socioeconomic development, market access) and proximate drivers (fishing pressure, % coral cover)",Trade,,,,,,Yes,,,Primary,"Primary, Secondary",Biological field observations,"Social science field surveys, Remote sensing",Sub-national (within-country region),Reported relationships between fishing pressure and coral cover. Could not easily discern from the figure provided all the relationships to report. I reported the the relationships identified in the text of the results. This paper was difficult to break down.,8,"richness, evenness, AvTD, VarTD, All herbivore, non-target herbivore, all piscivore, non-target piscivore",Yes,Solomon Islands
4/28/2020 16:37:45,M_Lei,379,2019,Moraes,Invertebrates,Marine,,Brazil,South America,Sub-national (within-country region),6,2008,2016,Annually,,,Continuous,During,Bioeroding sponge richness and abundance,Species Dispersal,,,,,,No,,,"Primary, Secondary","Primary, Secondary","Biological field observations, Aggregate institutional data","Field observations, Aggregate institutional data",Sub-national (within-country region),,2,Bioeroding sponge richness and abundance,No,Brazil
4/28/2020 23:41:45,M_Lei,6276,2011,Field,Birds,Freshwater,,Canada,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),2,2008,2009,Annually,,,Continuous,During,"Residual salmon on estuarine, a model between bird communities and untransformed salmon biomass",Migration (non-human),,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,Shannon's index and  simpson's index of breeding birds,No,Canada
3/15/2020 22:29:55,MG_Chung,45,2019,Green,"Birds, Mammals, Amphibians, Plants/trees/shrubs",Terrestrial,139,many,South America,Global (>100 countries),2,2000,2010,Annually,,,Continuous,"Before, During",Soybean trade,Trade,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,"Remote sensing, Aggregate institutional data",Sub-national (within-country region),,1,species-by-species losses of suitable habitat,No,
3/16/2020 12:54:51,MG_Chung,654,2018,Antonio Donazar,Birds,Terrestrial,1,Spain,Europe,Sub-national ((within-country region),1,2014,2014,Daily,,,Continuous,During,the number of vehicles in protected areas as most of visitors access the park by motor vehicle,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,the number of scavenger species recorded daily,No,
3/23/2020 11:31:06,MG_Chung,1488,2017,Lopez-Ricaurte,Birds,Terrestrial,,Colombia,South America,Sub-national ((within-country region),1,2016,2016,Daily,,,Categorical,During,oil palm expansions,Trade,,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Remote sensing",Sub-national (within-country region),,3,species richness; abundance; bird community structure,No,Colombia
3/18/2020 10:35:38,MG_Chung,3502,2015,Gremillet,Birds,Marine,13,many,"Europe, Africa",Intercontinental (> 2 continents),1,2010,2012,Seasonally,,,Continuous,During,NA,Migration (non-human),,,,,,No,,,Primary,Secondary,"Biological field observations, Remote sensing","Field observations, Remote sensing",Intercontinental (> 2 continents),"This study focused on the movement of migratory birds in Europe and Africa. Although they discussed the impacts of marine fisheries on the marine mega-fauna, they did not quantify such impacts. They showed that juvenile and adult Northern gannets and Scopoli's Shearwaters made extensive use of marine waters off West Africa during their autumn migration and wintering phase. The West Africa has experienced massive foreign fisheries that might affect both juvenile and adult European seabirds during their autumn migration and at their wintering grounds.",1,migratory movements (birds),No,
4/2/2020 21:41:07,MG_Chung,3924,2014,Cove,Mammals,Terrestrial,,1,South America,Sub-national ((within-country region),1,2009,2010,Annually,,,Continuous,After,NA; This paper did not clearly mention peri- and telecoupled flows.,Trade,,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,2,species detection; sepcies occurence,No,Costa Rica
3/18/2020 12:23:33,MG_Chung,4132,2014,Bjerke,Birds,Terrestrial,1,Norway,Europe,Sub-national ((within-country region),1,2011,2011,Seasonally,,,Continuous,During,spring-staging pink-footed geese (as measured from the goose-dropping counts),Migration (non-human),,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),Populations of migratory geese negatively impact available hay biomass and quality that are used for milk feed from farmers.,1,the Shannon biodiversity index of weeds,No,
3/18/2020 15:10:03,MG_Chung,4155,2014,Thomas,Birds,Terrestrial,1,USA,North America,Sub-national ((within-country region),1,2009,2010,Annually,,,Categorical,"During, After","the number of oil wells (active, conventional oil-gas well)(wells/site, wells/km2)",Energy Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,2,species richness; species abundance,No,
3/19/2020 15:21:28,MG_Chung,5966,2012,Vitule,Fish,Freshwater,5,Brazil; Paraguay; Argentina; Bolivia; Uruguay,South America,"International (within a continent; e.g., European Union)",2,NA,NA,Annually,,,Categorical,"Before, After","changes in biotic homogenization of fish fauna/assemblages caused by the elimination of a natural barrier due to dam construction, aquaculture, and aquarium trade",Water Transfer,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,2,Jaccard's coefficient; Whittaker's beta biodiversity index,No,
3/19/2020 16:37:56,MG_Chung,6396,2011,Murphy,Invertebrates,Freshwater,2,Belarus; Ukraine,Europe,"International (within a continent; e.g., European Union)",1,2003,2004,Annually,,,Continuous,After,radiation exposure (137Cs activity concentration) after Chernobyl accident,Chernobyl Nuclear Power Plant,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,abundance of individuals; taxon richness; Berger-Parker dominance; Shannon-Wiener diversity,No,
3/20/2020 10:30:03,MG_Chung,6493,2011,Suarez-Rubio,Birds,Terrestrial,,USA,North America,Sub-national ((within-country region),1,2006,2006,Seasonally,,,Categorical,After,comparison between forests (reference) and exurban development sites,Exurban development,,,,,,No,,,Primary,Secondary,Biological field observations,Remote sensing,Sub-national (within-country region),,2,a multi-response permutation procedure (MRPP); species abundance,No,
4/3/2020 10:21:01,R_Chen,77,2011,Salvador Salvador,Mammals,Terrestrial,,1,South America,Sub-national ((within-country region),2,2005,2006,Seasonally,season,,Continuous,During,intracoupling,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),not too much information on metacoupling,1,species type,No,1
4/3/2020 10:43:16,R_Chen,94,2016,Danna Titelboim,Invertebrates,Marine,,1,Europe,Sub-national ((within-country region),15,2013,2014,Monthly,month,,Continuous,During,no ,thermal pollution,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Species richness,No,1
4/3/2020 10:58:04,R_Chen,109,2014,Michael V. Cove,Mammals,Terrestrial,,1,South America,Sub-national (within-country region),2,2009,2010,Seasonally,season,,Continuous,During,intracoupling,Loss of large mammalian carnivores,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,abundance,No,1
3/19/2020 17:01:40,X_Wu,1488,2017,López-Ricaurte,Birds,Terrestrial,1,Colombia,South America,Sub-national ((within-country region),1,2016,2016,Daily,,,Categorical,After,Oil palm expansion,Land use change,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,Species richness; species abundance,No,
3/19/2020 17:35:37,X_Wu,2577,2016,Titelboim,Invertebrates,Marine,1,Israel,Asia,Sub-national ((within-country region),15,2013,2014,Monthly,,,Categorical,After,,Waste Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,Abundance; richness,No,
3/19/2020 21:51:05,X_Wu,2606,2016,Seer,Plants/trees/shrubs,Terrestrial,1,Germany,Europe,Sub-national ((within-country region),3,2011,2013,Annually,,,Categorical,After,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,3,Species richness; species coverage; plant community classes,No,
3/19/2020 22:15:46,X_Wu,3165,2015,Fenu,Plants/trees/shrubs,Terrestrial,1,Italy,Europe,Sub-national ((within-country region),1,NA,NA,Monthly,,,Categorical,After,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,Plant density; plant fitness,No,
3/19/2020 18:17:02,X_Wu,3456,2015,Bravo,Plants/trees/shrubs,Marine,1,Argentina,South America,Sub-national ((within-country region),2,2011,2012,Monthly,,,Categorical,"Before, After",,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,Assemblage structure; assemblage composition,No,
3/19/2020 22:27:04,X_Wu,6845,2010,Juhasz,Invertebrates,Marine,1,French Polynesia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national ((within-country region),1,NA,NA,Daily,,,Categorical,After,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Species abundence,No,
4/5/2020 11:50:54,X_Wu,5125,2019,Niu,Plants/trees/shrubs,Terrestrial,,China and rest of the world,Asia,Unclear/unspecified,1,NA,NA,Unknown/Unclear,Not mention in the paper,,Continuous,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Species diversity,No,China
4/5/2020 16:01:34,X_Wu,992,2018,Johnson,Invertebrates,Freshwater,,Sweden,Europe,Unclear/unspecified,1,NA,NA,Monthly,,,Continuous,During,,Species Dispersal,,,,,,No,,,Primary,Secondary,Biological field observations,Field observations,Sub-national (within-country region),,1,Species composition,No,Sweden
4/5/2020 16:36:49,X_Wu,2345,2016,Farwell,Birds,Terrestrial,,USA,North America (includes Hawaii & all countries above Panama Canal),Unclear/unspecified,8,2008,2015,Daily,,,Continuous,During,,"Trade, Energy Transfer",,,,,,No,,,Primary,Primary,Biological field observations,Remote sensing,Sub-national (within-country region),"This paper is about shale gas, so I chose trade and enegy transfer as external process.",1,Species richness,No,USA
4/5/2020 17:29:40,X_Wu,5853,2012,Flecks,Reptiles,Terrestrial,,Tanzania,Africa,Intercontinental (> 2 continents),1,2009,2009,Annually,,,Categorical,During,,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,Population,No,Tanzania
4/6/2020 9:38:00,X_Wu,1299,2017,Coppes,Birds,Terrestrial,,Germany,Europe,Unclear/unspecified,2,2003,2006,Seasonally,,,Continuous,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Remote sensing,Sub-national (within-country region),,1,Habitat,No,Germany
4/6/2020 10:12:29,X_Wu,1799,2017,Harris,Birds,Terrestrial,,Indonesia,Asia,National,14,1998,2014,Daily,,,Continuous,During,,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,Abundance,No,Indonesia
4/6/2020 11:09:29,X_Wu,4393,2013,Hanafiah,Fish,Freshwater,,Germany; Netherlands; Belgium; Hungary; Austria; Slovakia; Luxembourg; France,Europe,"International (within a continent; e.g., European Union)",1,1992,2009,Unknown/Unclear,The data is secondary data.,,Categorical,During,,"Trade, Species Dispersal",,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,1,Species richness,No,Germany; Netherlands; Belgium; Hungary; Austria; Slovakia; Luxembourg; France
4/6/2020 11:53:33,X_Wu,5309,2019,Dunn,Birds,Terrestrial,,Antarctic,Antarctica,Intercontinental (> 2 continents),21,1996,2017,Annually,,,Continuous,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,"International (within a continent; e.g., European Union)",,1,Population,No,Antarctic
4/6/2020 15:55:08,X_Wu,4551,2013,Fukami,Plants/trees/shrubs,Terrestrial,,New Zealand,"Oceania (Australia, New Zealand, Fiji, etc)",Unclear/unspecified,5,2002,2006,Annually,,,Categorical,During,,Species Dispersal,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,3,alpha diversity; beta diversity; gamma diversity,No,New Zealand
4/6/2020 16:45:22,X_Wu,6820,2010,Young,Birds,Terrestrial,,St Lucia,North America (includes Hawaii & all countries above Panama Canal),Unclear/unspecified,2,2006,2007,Daily,,,Categorical,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Remote sensing,Sub-national (within-country region),,1,Population,No,St Lucia
3/20/2020 7:24:13,Y_DOU,92,2019,Wang,Amphibians,Terrestrial,1,China,Asia,Sub-national ((within-country region),15,2014,2018,Monthly,,,Categorical,During,categorical disturbances,"Tourism, land use",,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,species richness; species abundance,No,
3/18/2020 12:39:42,Y_DOU,1488,2017,López-Ricaurte,Birds,Terrestrial,1,1,South America,Sub-national ((within-country region),1,2016,2016,Daily,,,Categorical,After,oil palm conversion,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,species richness; total abundance,No,
3/17/2020 17:19:17,Y_DOU,3456,2015,Bravo,coral reef,Marine,1,Argentina,South America,Sub-national ((within-country region),2,2 decades,2011,Seasonally,,,Categorical,"Before, After",scuba diving,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,"Assemblage structure, assemblage composition",No,
3/20/2020 10:47:15,Y_LI,2222,2016,Nishijima,Birds,Terrestrial,,many,Unclear/unknown,Global (>100 countries),4,2000,2004,Annually,,,Continuous,,"wood trade. (ps: ""how do they quantify it"" is confusing here)",Trade,,,,,,Unclear/Uncertain,"if it is about trade among all counties, what coupling should it be?",,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Sub-national (within-country region),,1,"bird extinction risks (a repeat question, as this has been asked in survey #1)",No,
4/29/2020 13:19:36,C_Hovis,84,2019,Lindenmayer,Birds,Terrestrial,,"Australia, Rest of the World","Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),1,2004,2014,Annually,,,Categorical,After,Logging ,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),"LOTS OF METRICS, TOO MANY?, AM I DOING THIS WRONG? reports apparent occupancy, does not consider detectability",,"functional trait and logging, spp richness (2 logging times), apparent occupancy by spp (2 logging times), apparent occupancy by spp with fire (2 logging times)",Yes,Australia
4/16/2020 11:45:16,Y_Zhang,227,2019,Marquardt,Not specified/global study,Not specified/Global study,,many,"North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),2,2009,2016,Unknown/Unclear,"Found in supplementary material, the data are secondary (from other studies) - one in 2009, one in 2016, temporal resolutions are unclear",,"Not specified, use household expenditure and population density as variables",After,"Not specified, inferred only","Trade, Migration (human), human consumption (direct, agriculture/land use change)",,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Global (>100 countries),,4,"mean species abundance, relative abundance, relative within-sample species richness, vulnearbility-weighted global relative species",No,many
4/16/2020 12:14:45,Y_Zhang,311,2013,Farris,Plants/trees/shrubs,Terrestrial,,Italy,Europe,Sub-national (within-country region),2,2006,2006,Seasonally,Spring and summer,,Categorical,"Before, After",Tourists,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,"No quantified data of tourists, but use intensity (high, low) instead",Sub-national (within-country region),,1,species cover,No,Italy
4/28/2020 22:26:10,Y_Zhang,425,2019,Costa,Invertebrates,"Terrestrial, Marine",,Brazil or more (unspecified tourist source),South America,Unclear/unspecified,2,2017,2018,Unknown/Unclear,Several field days,,Continuous,"Before, After",Urbanization index and percentage of fine sediment,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Single species abundance,No,Brazil
4/28/2020 22:54:45,Y_Zhang,466,2011,Bejarano,Plants/trees/shrubs,Freshwater,,Sweden,Europe,Sub-national (within-country region),2,2006,2009,Unknown/Unclear,,,Categorical,After,Water flow (impact from dams),Water flow (hydrological regulation),,,,,,No,,,Primary,Secondary,Biological field observations,"Remote sensing, Aggregate institutional data",Sub-national (within-country region),,2,Number of trees; number of shrubs,No,Sweden
4/29/2020 0:58:25,Y_Zhang,1752,2017,Zeeman,Plants/trees/shrubs,Terrestrial,,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),2,1994,2014,Unknown/Unclear,"Several field data collections, unknown resoluation",,Categorical,After,,"Species Dispersal, Urbanization",,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,1,Species occurance,No,Australia
4/30/2020 12:18:09,Y_Li,6655,2011,Salvador,Mammals,Terrestrial,,Peru,South America,Sub-national (within-country region),2,2005,2006,Seasonally,,,Categorical,During,tourism - no specific info,Tourism,,,,,,Unclear/Uncertain,,,Primary,Secondary,"Biological field observations, Social science field observations",no specific info,Sub-national (within-country region),,1,species richness,No,Peru
4/30/2020 12:40:57,C_Hovis,5756,2012,Remis,Mammals,Terrestrial,,"Central African Republic, Rest of the World?",Africa,Unclear/unspecified,2,1994,2009,Seasonally,,,Continuous,"Before, After",,"Trade, Migration (human)",,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Social science field surveys",Sub-national (within-country region),Unclear if migrants/demand for meat comes from outside the country/continent,7,"groups/km, spp comp",No,Central African Republic
4/30/2020 13:01:49,C_Hovis,4760,2013,Sada,Invertebrates,"Terrestrial, Freshwater",,"USA, Rest of the world",North America (includes Hawaii & all countries above Panama Canal),Global (>100 countries),1,2006,2007,Seasonally,,,Categorical,"Before, After",Music festival activity,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),"study took place in nevada, playas are seasonally flooded and this is crucial for the life history of the organism, wasn't sure if I should tag as freshwater or terrestrial so I put both",2,egg density for two spp,No,USA
4/30/2020 13:21:10,Y_Li,94,2019,1ZUNGUM,"Birds, Plants/trees/shrubs",Freshwater,,Nigeria,Africa,Sub-national (within-country region),1,na,na,Unknown/Unclear,,,Categorical,,invasive species,Species Dispersal,,,,,,No,,,Secondary,Secondary,review,review,Sub-national (within-country region),"a revew paper, may remove ",1,habitat,No,Nigeria
4/30/2020 14:57:01,Y_Zhang,4020,2014,Huhta,Birds,Terrestrial,,Finland,Europe,Sub-national (within-country region),2,2004,2006,Unknown/Unclear,Involving field work days,,Categorical,After,Tourists (implied),Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,"Broadly use urban areas, campfire sites, hiking trails",Sub-national (within-country region),,1,Bird abundance,No,Finland
4/30/2020 15:37:52,Y_Zhang,4293,2014,Ballantyne,Plants/trees/shrubs,Terrestrial,,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),2,2003,2013,Unknown/Unclear,Involves field work days,,Unclear number of tourists,After,Tourists in hiking trails,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Use hiking trails as proxy of tourists,Sub-national (within-country region),,1,Abundance,No,Australia
4/30/2020 16:14:24,M_Lei,523,2018,Kouvari,Mammals,Marine,,35,"North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Antarctica",Intercontinental (> 2 continents),5,NA,NA,Unknown/Unclear,"we divide insular extinctions in five bins, being Late Pleistocene (125–10 ka), Early Holocene (10.0–8.2 ka), Middle Holocene (8.2–4.2 ka), Late Holocene (4.2–0.5 ka), and Modern Era (500 years ago till today) ",,Continuous,During,first human arrival,Migration (human),,,,,,Unclear/Uncertain,It doesn't mention where people come from in this paper,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Intercontinental (> 2 continents),,1,extinct taxa,No,35
4/30/2020 16:38:13,K_Kapsar,5773,2012,Chepinoga,Plants/trees/shrubs,Terrestrial,,Russia,Asia,Unclear/unspecified,1,2009,2009,Unknown/Unclear,Single time period,,Continuous,During,Tourists,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,species richness,No,Russia
