"timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
2020-03-19 18:09:47,3456,"Plants/trees/shrubs","1","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Alpha (w/in site)","Month","Negative (detrimental)","TRUE","0.0001","Disturbed reefs VS controls","X_Wu","1"
2020-03-19 18:11:19,3456,"Plants/trees/shrubs","2","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Alpha (w/in site)","Month","Negative (detrimental)","TRUE","0.0001","Before and after the diving season","X_Wu","2"
2020-03-19 18:12:33,3456,"Plants/trees/shrubs","3","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Month","Neutral","Not evaluated","","Before and after the diving season","X_Wu","3"
2020-03-19 18:15:49,3456,"Plants/trees/shrubs","4","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Month","Negative (detrimental)","FALSE","0.22","Disturbed reefs VS controls","X_Wu","4"
2020-03-19 18:16:57,3456,"Plants/trees/shrubs","3","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Month","Negative (detrimental)","TRUE","0.01","Before and after the diving season","X_Wu","3"
2020-03-20 09:45:32,3456,"Invertebrates","1","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.001","assemblage structure","C_Hovis","1"
2020-03-20 09:46:40,3456,"Invertebrates","2","Taxonomic",NA,"Composition (what species?)","","Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","FALSE","0.22","assemblage composition","C_Hovis","2"
2020-04-02 14:01:12,3456,"Invertebrates","1","Taxonomic","","Composition (what species?)","","","Month","Changed (e.g. species composition)","TRUE","0.07","Community composition","A_Torres","1"
2020-04-02 14:01:59,3456,"Invertebrates","2","Taxonomic","","","","","Month","Changed (e.g. species composition)","TRUE","0.04","Community structure","A_Torres","2"
2020-03-15 12:33:24,3924,"Mammals","1","Taxonomic","Occurrence (presence, range, persistence, etc.)","Occurence","Amount (e.g. land use change from non-habitat to habitat)",NA,"Seasonal","Neutral","Not evaluated","","","E_Dean","1"
2020-03-17 12:31:40,3924,"Mammals","4","Taxonomic","Detection probability",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","No effect of pineapple production on opossum detection","K_Kapsar","4"
2020-03-17 12:31:42,3924,"Mammals","3","Taxonomic","Detection probability",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","No effect of pineapple production on raccoon detection","K_Kapsar","3"
2020-03-17 12:31:46,3924,"Mammals","2","Taxonomic","Detection probability",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","No effect of pineapple production on coati detection","K_Kapsar","2"
2020-03-17 12:31:49,3924,"Mammals","1","Taxonomic","Detection probability",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Positive (beneficial)","TRUE","","P-value not included, but inferred to be <0.05

Positive effect of pineapple production on tayra detection","K_Kapsar","1"
2020-03-17 12:31:53,3924,"Mammals","1","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,"","Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","No effect of pineapple production on tayra occurrence ","K_Kapsar","1"
2020-03-17 12:31:57,3924,"Mammals","2","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","No effect of pineapple production on coati occurrence ","K_Kapsar","2"
2020-03-17 12:32:00,3924,"Mammals","3","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","No effect of pineapple production on raccoon occurrence ","K_Kapsar","3"
2020-03-17 12:32:03,3924,"Mammals","4","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","No effect of pineapple production on opossum occurrence ","K_Kapsar","4"
2020-03-19 11:48:14,3924,"Mammals","1","Taxonomic",NA,"Occurence","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Seasonal","Positive (beneficial)","Not evaluated","","Pineapple production had a pronounced positive effect on the detectability of tayras, while
forest cover had a negative effect on the detection of coatis.","M_Lei","1"
2020-03-31 14:56:30,3924,"Mammals","1","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Gamma (across all sites)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","Tayra","C_Hovis","1"
2020-03-31 14:56:36,3924,"Mammals","2","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Gamma (across all sites)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","Coati","C_Hovis","2"
2020-03-31 14:56:43,3924,"Mammals","3","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Gamma (across all sites)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","Raccoon","C_Hovis","3"
2020-03-31 14:56:55,3924,"Mammals","4","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Gamma (across all sites)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","Opossum","C_Hovis","4"
2020-04-02 14:31:29,3924,"Mammals","1","Taxonomic","Detection","","","","Camera trap-night","Positive (beneficial)","Not evaluated","","Detection probability-Tayras","A_Torres","1"
2020-04-02 14:32:11,3924,"Mammals","2","Taxonomic","Detection","","","","Camera trap-night","Positive (beneficial)","Not evaluated","","Detection probability-Coati","A_Torres","2"
2020-04-02 14:32:51,3924,"Mammals","3","Taxonomic","Detection","","","","Camera trap-night","Negative (detrimental)","Not evaluated","","Detection probability-Racoon","A_Torres","3"
2020-04-02 14:33:36,3924,"Mammals","4","Taxonomic","Detection","","","","Camera trap-night","Negative (detrimental)","Not evaluated","","Detection probability-Opossum","A_Torres","4"
2020-04-02 14:34:47,3924,"Mammals","6","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)","","","","Camera trap-night","Unclear","Not evaluated","","Occurrence -Coati","A_Torres","6"
2020-04-02 14:35:27,3924,"Mammals","7","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)","","","","camera trap-night","Positive (beneficial)","Not evaluated","","Occurrence -Racoon","A_Torres","7"
2020-04-02 14:36:08,3924,"Mammals","8","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)","","","","camera trap-night","Negative (detrimental)","Not evaluated","","Occurrence -Opossum","A_Torres","8"
2020-04-02 21:43:04,3924,"Mammals","1","Taxonomic","Detection",NA,NA,"Gamma (across all sites)","Annual","Positive (beneficial)","TRUE","0.05","Detection probability - Tayra","MG_Chung","1"
2020-04-02 21:44:50,3924,"Mammals","2","Taxonomic","Detection",NA,NA,"Gamma (across all sites)","Annual","Positive (beneficial)","FALSE","","Detection probability - Coati","MG_Chung","2"
2020-04-02 21:45:31,3924,"Mammals","3","Taxonomic","Detection",NA,NA,"Gamma (across all sites)","Annual","Negative (detrimental)","FALSE","","Detection probability - Raccoon","MG_Chung","3"
2020-04-02 21:46:52,3924,"Mammals","4","Taxonomic","Detection",NA,NA,"Gamma (across all sites)","Annual","Negative (detrimental)","FALSE","","Detection probability - Opossum","MG_Chung","4"
2020-04-02 21:47:47,3924,"Mammals","5","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)",NA,NA,"Gamma (across all sites)","Annual","Positive (beneficial)","FALSE","","Occurrence - Tayra","MG_Chung","5"
2020-04-02 21:48:35,3924,"Mammals","6","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)",NA,NA,"Gamma (across all sites)","Annual","Unclear","Not evaluated","","Occurrence - Coati","MG_Chung","6"
2020-04-02 21:49:11,3924,"Mammals","7","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)",NA,NA,"Gamma (across all sites)","Annual","Positive (beneficial)","FALSE","","Occurrence - Raccoon","MG_Chung","7"
2020-04-02 21:49:45,3924,"Mammals","8","Taxonomic","Occurrence (presence, range, persistence, etc., NOT detection)",NA,NA,"Gamma (across all sites)","Annual","Negative (detrimental)","FALSE","","Occurrence - Opossum","MG_Chung","8"
2020-03-17 10:58:08,6655,"Mammals","1","Functional",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.001","","A_Herzberger","1"
2020-03-17 10:59:09,6655,"Mammals","1","Functional",NA,"Occurence",NA,"Beta (between pairs of sites)","Seasonal","Positive (beneficial)","TRUE","0.001","","A_Herzberger","1"
2020-03-17 11:53:06,6655,"Mammals","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","Not evaluated","","Temporal resolution = snapshot/aggregate? They do measure seasonal biodiversity, but not in comparison to tourism. 

7 fewer species in ecotourism site compared to reserve site. However, author claims that these numbers are comparable. ","K_Kapsar","1"
2020-03-19 09:58:31,6655,"Mammals","1","Taxonomic",NA,"Occurence",NA,"Alpha (w/in site)","Annual","Neutral","FALSE","","The species richness in an ecotourism-exploited forest and composition were similar to those found in two adjacent pristine sites","M_Lei","1"
2020-03-30 18:55:37,6655,"Mammals","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","Not evaluated","","Compared to Cocha, tourist site had seven less species
NOTE that authors do not consider this to be a substantial difference, use as evidence that eco-tourism is good for bd","C_Hovis","1"
2020-03-30 18:55:38,6655,"Mammals","2","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","Not evaluated","","Compared to Amigos, tourist site had seven less species
NOTE that authors do not consider this to be a substantial difference, use as evidence that eco-tourism is good for bd","C_Hovis","2"
2020-04-03 10:59:18,3924,"Mammals","109","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","Richness (number of species)","Quality (pollution, connectence, disturbance, etc.)","Alpha (w/in site)","Seasonal","Negative (detrimental)","Not evaluated","","","R_Chen","109"
2020-03-19 21:18:45,1488,"Birds","3","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Negative","True","<0.01","Aquatic birds","E_Xing","3"
2020-03-19 21:19:21,1488,"Birds","2","Taxonomic",NA,"Richness;Abundance",NA,"Alpha","Other","Negative","True","<0.05","Savanna Savanna specialists","E_Xing","2"
2020-03-19 21:20:36,1488,"Birds","4","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Negative","True","<0.05","Forest birds","E_Xing","4"
2020-03-19 21:22:15,1488,"Birds","5","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Negative","True","<0.05","Grassland birds","E_Xing","5"
2020-03-19 21:24:17,1488,"Birds","6","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Negative","True","<0.01","Carnivore birds","E_Xing","6"
2020-03-19 21:26:45,1488,"Birds","7","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Negative","False","na","Frugivore birds","E_Xing","7"
2020-03-19 21:27:41,1488,"Birds","8","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Negative","False","na","Granivore birds","E_Xing","8"
2020-03-19 21:28:44,1488,"Birds","9","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Negative","True","<0.01","Insectivore birds","E_Xing","9"
2020-03-19 21:30:17,1488,"Birds","10","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Positive","False","na","Omnivore birds","E_Xing","10"
2020-03-19 21:31:14,1488,"Birds","11","Taxonomic",NA,"Abundance",NA,"Alpha","Other","Positive","False","na","Multiple habit birds","E_Xing","11"
2020-03-19 21:31:47,1488,"Birds","1","Taxonomic",NA,"Richness;Abundance",NA,"Alpha","Other","Negative","True","<0.05","All species","E_Xing","1"
2020-04-15 21:52:19,3456,"Invertebrates;Plants;Other","1","Functional",NA,"Composition;Other",NA,"Alpha","Seasonal","Negative;Changed","True","0.0001","na","E_Xing","1"
2020-05-14 00:27:43,6655,"Mammals","1","Functional",NA,"Occurence",NA,"Alpha","Other","Neutral","Not evaluated","na","na","E_Xing","1"
2020-04-30 12:18:00,6655,"Mammals","1","Taxonomic",NA,"Richness (number of species)",NA,NA,"Seasonal","Positive (beneficial)","Not evaluated","","","Y_Li","1"
