"biodiv_countries","paper_id","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","timestamp","coder_id","year_pub","author","taxa_list","num_countries","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","taxa"
"THA",2998,"THA","Primary","Primary","Energy Transfer","Field observations","Biological field observations","Freshwater","Asia","2020-04-05 07:52:42","E_Dean",2015,"Phomikong","Fish",NA,"Sub-national (within-country region)","18","2009","2010","18 sampling trips between Aug 2009 - June 2010","","Categorical","Before, During, After","Used the environmental effect of dams as a proxy for the effects of hydropower on fish communities?","No","","Sub-national (within-country region)","","4","Cumulative species richness; average species richness; Shannon-Wiener diversity index; abundance-biomass","No","Fish"
"ROU",3081,"ROU","Primary","Primary","Trade;Tourism;Knowledge Transfer","Other","Biological field observations","Terrestrial","Europe","2020-08-27 17:06:18","C_Hovis",2015,"Mikolas","Birds",NA,"Unclear/unspecified","2","2009","2011","Unknown/Unclear","","Continuous","Before, After","Timber practice shift due to governance change/#tourists","No","","Sub-national (within-country region)","Decided there were two types of TC successfully analyzed separately with respect to ONE biodiversity quantification. ","2","impact of tourism and trade/knowledge on male abun","No","Birds"
"BRA",3112,"BRA;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","2020-04-27 13:31:07","C_Hovis",2015,"Santos","Invertebrates",NA,"Global (>100 countries)","1","2012","2012","Seasonally","","Categorical","Before, During, After","","No","","Sub-national (within-country region)","","13","presence/abundance based on taxa group","No","Invertebrates"
"BRA",3122,"BRA","Primary","Primary","Energy Transfer","Field observations","Biological field observations","Freshwater","South America","2020-04-05 08:19:19","E_Dean",2015,"Sa-Oliveira","Fish",NA,"Sub-national (within-country region)","8","2009","2010","Bi-monthly","","Categorical","During","","No","","Sub-national (within-country region)","","6","Abundace; biomass; species richness; alpha diversity; dominance; Bray-Curtis dissimilarity","No","Fish"
"FRA",3151,"FRA","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Freshwater","Europe","2020-03-20 00:22:50","M_Lei",2015,"LASNE","Fish","1","Sub-national ((within-country region)","18","1994","2011","Annually","","Categorical","Before, After","fish flow (The nest density and spatial distribution)","Yes","","Sub-national (within-country region)","","2","The nest density and spatial distribution","No","Fish"
"ITA",3165,"ITA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","2020-03-19 22:15:46","X_Wu",2015,"Fenu","Plants/trees/shrubs","1","Sub-national ((within-country region)","1",NA,NA,"Monthly","","Categorical","After","","No","","Sub-national (within-country region)","","2","Plant density; plant fitness","No","Plants"
"IDN",3243,"IDN","Secondary","Primary","Trade","Aggregate institutional data","Social science field observations","Terrestrial","Asia","2020-05-29 12:33:06","A_Herzberger",2015,"Harris","Birds",NA,"International (within a continent; e.g., European Union)","1",NA,NA,"Unknown/Unclear","The did population trends over around 20 years, not always 2-","Continuous","During","Wild bird trade, domestic and to China, New Guinea etc.","No","They just mention the trade is both, they are analyzed as one","Sub-national (within-country region)","","1","mananova: groups of birds (stable/declining) v. Bird price & trade volume","No","Birds"
"MEX",3247,"MEX","Primary","Primary","Knowledge Transfer","Other","Biological field observations;Social science field observations","Terrestrial","North America","2020-05-25 23:39:29","M_Lei",2015,"Valencia","Plants/trees/shrubs",NA,"Sub-national (within-country region)","1","2011","2012","Seasonally","","Continuous","After","farmers’ knowledge of management practices,Preferred and disliked tree species mentioned in at least 20% of interviews","Yes","","Sub-national (within-country region)","","3","tree richness,tree density,shannon diversity","No","Plants"
"EST",3335,"EST;RUS;ROW","Secondary","Primary;Secondary",NA,"Other","Biological field observations;Aggregate institutional data","Freshwater","Europe","2020-04-27 12:29:16","C_Hovis",2015,"Ginter","Fish",NA,"Intercontinental (> 2 continents)","22","1990","2012","Annually","","Categorical","Before, During, After","","No","","Intercontinental (> 2 continents)","Intercontinental might not be the correct classification since this is a transboundary and could be considered a telecoupling, look at co-occurence of size-selective harvest and climate change since two cannot be de-coupled","2","size and co-hort abund","No","Fish"
"FRA",3361,"FRA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","2020-08-25 16:18:43","C_Hovis",2015,"Faille","Invertebrates",NA,"Sub-national (within-country region)","2","1962","2012","Seasonally","","Categorical","Before, After","Toursim","No","","Sub-national (within-country region)","","3","Abundance of three diff spp","No","Invertebrates"
"ARG",3456,"ARG","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","common paper","common paper",2015,"Bravo","Invertebrates, Plants/trees/shrubs","common paper","common paper","common paper","common paper","common paper","common paper","common paper","Categorical","common paper","common paper","common paper","common paper","common paper","; ; ; Believe this example first the inside/outside college campus example but will complete survey 3; na; Unclear number of countries involved bc unclear number of countries of origin for tourists. 

Very confused about how to report the results of this analysis. ; ; ; ; Confusing","2","common paper","common paper","Invertebrates; Plants"
"ESP",3484,"ESP;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","2020-04-27 17:45:05","C_Hovis",2015,"Reyes-Martinez","Invertebrates",NA,"Sub-national (within-country region)","15","2011","2011","Hourly","","Continuous","Before, After","# tourists/visitors","No","","Sub-national (within-country region)","","4","assemblage density; richness; diversity; comm comp","No","Invertebrates"
"THA",3485,"THA","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Asia","2020-04-16 01:17:00","E_Xing",2015,"Hein","Other","1","Sub-national (within-country region)","1","2013","2013","Other","na","Categorical","after","�high-use�or �low-use� sites of dive tourism according to sedimentation, diving pressure, snorkelling pressure, waste-water run-off, and boat traffic","No","na","subnational","na","6","no such data in Chinese survey","No","Other"
"MWI",3511,"MWI","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Freshwater","Africa","2020-04-28 10:35:56","K_Kapsar",2014,"Bocxlaer","Invertebrates",NA,"Intercontinental (> 2 continents)","1","2004","2004","Unknown/Unclear","Sampling protocol not detailed","Continuous","During","Invasive snail morph","No","","Sub-national (within-country region)","","2","Density","No","Invertebrates"
"BRA",3583,"BRA","Secondary","Primary","Tourism","Social science field surveys","Biological field observations","Freshwater","South America","2020-05-14 15:58:00","E_Xing",2015,"Bispo","Invertebrates","1","Sub-national (within-country region)","15","2009","2011","Monthly;Other","na","Continuous","before and after holidays","tourists","No","na","subnational","na","2","no such data in Chinese survey","No","Invertebrates"
"FRA;ESP",3668,"USA;ESP;FRA","Other","Primary","Species Dispersal","Other","Biological field observations","Freshwater","Europe","2020-04-16 02:12:00","E_Xing",2015,"Meyer","Reptiles;Amphibians","3","Intercontinental (>2 continents)","1",NA,NA,"Other","na","Categorical","after","red-eared slider turtle exported from USA to Europe","Yes","na","international 1 continent","na","1","no such data in Chinese survey","No","Reptiles;Amphibians"
"CHL",3697,"CHL","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","South America","2020-05-25 17:28:27","Y_Zhang",2014,"Moraga","Mammals",NA,"Sub-national (within-country region)","16","2006","2010","Seasonally","","Continuous","Before, After","","No","","Sub-national (within-country region)","","1","Guanaco density","No","Mammals"
"CAN",3772,"CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","2020-04-28 11:20:44","K_Kapsar",2014,"McDermid","Fish",NA,"Sub-national (within-country region)","4","1940","2010","Decadally","","Categorical","Before, During","Dam","No","","Sub-national (within-country region)","","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","No","Fish"
"AUS",3849,"AUS","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Oceania","2020-05-25 23:33:33","Y_Zhang",2014,"Wolf","Plants/trees/shrubs",NA,"Unclear/unspecified","2","2006","2007","Unknown/Unclear","Field work days","Continuous","After","","No","","Sub-national (within-country region)","","3","Total plant cover, non-native spcies, simpson's diversity index","No","Plants"
"AUS",3868,"AUS","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Oceania","2020-04-05 16:30:29","E_Dean",2014,"de Bie","Plants/trees/shrubs",NA,"Sub-national (within-country region)","2","2001","2011","Annually","","Categorical","During","No ""flow"" identified","No","","Sub-national (within-country region)","","1","Exotic species richness","No","Plants"
"CRI",3924,"CRI","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","South America","common paper","common paper",2014,"Cove","Mammals","common paper","common paper","common paper","common paper","common paper","common paper","common paper","Categorical","common paper","common paper","common paper","common paper","common paper","; study reports both detection and occurrence probability, but only occurrence counts as a BD metric; ; Scale of entire system is unclear. Pineapple plantations are implied to be fore exportation, but it's unclear where they're going. I put intercontinental, but that is a big assumption. 

Number of countries involved is also unclear for reasons stated above. 

Number of time periods: Put 3 because there were three field seasons during which camera traps were collected. ; ; ","2","common paper","common paper","Mammals"
"PRT",3989,"PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","2020-04-28 13:20:02","K_Kapsar",2014,"Bessa","Invertebrates",NA,"Unclear/unspecified","2","1999","2011","Monthly, Seasonally","","Categorical","During","Tourists","No","","Sub-national (within-country region)","","6","density (3 spp); richness; Shannon-Weiner index; community structure","No","Invertebrates"
"FIN",4020,"FIN","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Europe","2020-04-30 14:57:01","Y_Zhang",2014,"Huhta","Birds",NA,"Sub-national (within-country region)","2","2004","2006","Unknown/Unclear","Involving field work days","Categorical","After","Tourists (implied)","No","","Sub-national (within-country region)","","1","Bird abundance","No","Birds"
"MAR",4060,"MAR","Secondary","Secondary","Knowledge Transfer","Field observations","Biological field observations","Terrestrial;Freshwater","Africa","2020-06-03 15:02:49","A_Herzberger",2014," Kleijn","Birds",NA,"International (within a continent; e.g., European Union)","21","1985","2011","Annually","","Categorical","Before, After","","No","","Sub-national (within-country region)","","alot, im going to send an excel sheet ","waterbird abundance, richness ","No","Birds"
"BHS",4063,"BHS;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","North America","2020-04-29 17:30:20","C_Hovis",2014,"Sealey","Plants/trees/shrubs",NA,"Global (>100 countries)","1","2002","2012","Annually","","Continuous","Before, During, After","Human impact rank related to tourism","No","","Sub-national (within-country region)","","4","number of spp, margalef index, shannon, assemblage","No","Plants"
"USA",4087,"USA","Primary","Primary","Knowledge Transfer","Field observations","Biological field observations","Terrestrial;Freshwater","North America","2020-03-18 15:23:17","A_Herzberger",2012,"Randall","Birds","1","Sub-national ((within-country region)","13","1995","2007","Annually","","Categorical","Before, After","state conservation program","No","","Sub-national (within-country region)","","1","bird density","No","Birds"
"NOR",4132,"NOR","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Terrestrial","Europe","2020-03-18 12:23:33","MG_Chung",2014,"Bjerke","Birds","1","Sub-national ((within-country region)","1","2011","2011","Seasonally","","Continuous","During","spring-staging pink-footed geese (as measured from the goose-dropping counts)","No","","Sub-national (within-country region)","Populations of migratory geese negatively impact available hay biomass and quality that are used for milk feed from farmers.","1","the Shannon biodiversity index of weeds","No","Birds"
"USA",4155,"USA","Primary","Primary","Energy Transfer","Social science field surveys","Biological field observations","Terrestrial","North America","2020-03-18 15:10:03","MG_Chung",2014,"Thomas","Birds","1","Sub-national ((within-country region)","1","2009","2010","Annually","","Categorical","During, After","the number of oil wells (active, conventional oil-gas well)(wells/site, wells/km2)","No","","Sub-national (within-country region)","","2","species richness; species abundance","No","Birds"
"",4209,"ATA","Secondary","Primary","Migration (human)","Other","Biological field observations","Terrestrial","Antarctica","2020-05-26 11:03:35","Y_Zhang",2014,"Molina-Montenegro","Plants/trees/shrubs",NA,"International (within a continent; e.g., European Union)","2","2007","2009","Seasonally","","Continuous","Before, After","Visitors (tourists, scientists)","No","Visitors must be from another continent (?)","International (within a continent; e.g., European Union)","","1","Number of P. annua individuals (abundance)","No","Plants"
"ZAF",4257,"ZAF","Primary","Secondary","Trade;Species Dispersal","Field observations","Biological field observations","Freshwater","Africa","2020-05-19 12:26:04","X_Wu",2014,"Miranda","Invertebrates",NA,"Unclear/unspecified","2","1968","2013","Annually","","Categorical","Before, After","","No","","Sub-national (within-country region)","","1","Composition","No","Invertebrates"
"AUS",4293,"AUS","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Oceania","2020-04-30 15:37:52","Y_Zhang",2014,"Ballantyne","Plants/trees/shrubs",NA,"Sub-national (within-country region)","2","2003","2013","Unknown/Unclear","Involves field work days","Unclear number of tourists","After","Tourists in hiking trails","No","","Sub-national (within-country region)","","1","Abundance","No","Plants"
"DEU;NLD;BEL;HUN;AUT;SVK;LUX;FRA",4393,"DEU;NLD;BEL;HUN;AUT;SVK;LUX;FRA","Secondary","Secondary","Trade;Species Dispersal","Aggregate institutional data","Aggregate institutional data","Freshwater","Europe","2020-04-06 11:09:29","X_Wu",2013,"Hanafiah","Fish",NA,"International (within a continent; e.g., European Union)","1","1992","2009","Unknown/Unclear","The data is secondary data.","Categorical","During","","No","","International (within a continent; e.g., European Union)","","1","Species richness","No","Fish"
"AUS",4445,"AUS","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Oceania","2020-05-26 00:06:42","Y_Zhang",2013,"Wolf","Birds",NA,"Unclear/unspecified","2","2006","2007","Unknown/Unclear","Field work days","Continuous","After","","No","","Sub-national (within-country region)","","2","Number of birds, species richness","No","Birds"
"CHN",4509,"CHN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","Asia","2020-05-28 14:58:08","K_Kapsar",2013,"Luo","Mammals",NA,"Unclear/unspecified","1","2003","2011","Unknown/Unclear","Census across 9 years","Categorical","During, After","Tourists","No","","Sub-national (within-country region)","","1","Species richness","No","Mammals"
"KOR",4518,"KOR;PRK;CHN;MNG;AUS","Primary","Primary;Secondary","Trade;Migration (non-human);Knowledge Transfer","Other","Biological field observations;Aggregate institutional data","Freshwater;Marine","Asia","2020-06-15 13:56:37","A_Herzberger",2013,"Hyun","Birds",NA,"International (within a continent; e.g., European Union)","1","1999","2006","Unknown/Unclear","","Categorical","After","land was reclaimed and used for rice production, farmers changed management to attract birds, being compared to a control","No","","Sub-national (within-country region)","","1","diversity ","No","Birds"
"NZL",4551,"NZL","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","Oceania","2020-04-06 15:55:08","X_Wu",2013,"Fukami","Plants/trees/shrubs",NA,"Unclear/unspecified","5","2002","2006","Annually","","Categorical","During","","No","","Sub-national (within-country region)","","3","alpha diversity; beta diversity; gamma diversity","No","Plants"
"CHN",4552,"CHN","Primary","Primary","Tourism","Social science field surveys","Biological field observations","Terrestrial","Asia","2020-04-29 13:55:51","K_Kapsar",2013,"Zhou","Mammals",NA,"Unclear/unspecified","1","2007","2007","Seasonally","","Ordinal","During","","No","","Sub-national (within-country region)","","1","fieldsign abundance","No","Mammals"
"MNG;IND;CHN",4574,"MNG;IND;CHN","Primary;Secondary","Primary;Secondary","Trade","Other","Biological field observations;Aggregate institutional data","Terrestrial","Asia","2020-05-11 02:21:00","E_Xing",2013,"BERGER","Mammals","3","Internaitonal (within a continent; e.g., European Union)","1","2006","2007","Other","na","Continuous","1","biomass of domestic goat","No","na","international 1 continent","na","1","no such data in Chinese survey","No","Mammals"
"USA",4760,"USA;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial;Freshwater","North America","2020-04-30 13:01:49","C_Hovis",2013,"Sada","Invertebrates",NA,"Global (>100 countries)","1","2006","2007","Seasonally","","Categorical","Before, After","Music festival activity","No","","Sub-national (within-country region)","study took place in nevada, playas are seasonally flooded and this is crucial for the life history of the organism, wasn't sure if I should tag as freshwater or terrestrial so I put both","2","egg density for two spp","No","Invertebrates"
"IRN",4831,"IRN","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Asia","2020-04-30 19:01:01","K_Kapsar",2013,"Pour","Invertebrates",NA,"Unclear/unspecified","2","2009","2009","Unknown/Unclear","Two sampling events. Unclear how long they took. ","Categorical","During, After","Tourists","No","","Sub-national (within-country region)","","8","richness, density, assemblage, body size","No","Invertebrates"
"AUS",4832,"AUS","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","Oceania","2020-04-30 21:27:15","M_Lei",2013,"SILCOCK","Plants/trees/shrubs",NA,"Sub-national (within-country region)","1","2010","2010","Unknown/Unclear","","Continuous","During","grazing, a control group was set up","No","","Sub-national (within-country region)","","2","richness and abundance","No","Plants"
"ESP",4850,"ESP","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","Europe","2020-04-27 16:08:59","C_Hovis",2013,"Arizaga","Birds",NA,"Unclear/unspecified","1","2011","2011","Seasonally","","Categorical","Before, After","invasive spp","No","","Sub-national (within-country region)","","1","diversity indes","No","Birds"
"USA",5063,"USA","Secondary","Primary","Migration (human)","Aggregate institutional data","Biological field observations","Terrestrial","North America","2020-04-30 17:10:08","Y_Zhang",2019,"Warren","Birds",NA,"Sub-national (within-country region)","2","2006-2008","2011-2013","Unknown/Unclear","Field work days involved","Continuous","Before, After","Urbanization between two study years","No","","Sub-national (within-country region)","","3","Richness, occupancy, abundance","No","Birds"
"ITA",5076,"ITA","Secondary","Primary","Trade","Aggregate institutional data","Biological field observations","Terrestrial","Europe","2020-04-30 18:03:02","Y_Zhang",2018,"Assandri","Birds",NA,"Sub-national (within-country region)","2","2017","2017","Unknown/Unclear","Three visits/surveys during breeding seasons","Continuous","After","Agriculture (EU CAP policy)","No","","Sub-national (within-country region)","","1","Richness","No","Birds"
"CHN",5125,"CHN;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Asia","2020-04-05 11:50:54","X_Wu",2019,"Niu","Plants/trees/shrubs",NA,"Unclear/unspecified","1",NA,NA,"Unknown/Unclear","Not mention in the paper","Continuous","During","","No","","Sub-national (within-country region)","","1","Species diversity","No","Plants"
"USA",5175,"USA","Secondary","Primary","Other","Social science field surveys","Biological field observations","Terrestrial","North America","2020-05-11 20:24:00","E_Xing",2019,"Lewis","Birds","1","Sub-national (within-country region)","4","2016","2018","Annually","na","Categorical","after, 1 time, compare with other wetland","Payment for Agricultural Conservation Easement Program (ACEP)","No","na","subnational","na","2","no such data in Chinese survey","No","Birds"
"ATA",5309,"ATA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Antarctica","2020-04-06 11:53:33","X_Wu",2019,"Dunn","Birds",NA,"Intercontinental (> 2 continents)","21","1996","2017","Annually","","Continuous","During","","No","","International (within a continent; e.g., European Union)","","1","Population","No","Birds"
"CZE",5314,"CZE","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Terrestrial","Europe","2020-04-30 17:31:20","Y_Zhang",2018,"Reif","Birds",NA,"National","2","1993-2004","2005-2017","Annually","","Continuous","Before, After","","No","","National","","1","Bird population abundance","No","Birds"
"IDN",5477,"IDN","Secondary","Primary;Secondary","Trade","Other","Social science field observations;Remote sensing;Aggregate institutional data","Marine","Asia;Europe;Oceania","2020-04-10 16:05:37","A_Herzberger",2018,"Symes","Birds",NA,"Intercontinental (> 2 continents)","2","2000","2015","Annually","","Categorical","During","exploitation and habitat loss (driven by wildlife trade, agriculture)","Yes","they discuss the different sources of exploitation and habitat loss","Intercontinental (> 2 continents)","","1","habitat loss","No","Birds"
"ESP",5486,"ESP","Secondary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","2020-03-19 10:43:14","A_Herzberger",2018,"Urra","Invertebrates","1","Sub-national ((within-country region)","4","2004","2005","Seasonally","","Categorical","Before, During, After","harvest of mollusks during tourist season ","No","","Sub-national (within-country region)","","1","abundance","No","Invertebrates"
"USA",5577,"USA","Primary","Primary","Species Dispersal;Knowledge Transfer","Other","Biological field observations","Terrestrial;Freshwater","North America","2020-06-09 14:31:59","A_Herzberger",2012,"Fischer","Birds",NA,"Intercontinental (> 2 continents)","2","2005","2006","Seasonally","","Categorical","During, After","Invasion of riparian areas by Russian Olive that was introduced for conservation (soil stability)  ","No","","Sub-national (within-country region)","","1","Species richness","No","Birds"
"MEX",5746,"MEX","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","2020-05-19 20:24:57","X_Wu",2012,"Villamagna","Birds",NA,"Unclear/unspecified","6","2006","2008","Seasonally","","Continuous","During","","No","","Sub-national (within-country region)","","4","Density, species richness, Simpson's index, species composition","No","Birds"
"CAF",5756,"CAF;ROW","Primary","Primary","Trade;Migration (human)","Other","Biological field observations","Terrestrial","Africa","2020-04-30 12:40:57","C_Hovis",2012,"Remis","Mammals",NA,"Unclear/unspecified","2","1994","2009","Seasonally","","Continuous","Before, After","","No","","Sub-national (within-country region)","Unclear if migrants/demand for meat comes from outside the country/continent","7","groups/km, spp comp","No","Mammals"
"RUS",5773,"RUS","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Asia","2020-04-30 16:38:13","K_Kapsar",2012,"Chepinoga","Plants/trees/shrubs",NA,"Unclear/unspecified","1","2009","2009","Unknown/Unclear","Single time period","Continuous","During","Tourists","No","","Sub-national (within-country region)","","1","species richness","No","Plants"
"ESP",5782,"ESP","Primary","Primary","Knowledge Transfer","Field observations","Biological field observations","Terrestrial","Europe","2020-04-30 17:00:31","K_Kapsar",2012,"Martin","Birds",NA,"Unclear/unspecified","2","1998","2008","Unknown/Unclear","","Continuous","Before, During","Agri-environmental policy","No","","Sub-national (within-country region)","","1","Percent change in population size","No","Birds"
"USA",5804,"USA","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Terrestrial","North America","2020-05-11 23:37:00","E_Xing",2012,"FITZGERALD","Other","1","Sub-national (within-country region)","34","1993","2009","Other","na","Continuous","na","alien species","No","na","subnational","na","1","no such data in Chinese survey","No","Other"
"SLB",5844,"SLB","Secondary","Primary","Trade","Other","Biological field observations","Marine","Oceania","2020-05-15 14:32:41","E_Dean",2012,"Brewer","Fish",NA,"Sub-national (within-country region)","1","2004","2004","Monthly","","Continuous","During","Human population density (people per sq. km of the coral reef), socioeconomic development (sum of un-weighted infrastructures and amenities), market access (un-weighted sum of the shortest distance from each ecological sampling location to the nearest local fish market, provincial capital, and national capital using roads and sea as routes as distance measures)","Yes","","Sub-national (within-country region)","","8","Species richness; species evenness; average taxonomic distinctness (AvTD); variation in taxonomic distinctness (VarTD); all herbivores; non-target herbivores; all piscivores; non-target piscivores","No","Fish"
"TZA",5853,"TZA","Primary","Primary","Trade","Social science field surveys","Biological field observations","Terrestrial","Africa","2020-04-05 17:29:40","X_Wu",2012,"Flecks","Reptiles",NA,"Intercontinental (> 2 continents)","1","2009","2009","Annually","","Categorical","During","","No","","Sub-national (within-country region)","","1","Population","No","Reptiles"
"BRA",5875,"BRA","Primary","Primary","Trade","Field observations","Biological field observations","Marine","South America;Africa","2020-03-26 16:18:22","A_Herzberger",2012,"Fiedler","Reptiles",NA,"Global (>100 countries)","5","2002","2008","Annually","","Categorical","During","Driftnet fisheries by catch sea turtle ","No","","Intercontinental (> 2 continents)","","2","capture rate, capture composition ","No","Reptiles"
"BRA",5905,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","2020-03-20 10:27:11","A_Herzberger",2012,"Sarmento","Invertebrates",NA,"Sub-national ((within-country region)","1","2009","2009","5 replicates at 1 time","","Categorical","Before, During, After","trampling of reef habitat by tourists","No","","Sub-national (within-country region)","","4","reef temperature; reef height; reef weight; species richness; diversity;  community assemblage","No","Invertebrates"
"ITA",5926,"ITA","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","2020-05-28 17:01:26","K_Kapsar",2011,"Harriague","Invertebrates",NA,"Unclear/unspecified","2","2006","2007","Unknown/Unclear","Two sampling events","Categorical","Before, During","Tourist vessels in harbor","No","","Sub-national (within-country region)","","4","abundance, biomass, species richness, ecological integrity","No","Invertebrates"
"BRA;PRY;ARG;BOL;URY",5966,"BRA;PRY;ARG;BOL;URY","Secondary","Secondary","Water Transfer","Aggregate institutional data","Aggregate institutional data","Freshwater","South America","2020-03-19 15:21:28","MG_Chung",2012,"Vitule","Fish","5","International (within a continent; e.g., European Union)","2",NA,NA,"Annually","","Categorical","Before, After","changes in biotic homogenization of fish fauna/assemblages caused by the elimination of a natural barrier due to dam construction, aquaculture, and aquarium trade","No","","International (within a continent; e.g., European Union)","","2","Jaccard's coefficient; Whittaker's beta biodiversity index","No","Fish"
"MYS",6195,"MYS","Primary","Primary","Investment","Field observations","Biological field observations","Terrestrial","Asia","2020-05-25 23:02:44","M_Lei",2011,"Azhar","Birds",NA,"Sub-national (within-country region)","1","2009","2009","Annually","","Continuous","After","natural forest prior to conversion to oil palms.","No","","Sub-national (within-country region)","","1","birds richness","No","Birds"
"IND",6254,"IND","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Asia","2020-04-29 16:32:41","A_Torres",2011,"Seshadri","Mammals, Reptiles, Amphibians, Invertebrates",NA,"Sub-national (within-country region)","2","2008","2009","Annually","","Continuous","Before, During","Increased traffic due to religious tourism","No","","Sub-national (within-country region)","","8","mortality-diurnal-habitat1;mortality-diurnal-habitat2;mortality-diurnal-habitat3;mortality-diurnal-habitat4;mortality-nocturnal-habitat1;mortality-nocturnal-habitat2;mortality-nocturnal-habitat3;mortality-nocturnal-habitat4","No","Mammals; Reptiles; Amphibians; Invertebrates"
"BRA",6321,"BRA","Primary","Primary","Tourism","Social science field surveys","Biological field observations","Marine","South America","2020-05-13 00:05:00","E_Xing",2011,"SARMENTO","Invertebrates;Plants","1","Sub-national (within-country region)","1","2009","2009","Other","one time","Continuous","compare two kinds of sites","tourism","No","na","subnational","na","3","no such data in Chinese survey","No","Invertebrates;Plants"
"BRA",6331,"BRA","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","South America","2020-03-31 15:41:36","A_Herzberger",2011,"Vibrans","Plants/trees/shrubs",NA,"Global (>100 countries)","1","2007","2008","Unknown/Unclear","1 type period, comparing sites with disturbance","Categorical","","Logging, livestock and control ","No","","Sub-national (within-country region)","","2","species richness, regeneration ","No","Plants"
"BLR;UKR",6396,"BLR;UKR","Primary","Primary","Waste Transfer","Field observations","Biological field observations","Freshwater","Europe","2020-03-19 16:37:56","MG_Chung",2011,"Murphy","Invertebrates","2","International (within a continent; e.g., European Union)","1","2003","2004","Annually","","Continuous","After","radiation exposure (137Cs activity concentration) after Chernobyl accident","No","","Sub-national (within-country region)","","4","abundance of individuals; taxon richness; Berger-Parker dominance; Shannon-Wiener diversity","No","Invertebrates"
"USA",6493,"USA","Secondary","Primary",NA,"Remote sensing","Biological field observations","Terrestrial","North America","2020-03-20 10:30:03","MG_Chung",2011,"Suarez-Rubio","Birds",NA,"Sub-national ((within-country region)","1","2006","2006","Seasonally","","Categorical","After","comparison between forests (reference) and exurban development sites","No","","Sub-national (within-country region)","","2","a multi-response permutation procedure (MRPP); species abundance","No","Birds"
"USA;CAN",6502,"CAN;USA","Secondary","Secondary","Trade","Aggregate institutional data","Biological field observations","Terrestrial","North America","2020-04-05 17:20:38","E_Dean",2011,"Nocera","Birds",NA,"International (within a continent; e.g., European Union)","3",NA,NA,"Unknown/Unclear","The study used datasets over 40 year period, but I do not know the temporal resolution of that data.","Continuous","After","Import and export of beef; amount of hay harvested","Yes","","International (within a continent; e.g., European Union)","","21","Relative abundance of bird species","No","Birds"
"USA",6511,"","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","North America","2020-04-21 11:50:35","C_Hovis",2011,"Gleditsch","Birds",NA,"Intercontinental (> 2 continents)","1","2009","2009","Seasonally","","Continuous","After","Invasive species abundance (Honeysuckle)","No","","Sub-national (within-country region)","Bird spp reported as negatively correlated with invasive spp had an r2 0.047 and 0.018 but I believe these spp were negatively correlated with the NMS axis related to the invasive spp presence","6","Bird abundance for six spp","No","Birds"
