"paper_id","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id.x","UID","hab","tc","biodiv_countries","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","coder_id.y","num_countries","scale_entire","meta_var_type","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","num_biodiv_metrics","list_biodiv_metrics","bd_continents","taxa","sig_effect","maj_eff"
4850,1,"Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Gamma (across all sites)","Seasonal","Positive (beneficial)","TRUE","0.001","","C_Hovis","4850_1","Terrestrial","Species Dispersal","ESP","ESP","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","Europe","C_Hovis",NA,"Unclear/unspecified","Categorical","invasive spp","No","","Sub-national (within-country region)","1","diversity indes","Europe","Birds","Beneficial","Beneficial"
3484,4,"Taxonomic",NA,"Composition (what species?)",NA,NA,"Hourly","Changed (e.g. species composition)","Not evaluated","","","C_Hovis","3484_4","Marine","Tourism","ESP","ESP;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","C_Hovis",NA,"Sub-national (within-country region)","Continuous","# tourists/visitors","No","","Sub-national (within-country region)","4","assemblage density; richness; diversity; comm comp","Europe","Invertebrates","Changed","Not significant or unclear"
3484,3,"Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,NA,"Hourly","Neutral (only when there is absolutely no difference in metrics)","FALSE","","no p-vals reported, just says >0.05","C_Hovis","3484_3","Marine","Tourism","ESP","ESP;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","C_Hovis",NA,"Sub-national (within-country region)","Continuous","# tourists/visitors","No","","Sub-national (within-country region)","4","assemblage density; richness; diversity; comm comp","Europe","Invertebrates","Not significant or unclear","Not significant or unclear"
3484,2,"Taxonomic",NA,"Richness (number of species)",NA,NA,"Hourly","Neutral (only when there is absolutely no difference in metrics)","FALSE","","no p-vals reported, just says >0.05","C_Hovis","3484_2","Marine","Tourism","ESP","ESP;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","C_Hovis",NA,"Sub-national (within-country region)","Continuous","# tourists/visitors","No","","Sub-national (within-country region)","4","assemblage density; richness; diversity; comm comp","Europe","Invertebrates","Not significant or unclear","Not significant or unclear"
3484,1,"Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,NA,"Hourly","Negative (detrimental)","TRUE","0.003","assemblage density","C_Hovis","3484_1","Marine","Tourism","ESP","ESP;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","C_Hovis",NA,"Sub-national (within-country region)","Continuous","# tourists/visitors","No","","Sub-national (within-country region)","4","assemblage density; richness; diversity; comm comp","Europe","Invertebrates","Harmful","Not significant or unclear"
3511,1,"Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Changed (e.g. species composition)","TRUE","0.005","Densities of the LMI [invasive] morph of M. tuberculata are negatively correlated with those of the endemic Melanoides species (Pearson r = -0.386; P = 0.005)","K_Kapsar","3511_1","Freshwater","Species Dispersal","MWI","MWI","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","Africa","K_Kapsar",NA,"Intercontinental (> 2 continents)","Continuous","Invasive snail morph","No","","Sub-national (within-country region)","2","Density","Africa","Invertebrates","Changed","Changed"
3511,2,"Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Changed (e.g. species composition)","TRUE","0.007","Densities of the LMI morph of M. tuberculata are positively correlated with those of the LMN morphs (Pearson r = 0.371; P = 0.007).","K_Kapsar","3511_2","Freshwater","Species Dispersal","MWI","MWI","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","Africa","K_Kapsar",NA,"Intercontinental (> 2 continents)","Continuous","Invasive snail morph","No","","Sub-national (within-country region)","2","Density","Africa","Invertebrates","Changed","Changed"
3772,22,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Pooled data across all time","Negative (detrimental)","Not evaluated","","Greater effective population size in Kenogami River than Ottawa River","K_Kapsar","3772_22","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Harmful","Not significant or unclear"
3772,21,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Negative (detrimental)","Not evaluated","","Decline in effective population size over time in Ottawa River","K_Kapsar","3772_21","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Harmful","Not significant or unclear"
3772,20,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Positive (beneficial)","TRUE","0.001","Significant decline in relatedness of sturgeon in Ottawa river over time","K_Kapsar","3772_20","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Beneficial","Not significant or unclear"
3772,19,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Ottawa T2->T3 Coefficient of inbreeding","K_Kapsar","3772_19","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,18,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Ottawa T2->T3 Allelic richness","K_Kapsar","3772_18","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,17,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Ottawa T2->T3 Observed Heterozygosity","K_Kapsar","3772_17","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,16,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Ottawa T1->T2 coefficient of inbreeding","K_Kapsar","3772_16","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,15,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Ottawa T1 -> T2 Allelic richness","K_Kapsar","3772_15","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,14,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Ottawa T1 -> T2 Observed heterozygosity","K_Kapsar","3772_14","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,13,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","pooled data for all time periods","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.76","Pairwise divergence between rivers for all time periods pooled","K_Kapsar","3772_13","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,12,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","pooled data across all time periods","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.39","Coefficient of inbreeding between rivers for all time periods pooled","K_Kapsar","3772_12","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,11,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","pooled data for all time periods","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.21","Observed heterozygosity between rivers across all time periods pooled","K_Kapsar","3772_11","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,10,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Pooled data across all time periods","Neutral (only when there is absolutely no difference in metrics)","FALSE","0.12","Allelic richness between rivers for all time periods","K_Kapsar","3772_10","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,9,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Ottawa 1980s -> Ottawa 2000s (Pairwise divergence)","K_Kapsar","3772_9","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3772,8,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Ottawa 1940s -> Ottawa 2000s (Pairwise divergence)","K_Kapsar","3772_8","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3772,7,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Alpha (w/in site)","Decadal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Ottawa 1940s -> Ottawa 1980s (pairwise divergence)","K_Kapsar","3772_7","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Not significant or unclear","Not significant or unclear"
3772,6,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Kenogami 2010s -> Ottawa 2000s (pairwise divergence)","K_Kapsar","3772_6","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3772,5,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Kenogami 2010s -> Ottawa 1980s (pairwise divergence)","K_Kapsar","3772_5","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3772,4,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Kenogami 2010s -> Ottawa 1940s (pairwise divergence)","K_Kapsar","3772_4","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3772,3,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Kenogami 1980s -> Ottawa 200s (Pairwise divergences)","K_Kapsar","3772_3","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3772,2,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Kenogami 1980s -> Ottawa 1980s (Pairwise divergences)","K_Kapsar","3772_2","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3772,1,"Taxonomic","With-in species diversity (genetic diversity, age structure, etc.)",NA,NA,"Beta (between pairs of sites)","Decadal","Changed (e.g. species composition)","TRUE","0.05","Kenogami 1980s -> Ottawa 1940s (Pairwise divergences)","K_Kapsar","3772_1","Freshwater","Energy Transfer","CAN","CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","K_Kapsar",NA,"Sub-national (within-country region)","Categorical","Dam","No","","Sub-national (within-country region)","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","North America","Fish","Changed","Not significant or unclear"
3989,12,"Taxonomic",NA,"Composition (what species?)",NA,"Alpha (w/in site)","Annual","Changed (e.g. species composition)","TRUE","0.0028","Significant change in community structure over time at tourist beach","K_Kapsar","3989_12","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Changed","Not significant or unclear"
3989,11,"Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","0.05","Significant negative correlation between T. europaeus abundance and number of tourists ","K_Kapsar","3989_11","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Harmful","Not significant or unclear"
3989,10,"Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","0.004","Significant negative correlation between number of tourists and T. saltator abundance","K_Kapsar","3989_10","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Harmful","Not significant or unclear"
3989,9,"Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Alpha (w/in site)","Annual","Negative (detrimental)","FALSE","","No change in abundance of T. brito over time at tourist beach","K_Kapsar","3989_9","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Not significant or unclear","Not significant or unclear"
3989,8,"Taxonomic",NA,NA,NA,"Alpha (w/in site)","Annual","Negative (detrimental)","TRUE","0.0109","T. europaeus abundance over time on tourist beach","K_Kapsar","3989_8","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Harmful","Not significant or unclear"
3989,7,"Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Alpha (w/in site)","Annual","Negative (detrimental)","TRUE","0.0132","T. saltator abundance at tourist beach over time","K_Kapsar","3989_7","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Harmful","Not significant or unclear"
3989,6,"Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral (only when there is absolutely no difference in metrics)","FALSE","","T. brito abundance between beaches","K_Kapsar","3989_6","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Not significant or unclear","Not significant or unclear"
3989,4,"Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Positive (beneficial)","TRUE","0.001","T. saltator density between sites","K_Kapsar","3989_4","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Beneficial","Not significant or unclear"
3989,3,"Taxonomic",NA,"Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Positive (beneficial)","FALSE","","Shannon-Wiener diversity index between sites","K_Kapsar","3989_3","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Not significant or unclear","Not significant or unclear"
3989,2,"Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Species richness between beaches","K_Kapsar","3989_2","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Not significant or unclear","Not significant or unclear"
3989,1,"Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","FALSE","","Total density between sites","K_Kapsar","3989_1","Marine","Tourism","PRT","PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","K_Kapsar",NA,"Unclear/unspecified","Categorical","Tourists","No","","Sub-national (within-country region)","6","density (3 spp); richness; Shannon-Weiner index; community structure","Europe","Invertebrates","Not significant or unclear","Not significant or unclear"
379,3,"Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Gamma (across all sites)","Annual","Negative (detrimental)","TRUE","0.002","The abundance (individuals/m2) of bioeroding sponges differed significantly between the two sites (PERMANOVA; F = 2.898; p = 0.0038) and along the six years studied (PERMANOVA; F = 48.498; p = 0.002;","M_Lei","379_3","Marine","Species Dispersal","BRA","BRA","Primary;Secondary","Primary;Secondary","Species Dispersal","Other","Biological field observations;Aggregate institutional data","Marine","South America","M_Lei",NA,"Sub-national (within-country region)","Continuous","Bioeroding sponge richness and abundance","No","","Sub-national (within-country region)","2","Bioeroding sponge richness and abundance","South America","Invertebrates","Harmful","Harmful"
379,2,"Taxonomic",NA,"Richness (number of species)",NA,"Alpha (w/in site)","Annual","Negative (detrimental)","Not evaluated","","Occurrences of bioeroding sponge species in Parcel dos Abrolhos (PAB)","M_Lei","379_2","Marine","Species Dispersal","BRA","BRA","Primary;Secondary","Primary;Secondary","Species Dispersal","Other","Biological field observations;Aggregate institutional data","Marine","South America","M_Lei",NA,"Sub-national (within-country region)","Continuous","Bioeroding sponge richness and abundance","No","","Sub-national (within-country region)","2","Bioeroding sponge richness and abundance","South America","Invertebrates","Harmful","Harmful"
379,1,"Taxonomic",NA,"Richness (number of species)",NA,"Alpha (w/in site)","Annual","Negative (detrimental)","Not evaluated","","Occurrences of bioeroding sponge species in Pedra de Leste (PL)","M_Lei","379_1","Marine","Species Dispersal","BRA","BRA","Primary;Secondary","Primary;Secondary","Species Dispersal","Other","Biological field observations;Aggregate institutional data","Marine","South America","M_Lei",NA,"Sub-national (within-country region)","Continuous","Bioeroding sponge richness and abundance","No","","Sub-national (within-country region)","2","Bioeroding sponge richness and abundance","South America","Invertebrates","Harmful","Harmful"
134,1,"Taxonomic",NA,NA,"Quality (pollution, connectence, disturbance, etc.)",NA,"Seasonal","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","Invasive canopy and algae quality","C_Hovis","134_1","Freshwater","Species Dispersal","USA","USA;ROW","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","C_Hovis",NA,"Global (>100 countries)","Categorical","Invasive spp","No","","Sub-national (within-country region)","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","North America","Invertebrates","Not significant or unclear","Not significant or unclear"
134,2,"Taxonomic",NA,NA,"Quality (pollution, connectence, disturbance, etc.)",NA,"Seasonal","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","Invasive fish and algae quality","C_Hovis","134_2","Freshwater","Species Dispersal","USA","USA;ROW","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","C_Hovis",NA,"Global (>100 countries)","Categorical","Invasive spp","No","","Sub-national (within-country region)","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","North America","Invertebrates","Not significant or unclear","Not significant or unclear"
134,3,"Taxonomic",NA,NA,"Quality (pollution, connectence, disturbance, etc.)",NA,"Seasonal","Neutral (only when there is absolutely no difference in metrics)","Not evaluated","","Invasive canopy and litter quality","C_Hovis","134_3","Freshwater","Species Dispersal","USA","USA;ROW","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","C_Hovis",NA,"Global (>100 countries)","Categorical","Invasive spp","No","","Sub-national (within-country region)","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","North America","Invertebrates","Not significant or unclear","Not significant or unclear"
134,4,"Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,NA,"Day","Changed (e.g. species composition)","FALSE","","Rubra day count and invasive tree, p-val >0.05 but exact not given","C_Hovis","134_4","Freshwater","Species Dispersal","USA","USA;ROW","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","North America","C_Hovis",NA,"Global (>100 countries)","Categorical","Invasive spp","No","","Sub-national (within-country region)","20","algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)","North America","Invertebrates","Not significant or unclear","Not significant or unclear"
