,X,STUDY_ID,REVIEWERS,INCLUDE,STUDY_ID.1,TITLE,AU,PY,ABSTRACT
158,19,196,EmilyD,not vetted,6236,ASSESSING THE IMPACTS OF MOUNTAIN BIKING AND HIKING ON SUBALPINE GRASSLAND IN AUSTRALIA USING AN EXPERIMENTAL PROTOCOL,PICKERING CATHERINE MARINA;ROSSI SEBASTIAN;BARROS AGUSTINA,2011,"MOUNTAIN BIKING IS AN INCREASINGLY POPULAR, BUT SOMETIMES CONTROVERSIAL, ACTIVITY IN PROTECTED AREAS. LIMITED RESEARCH ON ITS IMPACTS, INCLUDING STUDIES COMPARING BIKING WITH HIKING, CONTRIBUTES TO THE CHALLENGES FOR MANGERS IN ASSESSING ITS APPROPRIATENESS. THE IMPACTS OF MOUNTAIN BIKE RIDING OFF TRAIL WERE COMPARED TO THOSE OF HIKING ON SUBALPINE GRASSLAND IN AUSTRALIA USING A MODIFICATION OF A COMMON TRAMPLING EXPERIMENTAL METHODOLOGY. VEGETATION AND SOIL PARAMETERS WERE MEASURED IMMEDIATELY AND TWO WEEKS AFTER DIFFERENT INTENSITIES OF MOUNTAIN BIKING (NONE, 25, 75, 200 AND 500 PASSES ACROSS SLOPE, 200 PASS UP AND DOWN SLOPE) AND HIKING (200 AND 500 PASSES ACROSS SLOPE). THERE WERE REDUCTIONS IN VEGETATION HEIGHT, COVER AND SPECIES RICHNESS, AS WELL AS CHANGES IN SPECIES COMPOSITION AND INCREASES IN LITTER AND SOIL COMPACTION WITH RIDING. RIDING UP AND DOWN A MODERATE SLOPE HAD A GREATER IMPACT THAN RIDING ACROSS THE SLOPE. HIKING ALSO AFFECTED VEGETATION HEIGHT, COVER AND COMPOSITION. MOUNTAIN BIKING CAUSED MORE DAMAGE THAN HIKING BUT ONLY AT HIGH USE (500 PASSES). FURTHER RESEARCH INCLUDING OTHER ECOSYSTEMS, TOPOGRAPHY, STYLES OF RIDING, AND WEATHER CONDITIONS ARE REQUIRED, BUT UNDER THE CONDITIONS TESTED HERE, HIKING AND MOUNTAIN BIKING APPEAR TO BE SIMILAR IN THEIR ENVIRONMENTAL IMPACTS. (C) 2011 ELSEVIER LTD. ALL RIGHTS RESERVED."
159,20,250,EmilyD,not vetted,1227,What Do We Know About The Invasive Potential Of Lonicera Caerulea L. Cultivars In North America?,PETERSON B J;STACK L B;HAYES D J,2018,"Some eurasian shrubs, including species of lonicera, have become invasive in north america. Recently, lonicera caerulea cultivars have been developed from eurasian germplasm and promoted for north american markets as honeyberry, haskap, or sweetberry honeysuckle. Checklist-based evaluation tools offer insight into the invasive potential of non-native plants introduced to north america, but can be difficult to utilize effectively for taxa with limited cultivation histories. The recent arrival of l. Caerulea to north america's horticulture trade makes it difficult to answer questions that rely on an established history of ecological interactions in an introduced range. The only ecological observation that we have found in north america is a 2011 report of a naturalized woodland population of reproductive honeyberry shrubs in minnesota. However, in northern europe, the norwegian biodiversity information centre reported that eurasian l. Caerulea has spread rapidly from planted localities, and poses risks of severe impacts to norway's natural plant communities. Our best interpretation of available data used in two risk-assessment tools developed for north america indicates that cultivars of eurasian l. Caerulea pose a high risk of invasiveness. A complicating factor is the native occurrence of the closely related mountain fly honeysuckle [lonicera caerulea subsp. Villosa (michx.) A. Love & d. Love] and blue fly honeysuckle [lonicera caerulea subsp. Cauriana (fernald) b. Boivin] in portions of north america where cultivars of eurasian l. Caerulea have been promoted. Fly honeysuckles tend to be sporadic, small in stature, and not particularly productive; conversely, eurasian cultivars have been hybridized and selected for rapid growth and high yield. Unanswered concerns include: (1) should l. Caerulea germplasm from eurasia be considered native in north america; (2) could hybrid, eurasian genotypes of l. Caerulea exhibit greater competitive fitness than the north american fly honeysuckles; and (3) will the introduction of eurasian l. Caerulea cultivars have population genetic consequences for indigenous fly honeysuckles?"
160,21,253,EmilyD,not vetted,2146,Trade: A Driver Of Present And Future Ecosystems,PACE MICHAEL L;GEPHART JESSICA A,2017,"Growing trade among nations is globalizing economies and driving environmental change. As a consequence, trade affects ecosystems, but trade is not currently a major topic in ecosystem research based on a survey of ecological journals. This survey reveals trade is rarely a title word or topic except for studies considering the movement of species or sustainability. However, when trade is considered at large scales, ecosystem mass balances are significantly influenced by traded products such as the nitrogen and phosphorus in fertilizers and livestock feeds. Trade also depletes resource species leading to ecosystem alterations such as the elimination of large predators and filter feeders in aquatic ecosystems and landscape conversion with attendant changes in biogeochemistry and biodiversity in terrestrial ecosystems. Trade is a source of alien species introductions. Trade also creates telecouplings among distant locations that cause changes in ecosystems including changes that may affect whether an ecosystem is a source or sink in relation to atmospheric carbon dioxide. There is a need for improved data tracing traded products, understanding the linkages of trade between ecosystem sources and sinks, and developing new methods and models to analyze trade impacts. Studies of trade impacts in relation to questions about changing ecological processes and the trajectory of ecosystems represent an important frontier."
161,22,259,EmilyD,not vetted,2631,Impact Of Alien Invasive Species On Habitats And Species Richness In Saudi Arabia,THOMAS JACOB;EL-SHEIKH MOHAMMED A;ALFARHAN AHMED H;ALATAR ABDULREHMAN A;SIVADASAN M;BASAHI MOHAMMED;AL-OBAID SAMI;RAJAKRISHNAN R,2016,"Invasive alien species have distressing impacts on native biota, causing decline or even extinctions of native species, and negatively affecting ecosystems. All major invasions are due to the actions of humans such as deliberate introductions or escapes, and hitchhiking with global trade of species to other continents. Though majority of introductions have only minor impacts to the ecosystem, some of them led to numerous problems. 48 exotic species have been recorded from saudi arabia; of which 9 are recorded for the first time from saudi arabia. Among these, the species that potentially damaging the biodiversity or altering the ecosystems in general are: argemone ochrolecuca, nicotiana glauca, opuntia dellenii, opuntia ficus-indica, prosopis juliflora and trianthema portuiacastrum. Among these, p. Juliflora has been observed in lower altitudes with a density of more than 6%/hectare followed by o. Dellenii and n. Glauca in areas above 1000 m. Mountains and wadis have the highest values in terms of species richness, cover and exotic species impact. Analysis showed that environmental and diversity variables have high significant variation between habitats. Invasive and other exotic species are correlated positively with altitude and most diversity indices except with species dominance which are correlated negatively. (C) 2015 elsevier ltd. All rights reserved."
162,23,268,EmilyD,not vetted,3868,Ecological Indicators For Assessing Management Effectiveness: A Case Study Of Horse Riding In An Alpine National Park,DE BIE KELLY;VESK PETER A,2014,"Recreation activities and visitor use often have deleterious ecological impacts in protected areas. Management agencies then face the difficult task of providing recreation and tourism opportunities without compromising environmental values. This study assessed the success of efforts aimed at conserving alpine vegetation along the mt bogong massif in victoria, australia, through controlling the use of horses. Vegetation condition was assessed in 2001 to coinciding with restrictions on the use of horse riding on trails and then resurveyed 10years later. Sampling was undertaken in track plots that included the trail and surrounding vegetation, and control plots located away from the trail. There were significant differences in the amount of bare ground, the height of shrubs and ground layer vegetation, and shrub cover between track and control plots in 2001. Ten years later, track plots were recovering with reductions in bare ground and changes in vegetation, with improved ground layer vegetation height. Results show that vegetation condition has improved with restrictions of horse numbers. The indicators selected were sensitive to changes in vegetation condition and hence should be used for ongoing assessment of the effectiveness of this and similar management interventions."
163,24,283,EmilyD,not vetted,6406,The Effects Of Human Trampling On The Microbiological Properties Of Soil And Vegetation In Mediterranean Mountain Areas,LUCAS-BORJA M E;BASTIDA F;MORENO J L;NICOLAS C;ANDRES M;LOPEZ F R;DEL CERRO A,2011,"Increased tourist activity and recreational use of wilderness and other protected areas has endangered zones of high environmental value. The aim of this work was to evaluate the effects of trampling intensity (low, high use trails and untrampled trails) and distance from the trails (on the trails, at 10 and 20 m from the trails) on the vegetation, chemical, physical and microbiological properties of a soil in mediterranean mountain areas. Trail type and distance from the trail significantly influenced several parameters. High use trails showed lower values of plant cover and diversity of vegetation species, as well as soil respiration and some enzyme activities (phosphatase, beta-glucosidase and dehydrogenase) than low use trails. In addition, the effects of trampling spatially extended further from these high use trails than from low use trails. Statistical analysis showed that some microbiological (basal respiration, dehydrogenase activity and beta-glucosidase activity) and vegetal parameters (plant cover and diversity) may be established as a set of indicators for the evaluation of soil quality on these areas subjected to human trampling. We concluded that trampling significantly impacts on soil microbial processes and vegetal communities, and visitor should be restricted from entering ecologically sensitive areas due to the effects of trampling. Copyright (c) 2010 john wiley & sons, ltd."
164,25,285,EmilyD,not vetted,6502,Population Trends Of Grassland Birds In North America Are Linked To The Prevalence Of An Agricultural Epizootic In Europe,NOCERA JOSEPH J;KOSLOWSKY HANNAH M,2011,"Globalization of trade has dramatic socioeconomic effects, and, intuitively, significant ecological effects should follow. However, few quantitative examples exist of the interrelationship of globalization, socioeconomics, and ecological patterns. We present a striking illustration of a cascade in which bovine spongiform encephalopathy (bse; ""mad cow disease"") outbreaks in europe exerted pressure on global beef markets, subsequently affecting north american hayfields and grassland bird populations. We examined competing models, which linked the prevalence of bse in five focal countries, volume of beef exports to those countries from north america, and the amount of hayfield harvested and the abundance of grassland birds in north america. We found that (i) imports from north america increased 1 y after bse outbreaks; (ii) probably because fewer cattle remained, the hay harvest in north america was reduced 2 y after the outbreak; (iii) the reduced hay harvest yielded a positive response in grassland bird populations 3 y after the outbreak."
165,26,289,EmilyD,not vetted,17,effects of ecotourism on forest loss in the himalayan biodiversity hotspot based on counterfactual analyses,BRANDT JODI S;RADELOFF VOLKER;ALLENDORF TERI;BUTSIC VAN;ROOPSIND ANAND,2019,"ecotourism is developing rapidly in biodiversity hotspots worldwide, but there is limited and mixed empirical evidence that ecotourism achieves positive biodiversity outcomes. we assessed whether ecotourism influenced forest loss rates and trajectories from 2000 to 2017 in himalayan temperate forests. we compared forest loss in 15 ecotourism hubs with nonecotourism areas in 4 himalayan countries. we used matching statistics to control for local-level determinants of forest loss, for example, population density, market access, and topography. none of the ecotourism hubs was free of forest loss, and we found limited evidence that forest-loss trajectories in ecotourism hubs were different from those in nonecotourism areas. in nepal and bhutan, differences in forest loss rates between ecotourism hubs and matched nonecotourism areas did not differ significantly, and the magnitude of the estimated effect was small. in india, where overall forest loss rates were the lowest of any country in our analysis, forest loss rates were higher in ecotourism hubs than in matched nonecotourism areas. in contrast, in china, where overall forest loss rates were highest, forest loss rates were lower in ecotourism hubs than where there was no ecotourism. our results suggest that the success of ecotourism as a forest conservation strategy, as it is currently practiced in the himalaya, is context dependent. in a region with high deforestation pressures, ecotourism may be a relatively environmentally friendly form of economic development relative to other development strategies. however, ecotourism may stimulate forest loss in regions where deforestation rates are low. efectos del ecoturismo sobre la perdida de bosques en el punto caliente de biodiversidad en el himalaya con base en analisis contrafactuales el ecoturismo esta desarrollandose rapidamente en los puntos calientes de biodiversidad en todo el mundo, pero existe evidencia empirica mixta y limitada de los resultados positivos que se logran con el ecoturismo. valoramos si el ecoturismo influyo sobre las tasas de perdida forestal y sus trayectorias entre el 2000 y el 2017 en los bosques templados del himalaya. comparamos la perdida forestal en quince focos ecoturisticos con la perdida forestal en las areas sin ecoturismo de cuatro paises del himalaya. utilizamos estadistica correspondiente para controlar las determinantes a nivel local de la perdida del bosque, por ejemplo, la densidad poblacional, el acceso al mercado y la topografia. ninguno de los focos ecoturisticos estaba libre de perdida forestal, ademas de que encontramos evidencia limitada de que las trayectorias de la perdida forestal en los focos ecoturisticos eran diferentes a las trayectorias en las areas sin ecoturismo. en nepal y en butan, las diferencias en la perdida forestal entre los focos ecoturisticos y las areas sin ecoturismo correspondidas no difirieron significativamente y la magnitud del efecto estimado fue menor. en la india, donde las tasas generales de perdida forestal fueron las mas bajas de cualquier pais en nuestro analisis, las tasas de perdida forestal fueron mas altas en los focos ecoturisticos que en las areas sin ecoturismo correspondidas. como contraste, en china, donde las tasas generales de perdida forestal fueron mas altas, las tasas de perdida forestal fueron mas bajas en los focos ecoturisticos que en donde no existe el ecoturismo. nuestros resultados sugieren que el exito del ecoturismo como estrategia de conservacion del bosque, a como se practica actualmente en el himalaya, depende del contexto. en una region con presiones altas de deforestacion, el ecoturismo puede ser una forma de desarrollo economico relativamente amigable con el ambiente comparado con otras estrategias de desarrollo. sin embargo, el ecoturismo puede estimular la perdida forestal en regiones en las que las tasas de deforestacion son bajas. resumen ?? ????, ????????????????????, ??????????????????????????????????????????? 2000-2017 ???????????????????????????????????????????????????????????????????????? ?????????????????????, ?????, ??????????????????????????????, ????????, ????????????????????????????, ????????????????????????????, ????????????????????, ????????????, ?????????????????????????????, ????????????, ??????????????????????????????, ??????????????, ???????????????????????????????????????, ???????????????????????????, ???????????, ?????????????????: ???; ??: ???? article impact statement: whether ecotourism protects forests is context dependent, and an important factor is the deforestation pressure overall on the landscape."
166,27,298,EmilyD,not vetted,1676,long-term effects of a phragmites australis invasion on birds in a lake erie coastal marsh,ROBICHAUD COURTNEY D;ROONEY REBECCA C,2017,"on the north shore of lake,erie, long point provides habitat to many thousands of breeding and migrating birds, including marsh-nesting species that are in decline across the great lakes. invasive phragmites australis threatens the ecological integrity of these marshes. early concerns prompted a study into the effects of invasion on bird use in 2001-2002 that concluded p. australis was not a major bird conservation issue. we evaluate breeding season bird occupancy in these wetlands after over a decade of p. australis expansion, comparing bird diversity and abundance in p. australis with diversity and abundance in the vegetation communities that p. australis is displacing: cattail, meadow, and open-water marsh. we also examine community composition and functional traits to better capture the effects of p. australis invasion. in 2015, total bird abundance was lower in p. australis than cattail marsh (anova p < 0.001), with little difference in bird species richness among vegetation types (anova p = 0.272). bird community composition was distinct among the vegetation types (mrpp p < 0.001), such that p. australis supported a subset of bird species found within cattail and meadow marsh habitat, rather than novel species. phragmites australis habitat excludes many marsh-nesting species and provides habitat for shrub-nesting, ground and foliage gleaners instead. marsh-nesters of conservation concern are restricted to remaining cattail, meadow marsh, and open-water habitat. the full effects of p. australis invasion may exhibit a lag time, and community composition and functional traits should be considered when evaluating the effects of biological invasions. (c) 2017 international association for great lakes research. published by elsevier b.v. all rights reserved."
167,28,320,EmilyD,not vetted,4860,Invasive plants in the united states national parks,STOHLGREN THOMAS J;LOOPE LLOYD L;MAKARICK LORI J,2013,"Natural area parks managed by the united states national park service were established to protect native species and historical (but living) landscapes and scenery, and to provide public enjoyment of the same, as long as the natural area remained ""unimpaired for future generations."" A growing human population, and a 40-fold increase global trade and transportation may provide the most significant challenge to park service management: the invasion of alien plants, animals, and diseases into so called 'protected areas'. General ecological theory suggests that an increase in biological diversity should increase the overall stability of an ecosystem. We provide examples of plant invasions in u.s. National parks to show that, despite increases in plant diversity, alien plant species are capable of greatly affecting the native species that the parks were established to protect. Furthermore, alien plant species are affecting natural patterns of grazing, disturbance, and nutrient cycling, resulting in decreased habitat quality, perhaps providing less resistance and resilience to natural and anthropogenic stresses such as climate change, land use change, recreation, and future invasions. The primary mission of the national park service, protecting native species and ecosystems for present and future generations, may be increasingly difficult due to the continuing invasions of alien organisms. Key elements of an effective invasive plant management programme are identified."
168,29,321,EmilyD,not vetted,4965,Effects of an offshore wind farm on temporal and spatial patterns in the demersal fish community,BERGSTROM LENA;SUNDQVIST FRIDA;BERGSTROM ULF,2013,"The rapid increase in offshore wind energy worldwide has raised concern about its potential risks to marine biodiversity due to habitat alteration, disturbance from noise and electromagnetic fields. This study presents results of surveillance studies performed at the lillgrund wind farm in sweden to investigate the integrated effects of these factors on the abundance and distribution patterns of benthic fish communities. The studies revealed no large-scale effects on fish diversity and abundance after establishment of the wind farm when compared to the development in 2 reference areas. Changes in some species and in community composition were observed over time but occurred in parallel in at least one reference area, indicating that fish communities in the wind farm area were mainly driven by the same environmental factors as those in surrounding areas. However, changes at smaller spatial scales were evident. Increased densities of all studied piscivores (cod, eel, shorthorn sculpin), as well as the reef-associated goldsinny wrasse, were observed close to the foundations in the first years of operation. The increase was probably attributed mainly to local changes in distribution rather than to immigration or increased local productivity. Simultaneously, weak or no aggregation of black goby, eelpout and shore crab, all potentially reef-associated but also prey species of the studied piscivores, was observed, which may indicate enhanced top-down control near the foundations."
169,30,326,EmilyD,not vetted,882,Global distribution and status of introduced siberian chipmunks eutamias sibiricus,MORI EMILIANO;ZOZZOLI RUDY;MENCHETTI MATTIA,2018,"Among invasive alien species, squirrels are prominent because of their popularity as pets and their positive perception by the general public. In europe, populations of five alien squirrel species are reported. The pet trade represents a high-risk pathway for the introduction of rodents, which are likely to become invasive because of their reproductive biology and wide native distribution ranges. In the european union, a trade ban has been imposed on some particularly impacting species, such as the eastern grey squirrel sciurus carolinensis. Eradication and numerical control is needed for most introduced squirrels in europe (including the siberian chipmunk), according to european union regulation 1143/2014 on alien species. We summarise the current distribution of the ground-dwelling siberian chipmunk eutamias sibiricus, one of the most common pet squirrels in europe and asia, in its invasive range. Established populations of siberian chipmunk, in most cases composed of small numbers of individuals, currently occur in france, switzerland, italy, germany, belgium, the netherlands, denmark, and russia. The species was present in austria, sweden, and hong kong, and unsuccessful introductions occurred in spain and the british isles. The first records from greece are also reported. Most introductions took place during the 1990s, when individuals were intentionally released (67% of extant populations result from such releases). Population size was correlated with the proximity to urban areas. Human risk of infection with the agent of lyme borreliosis seems to be the highest where populations of alien siberian chipmunk occur. Other impacts have never been reported. Competition with native rodents (e.g. The red squirrel sciurus vulgaris and dormice, gliridae) has been speculated on, as well as predation on nests of native warblers (sylvidae). Impacts by alien siberian chipmunks have been overlooked for a long time. Despite this, given that the species may affect native biodiversity and human health, eradication of established populations is recommended."
170,31,351,EmilyD,not vetted,5844,"Market access, population density, and socioeconomic development explain diversity and functional group biomass of coral reef fish assemblages",BREWER TOM D;CINNER JOSHUA E;FISHER REBECCA;GREEN ALISON;WILSON SHAUN K,2012,"There is overwhelming evidence that many local-scale human activities (e.g. Fishing) have a deleterious effect on coral reef fish assemblages. Our understanding of how broad social phenomena (e.g. Socioeconomic development) affect the diversity and function of coral reef fish assemblages however, is still poor. Here, we use structural equation models to reveal how human population density, socioeconomic development, and market access affect fishing pressure and coral cover to, in turn, explain the diversity and biomass of key functional groups of reef fish assemblages within solomon islands. Fishing pressure is predominantly driven by both market access and local population density, and has a clear negative effect on the diversity and function of coral reef fishes. The strong positive effect of market access on fishing pressure makes clear the importance of understanding social-ecological linkages in the context of increasingly connected societies. This study highlights the need to address broad social phenomena rather than focusing on proximate threats such as fishing pressure, to ensure the continued flow of coral reef goods and services in this time of rapid global social and environmental change. (C) 2012 elsevier ltd. All rights reserved."
171,32,353,EmilyD,not vetted,12,Socioeconomic and biophysical determinants of wire-snare poaching incidence and behaviour in the boland region of south africa,NIEMAN WILLEM A;LESLIE ALISON J;WILKINSON ANITA;WOSSLER THERESA C,2019,"Bushmeat harvesting, fuelled by wire-snare poaching, is recognized as a severe threat to biodiversity throughout east and central africa, and has been directly linked to severe reductions or extirpations of target species, high rates of non-target off-take of threatened species, and the loss of functional ecosystem processes. Studies dedicated to assessing the extent and underlying dynamics of wire-snare poaching in south africa are lacking, and no formal research has been conducted in the boland region, despite growing evidence of wire-snare incidence. Through structured interviews with farm owners, managers and labourers on private agricultural properties bordering protected areas (pas), this study quantified the influence of several socioeconomic and biophysical determinants on the incidence of wire-snare poaching across the study area. Wire-snare poaching incidence and behaviour was strongly influenced by economic factors relating to poverty, a perceived lack of governing regulations and punitive measures, interpersonal development, and abiotic factors such as proximity to major residential areas, roadways and pas. Respondents reported that small antelope and porcupine were most affected by wire-snare poaching. Several activity hotspots across the region were identified. This study provided the first demonstration of the multifaceted and complex nature of wire-snare poaching in the boland region. In doing so, a dialogue was opened between rural communities and conservation agencies to broaden our understanding of the heterogeneity in local-scale socioecological dynamics, to apply policies for effective management and eradication, and to provide grounds for future research in the area and elsewhere."
172,33,375,EmilyD,not vetted,1136,Aquaculture ponds as important high-tide habitats for waterbirds along the west coast of taiwan,BAI MEI-LING;CHIH WEN-CHIEH;LAI YI-CHIEN;LEE PEI-FEN;LIEN YU-YI,2018,"The populations of many waterbird species along the east asianaustralasian flyway (eaaf) are declining, mainly due to the loss of natural wetland. Meanwhile, artificial wetlands, such as aquaculture ponds, saltpans and rice paddies, have increased in area. Artificial wetlands typically host fewer species and fewer individuals of waterbirds compared to natural ones, thus the conservation importance of artificial wetlands in general appears secondary. However, over large areas of densely populated east and southeast asia, few coastal lands above the high tide line remain natural. Waterbirds may utilize the natural intertidal zone at low tide, but are forced to feed or roost in artificial environments when tidal flats are submerged. In such landscapes, coastal artificial wetlands are not only supplementary or alternative to natural ones, but provide crucial habitats for waterbirds at high tide. To investigate the use of artificial wetlands by waterbirds in such a landscape, we studied supratidal waterbird communities in changhua, taiwan, an important stop over and wintering site on the east asian-australasian flyway. We found very high species richness and abundance of waterbirds in the area compared to other studies conducted in artificial wetlands. This might have been partly due to the fact that we censused waterbirds at high tide, when artificial wetlands were the only habitat available. Waterbird abundance and species richness were higher at sites with intensive clam aquaculture and less fragmentation, reflecting the preference of shorebirds. Despite the fact that past transformation of natural coastal wetlands into artificial ones has had negative impacts on waterbirds, these artificial wetlands nowadays may provide exclusive supratidal habitats for waterbirds in many regions. Suitable artificial supratidal habitats for waterbirds need to be managed along with natural tidal flats as part of the same system."
173,34,377,EmilyD,not vetted,1222,"Population connectivity of an overexploited coastal fish, argyrosomus coronus (sciaenidae), in an ocean-warming hotspot",HENRIQUES R;POTTS W M;SANTOS C V;SAUER W H H;SHAW P W,2018,"The west coast dusky kob argyrosomus coronus is a commercially exploited fish with a distribution confined to the angola-benguela frontal zone (abfz) of the southeastern atlantic ocean. A previous study revealed that during a recent period of local warming the species extended its distribution into namibian waters, where it hybridised with the resident and congeneric argyrosomus inodorus. Environmental changes are a major threat to marine biodiversity and when combined with overfishing have the potential to accelerate the decline of species. However, little is known regarding the evolutionary history and population structure of a. Coronus across the abfz. We investigated genetic diversity, population structure and historical demographic changes using mtdna control region sequences and genotypes at six nuclear microsatellite loci, from 180 individuals. A single, genetically homogeneous population was indicated across the distributional range of a. Coronus (phi(st) = 0.041, f-st = 0.000, d = 0.000; p > 0.05). These findings imply that the oceanographic features within the abfz do not appear to significantly influence population connectivity in a. Coronus, which simplifies management of the species. However, reconstruction of the demographic history points to a close link between the evolutionary history of a. Coronus and the environmental characteristics of the abfz. This outcome suggests the species' vulnerability to the rapid environmental changes being observed across this region, and highlights a pressing need for transboundary management to mitigate the impacts of climate change in this global hotspot of seawater temperature changes."
174,35,431,EmilyD,not vetted,3238,Quantifying the projected impact of the south african sardine fishery on the robben island penguin colony,ROBINSON WILLIAM M L;BUTTERWORTH DOUGLAS S;PLAGANYI EVA E,2015,"Quantitative methods are needed to evaluate the ecological effects of fishing forage species upon which predators depend. African penguin spheniscus demersus numbers at the robben island colony rose during the 1990s co-incidental with a marked increase in sardine sardinops sagax and anchovy engraulis encrasicolus abundances, but decreased appreciably during the 2000s as sardine suffered a series of poor recruitments. A population dynamics model is developed which relates penguin adult annual mortality to local sardine biomass, and is fit to penguin moult counts and re-sightings of tagged penguins. The predator-prey interaction is best explained by a sardine-penguin mortality relationship with average penguin survival decreasing only when the local sardine biomass is less than approximately one-quarter of the maximum observed. Results suggest that the rapid growth of the colony during the 1990s was driven primarily by immigration. Penguin projections are generated by linking to future sardine abundances predicted under the operational management procedure used to set catch limits for these sardine and anchovy fisheries, and compared with equivalent scenarios without fishing. Results indicate that fishing is likely to have a relatively small impact on penguins, especially when compared with uncertainties that arise from the variable spatial distribution of the sardine population."
175,36,451,EmilyD,not vetted,4243,Lessons from long-term predator control: a case study with the red fox,KIRKWOOD ROGER;SUTHERLAND DUNCAN R;MURPHY STUART;DANN PETER,2014,"Context. Predator-control aims to reduce an impact on prey species, but efficacy of long-term control is rarely assessed and the reductions achieved are rarely quantified. Aims. We evaluated the changing efficacy of a 58-year-long campaign against red foxes (vulpes vulpes) on phillip island, a 100-km(2) inhabited island connected to the australian mainland via a bridge. The campaign aimed to eliminate the impact of foxes on ground-nesting birds, particularly little penguins (eudyptula minor). Methods. We monitored the success rate of each fox-control technique employed, the level of effort invested if available, demographics of killed foxes, the numbers of penguins killed by foxes and penguin population size. Key results. The campaign began as a bounty system that ran for 30 years and was ineffective. It transitioned into a coordinated, although localised, control program from 1980 to 2005 that invested considerable effort, but relied on subjective assessments of success. Early during the control period, baiting was abandoned for less effective methods that were thought to pose fewer risks, were more enjoyable and produced carcasses, a tangible result. Control was aided by a high level of public awareness, by restricted fox immigration, and by a clear, achievable and measurable target, namely, to prevent little penguin predation by foxes. Carcasses did prove valuable for research, revealing the genetic structure and shifts in fox demographics. The failure of the program was evident after scientific evaluation of fox population size and ongoing fox impacts. In 2006, the campaign evolved into an eradication attempt, adopting regular island-wide baiting, and since then, has achieved effective knock-down of foxes and negligible predation on penguins. Conclusions. Effective predator control was achieved only after employing a dedicated team and implementing broad-scale baiting. Abandoning widespread baiting potentially delayed effective control for 25 years. Furthermore, both predator and prey populations should be monitored concurrently because the relationship between predator abundance and impact on prey species is not necessarily density dependent. Implications. Critical to adopting the best management strategy is evaluating the efficacy of different methods independently of personal and public biases and having personnel dedicated solely to the task."
176,37,484,EmilyD,not vetted,6004,"Invasive mollusc, crustacean, fish and reptile species along the hungarian stretch of the river danube and some connected waters",BODIS E;BORZA P;POTYO I;PUKY M;WEIPERTH A;GUTI G,2012,"The river danube, connected to the rhine catchment via the rhine-main-danube canal, is part of a significant aquatic invasion corridor in europe between the north sea and the black sea. Among its aquatic fauna molluscs, crustaceans and fishes represent the most prominent groups of invaders in terms of species number and biomass. The listed reptile species is in the list of the 100 worst invasive species in the world. This paper reviews available information about the arrival time, way of introduction, distribution area, dominance in communities, ecosystem functions, and impact on the native fauna along the hungarian stretch of the danube of 43 non-indigenous species having arrived from several continents as africa, asia, europe, north america, or new zealand. Transport vectors that contribute to the introduction and the rapid spread of alien species are river shipping, deliberate crayfish and fish stocking, pet trade, release from aquaria, and food consumption. The invasions of the studied species have a potential to alter the structure and the function of danubian ecosystems and create new biodiversity and economic problems. Due to the international importance of the river danube, efforts should be made to prevent new invasions and manage the existing invaders along the whole river."
177,38,506,EmilyD,not vetted,259,Delayed flood recession in central yangtze floodplains can cause significant food shortages for wintering geese: results of inundation experiment,GUAN LEI;WEN LI;FENG DUODUO;ZHANG HONG;LEI GUANGCHUN,2014,"Carex meadows are critical habitat for wintering geese in the floodplains of the middle and lower reaches of yangtze river, china. These meadows follow a growth cycle closely tied to the seasonal hydrological fluctuation: as water levels recede in the fall, exposed mudflats provide habitat for carex spp. Growth. The seasonal growth of carex overlaps the arrival of wintering geese and provides an important food source for the migrants. Recent alterations to the yangtze's hydrology, however, have disrupted the synchronous relationship between water levels, carex growth and wintering geese at dongting lake. In october 2012, we carried out an outdoor mesocosm experiment to investigate potential impacts of delayed water recession on the germination and growth of carex heterolepis, the dominant carex species at dongting lake, to understand how changes in hydrology might impact wintering goose habitat. Results showed that the delayed flood recession exerted significant impact on the first growth cycle of carex growth. Prolonged inundation significantly lowered the intrinsic growth rate (p = 0.03) and maximum growth rates (p = 0.02). It also took significantly longer time to reach the peak growth rate (p = 0.04 and 0.05 for number of shoot and biomass, respectively). As a result, biomass accumulation was reduced by 45, 62 and 90 % for 10-day, 20-day and 30-day inundation treatments, respectively. These results indicate a severe risk of food shortage for wintering geese when water recession delayed. This potential risk should be taken into consideration when operating any hydrological control structures that alter the flood regimes in dongting lake."
