"biodiv_countries","paper_id","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","timestamp","coder_id","year_pub","author","taxa_list","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","taxa"
"BRA",6321,"BRA","Primary","Primary","Tourism","Social science field surveys","Biological field observations","Marine","South America","5/13/2020 0:05","E_Xing",2011,"SARMENTO","Invertebrates;Plants","Sub-national (within-country region)","1","2009","2009","Other","one time","Continuous","compare two kinds of sites","tourism","No","na","subnational","na","3","no such data in Chinese survey","No","Invertebrates;Plants"
"BRA",6331,"BRA","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","South America","3/31/2020 15:41","A_Herzberger",2011,"Vibrans","Plants/trees/shrubs","Global (>100 countries)","1","2007","2008","Unknown/Unclear","1 type period, comparing sites with disturbance","Categorical","","Logging, livestock and control ","No","","Sub-national (within-country region)","","2","species richness, regeneration ","No","Plants"
"USA",6493,"USA","Secondary","Primary","remove","Remote sensing","Biological field observations","Terrestrial","North America","3/20/2020 10:30","MG_Chung",2011,"Suarez-Rubio","Birds","Sub-national ((within-country region)","1","2006","2006","Seasonally","","Categorical","After","comparison between forests (reference) and exurban development sites","No","","Sub-national (within-country region)","","2","a multi-response permutation procedure (MRPP); species abundance","No","Birds"
"USA",6511,"","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","North America","4/21/2020 11:50","C_Hovis",2011,"Gleditsch","Birds","Intercontinental (> 2 continents)","1","2009","2009","Seasonally","","Continuous","After","Invasive species abundance (Honeysuckle)","No","","Sub-national (within-country region)","Bird spp reported as negatively correlated with invasive spp had an r2 0.047 and 0.018 but I believe these spp were negatively correlated with the NMS axis related to the invasive spp presence","6","Bird abundance for six spp","No","Birds"
"BRA",6948,"BRA","Secondary","Primary","Tourism","Aggregate institutional data","Biological field observations","Terrestrial;Marine","South America","4/30/2020 21:43","Y_Zhang",2010,"Hvenegaard","Birds","Unclear/unspecified","67","2004","2004","Daily, Use explicit survey days","","Continuous","Before, After","Number of tourists","No","","Sub-national (within-country region)","","1","[Log of ] Number of shorebirds by species","No","Birds"
"BRA",813,"BRA","Secondary","Primary","Trade;Species Dispersal","Aggregate institutional data","Biological field observations","Marine","South America","5/29/2020 22:49","Y_Li",2018,"Mantelatto","Plants/trees/shrubs","Sub-national (within-country region)","1","2017","2017","Annually","","Continuous","","invasive species via trade","No","","Sub-national (within-country region)","","1","abundance","No","Plants"
"",2222,"","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Terrestrial","Unclear/unknown","3/20/2020 10:47","Y_Li",2016,"Nishijima","Birds","Global (>100 countries)","4","2000","2004","Annually","","Continuous","","wood trade. (ps: ""how do they quantify it"" is confusing here)","Unclear/Uncertain","if it is about trade among all counties, what coupling should it be?","Sub-national (within-country region)","","1","bird extinction risks (a repeat question, as this has been asked in survey #1)","No","Birds"
"BRA",292,"BRA","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","South America","4/1/2020 15:48","A_Herzberger",2019,"NOBRE","","Sub-national ((within-country region)","8","2010","2013","Seasonally","","Categorical","Before, After","introduction of Astyanax bimaculatus to a previous fishless lake after a mine opended","No","","Sub-national (within-country region)","","4","species richness, abundance, community assemblage ","No","Fish"
"ETH",332,"ETH","Secondary","Secondary","Water Transfer","Aggregate institutional data","Biological field observations","Freshwater","Africa","3/19/2020 15:29","A_Herzberger",2019,"Wagaw","Birds, Fish","Sub-national ((within-country region)","4","1980","2016","Unknown/Unclear, They have collected others peoples datasets, and give populations at times when other studies reported it","They have lots of data sets at different times","Continuous","Before, During, After","water extraction for soda ash production, mineral and sand extraction, irrigation, and degradation from livestock","Yes","","Sub-national (within-country region)","","2","fishery collapse, # of waterfowl, ","No","Birds; Fish"
"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR",2546,"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR","Secondary","Secondary","Knowledge Transfer","Aggregate institutional data","Aggregate institutional data","Terrestrial","Europe","4/1/2020 15:23","A_Herzberger",2015,"Sanderson","Birds","International (within a continent; e.g., European Union)","2","1980","2012","short term 2001-2012; long-term 1980-2012","","Categorical","During","bird is classified in annex I or not by EU conservation directive","No","","International (within a continent; e.g., European Union)","","5","habitat association; migration strategy; reproduction; population short-term trend, population long-term trend","No","Birds"
"USA",4087,"USA","Primary","Primary","Knowledge Transfer","Field observations","Biological field observations","Terrestrial;Freshwater","North America","3/18/2020 15:23","A_Herzberger",2012,"Randall","Birds","Sub-national ((within-country region)","13","1995","2007","Annually","","Categorical","Before, After","state conservation program","No","","Sub-national (within-country region)","","1","bird density","No","Birds"
"ESP",5486,"ESP","Secondary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","3/19/2020 10:43","A_Herzberger",2018,"Urra","Invertebrates","Sub-national ((within-country region)","4","2004","2005","Seasonally","","Categorical","Before, During, After","harvest of mollusks during tourist season ","No","","Sub-national (within-country region)","","1","abundance","No","Invertebrates"
"BRA",5875,"BRA","Primary","Primary","Trade","Field observations","Biological field observations","Marine","South America;Africa","3/26/2020 16:18","A_Herzberger",2012,"Fiedler","Reptiles","Global (>100 countries)","5","2002","2008","Annually","","Categorical","During","Driftnet fisheries by catch sea turtle ","No","","Intercontinental (> 2 continents)","","2","capture rate, capture composition ","No","Reptiles"
"BRA",5905,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","3/20/2020 10:27","A_Herzberger",2012,"Sarmento","Invertebrates","Sub-national ((within-country region)","1","2009","2009","5 replicates at 1 time","","Categorical","Before, During, After","trampling of reef habitat by tourists","No","","Sub-national (within-country region)","","4","reef temperature; reef height; reef weight; species richness; diversity;  community assemblage","No","Invertebrates"
"IDN",5477,"IDN","Secondary","Primary;Secondary","Trade","Other","Social science field observations;Remote sensing;Aggregate institutional data","Marine","Asia;Europe;Oceania","4/10/2020 16:05","A_Herzberger",2018,"Symes","Birds","Intercontinental (> 2 continents)","2","2000","2015","Annually","","Categorical","During","exploitation and habitat loss (driven by wildlife trade, agriculture)","Yes","they discuss the different sources of exploitation and habitat loss","Intercontinental (> 2 continents)","","1","habitat loss","No","Birds"
"CAN",357,"CAN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","North America","3/18/2020 20:15","A_Torres",2019,"Lomas","Reptiles","Sub-national ((within-country region)","6","2006","2012","every 2-3 days during the active season (April-October)","","Categorical","After","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","No","","Sub-national (within-country region)","I included the paper because the authors say that the explanatory variable (habitat disturbance) is primarily linked with tourism (golf course, campground, hiking trails, roads, parking lots, vineyards, condominium complex), but such link is not thoroughly discussed nor quantified.","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","No","Reptiles"
"CHN",2670,"CHN","Primary","Primary","Tourism","Field observations","Biological field observations","Freshwater","Asia","4/16/2020 18:24","A_Torres",2016,"Cao","Invertebrates","Unclear/unspecified","1","2013","2013","Seasonally","","Continuous","During","Tourism stress","No","","Sub-national (within-country region)","","2","Taxa richness; Ephemeroptera, Plecoptera, and Trichoptera (EPT) richness","No","Invertebrates"
"IND",6254,"IND","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Asia","4/29/2020 16:32","A_Torres",2011,"Seshadri","Mammals, Reptiles, Amphibians, Invertebrates","Sub-national (within-country region)","2","2008","2009","Annually","","Continuous","Before, During","Increased traffic due to religious tourism","No","","Sub-national (within-country region)","","8","mortality-diurnal-habitat1;mortality-diurnal-habitat2;mortality-diurnal-habitat3;mortality-diurnal-habitat4;mortality-nocturnal-habitat1;mortality-nocturnal-habitat2;mortality-nocturnal-habitat3;mortality-nocturnal-habitat4","No","Mammals; Reptiles; Amphibians; Invertebrates"
"EST",3335,"EST;RUS;ROW","Secondary","Primary;Secondary","remove;remove","Other","Biological field observations;Aggregate institutional data","Freshwater","Europe","4/27/2020 12:29","C_Hovis",2015,"Ginter","Fish","Intercontinental (> 2 continents)","22","1990","2012","Annually","","Categorical","Before, During, After","","No","","Intercontinental (> 2 continents)","Intercontinental might not be the correct classification since this is a transboundary and could be considered a telecoupling, look at co-occurence of size-selective harvest and climate change since two cannot be de-coupled","2","size and co-hort abund","No","Fish"
"ESP",4850,"ESP","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","Europe","4/27/2020 16:08","C_Hovis",2013,"Arizaga","Birds","Unclear/unspecified","1","2011","2011","Seasonally","","Categorical","Before, After","invasive spp","No","","Sub-national (within-country region)","","1","diversity indes","No","Birds"
"ESP",3484,"ESP;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Europe","4/27/2020 17:45","C_Hovis",2015,"Reyes-Martinez","Invertebrates","Sub-national (within-country region)","15","2011","2011","Hourly","","Continuous","Before, After","# tourists/visitors","No","","Sub-national (within-country region)","","4","assemblage density; richness; diversity; comm comp","No","Invertebrates"
"BHS",4063,"BHS;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","North America","4/29/2020 17:30","C_Hovis",2014,"Sealey","Plants/trees/shrubs","Global (>100 countries)","1","2002","2012","Annually","","Continuous","Before, During, After","Human impact rank related to tourism","No","","Sub-national (within-country region)","","4","number of spp, margalef index, shannon, assemblage","No","Plants"
"THA",2998,"THA","Primary","Primary","Energy Transfer","Field observations","Biological field observations","Freshwater","Asia","4/5/2020 7:52","E_Dean",2015,"Phomikong","Fish","Sub-national (within-country region)","18","2009","2010","18 sampling trips between Aug 2009 - June 2010","","Categorical","Before, During, After","Used the environmental effect of dams as a proxy for the effects of hydropower on fish communities?","No","","Sub-national (within-country region)","","4","Cumulative species richness; average species richness; Shannon-Wiener diversity index; abundance-biomass","No","Fish"
"AUS",3868,"AUS","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Oceania","4/5/2020 16:30","E_Dean",2014,"de Bie","Plants/trees/shrubs","Sub-national (within-country region)","2","2001","2011","Annually","","Categorical","During","No ""flow"" identified","No","","Sub-national (within-country region)","","1","Exotic species richness","No","Plants"
"USA;CAN",6502,"CAN;USA","Secondary","Secondary","Trade","Aggregate institutional data","Biological field observations","Terrestrial","North America","4/5/2020 17:20","E_Dean",2011,"Nocera","Birds","International (within a continent; e.g., European Union)","3",NA,NA,"Unknown/Unclear","The study used datasets over 40 year period, but I do not know the temporal resolution of that data.","Continuous","After","Import and export of beef; amount of hay harvested","Yes","","International (within a continent; e.g., European Union)","","21","Relative abundance of bird species","No","Birds"
"CYP",2704,"CYP","Secondary","Primary","remove","Remote sensing","Biological field observations","Terrestrial","Oceania","3/19/2020 10:05","E_Dean",2016,"Mammides","Birds","Sub-national ((within-country region)","1","2012","2012","Seasonally","","Continuous","During","Total length of roads, distance to nearest agricultural field, human population size","No","","Sub-national (within-country region)","Regression models - counts?","5","Total species richness; richness of passage migrants; richness of resident breeders; richness of species with increasing global population trends; richness of species with stable global population trends; richness of species with decreasing global population trends","Yes","Birds"
"ECU",339,"ECU","Primary","Primary","Trade","Social science field surveys","Biological field observations","Terrestrial","South America","4/14/2020 12:03","E_Dean",2013,"Oldekop","Amphibians, Plants/trees/shrubs","Sub-national (within-country region)","1",NA,NA,"Unknown/Unclear","Study did not outline how often data was collected","Categorical","During","Trade was quantified as market access, categorizing areas into ""remote"" (less market access) and ""non-remote"" (more market access). Presence/absence of community rules/sanctions regulating land use (governing of trade) could not be quantified and related to biodiversity.","No","","Sub-national (within-country region)","","2","Fern species richness; leaf litter frog species richness","No","Amphibians; Plants"
"CAN",3772,"CAN","Secondary","Primary","Energy Transfer","Other","Biological field observations","Freshwater","North America","4/28/2020 11:20","K_Kapsar",2014,"McDermid","Fish","Sub-national (within-country region)","4","1940","2010","Decadally","","Categorical","Before, During","Dam","No","","Sub-national (within-country region)","","7","Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size","No","Fish"
"PRT",3989,"PRT","Secondary","Primary","Tourism","Other","Biological field observations","Marine","Europe","4/28/2020 13:20","K_Kapsar",2014,"Bessa","Invertebrates","Unclear/unspecified","2","1999","2011","Monthly, Seasonally","","Categorical","During","Tourists","No","","Sub-national (within-country region)","","6","density (3 spp); richness; Shannon-Weiner index; community structure","No","Invertebrates"
"CHN",4552,"CHN","Primary","Primary","Tourism","Social science field surveys","Biological field observations","Terrestrial","Asia","4/29/2020 13:55","K_Kapsar",2013,"Zhou","Mammals","Unclear/unspecified","1","2007","2007","Seasonally","","Ordinal","During","","No","","Sub-national (within-country region)","","1","fieldsign abundance","No","Mammals"
"SVK;POL",897,"POL","Secondary","Primary","Tourism","Other","Biological field observations;Aggregate institutional data","Terrestrial","Europe","3/19/2020 23:41","M_Lei",2018,"Czortek","Invertebrates, Plants/trees/shrubs","Sub-national ((within-country region)","144","1872","2016","Unknown/Unclear","Three data periods: 1872–1969; 1960–2016;  Augest 2016","Continuous","During","1600 climbers(statistics)","No","","Sub-national (within-country region)","","2","species richness; diversity","No","Invertebrates; Plants"
"BRA",379,"BRA","Primary;Secondary","Primary;Secondary","Species Dispersal","Other","Biological field observations;Aggregate institutional data","Marine","South America","4/28/2020 16:37","M_Lei",2019,"Moraes","Invertebrates","Sub-national (within-country region)","6","2008","2016","Annually","","Continuous","During","Bioeroding sponge richness and abundance","No","","Sub-national (within-country region)","","2","Bioeroding sponge richness and abundance","No","Invertebrates"
"BRA",45,"","Secondary","Secondary","Trade","Other","Aggregate institutional data","Terrestrial","South America","3/15/2020 22:29","MG_Chung",2019,"Green","Birds, Mammals, Amphibians, Plants/trees/shrubs","Global (>100 countries)","2","2000","2010","Annually","","Continuous","Before, During","Soybean trade","No","","Sub-national (within-country region)","","1","species-by-species losses of suitable habitat","No","Birds; Mammals; Amphibians; Plants"
"ESP",654,"ESP","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","3/16/2020 12:54","MG_Chung",2018,"Antonio Donazar","Birds","Sub-national ((within-country region)","1","2014","2014","Daily","","Continuous","During","the number of vehicles in protected areas as most of visitors access the park by motor vehicle","No","","Sub-national (within-country region)","","1","the number of scavenger species recorded daily","No","Birds"
"BRA;PRY;ARG;BOL;URY",5966,"BRA;PRY;ARG;BOL;URY","Secondary","Secondary","Water Transfer","Aggregate institutional data","Aggregate institutional data","Freshwater","South America","3/19/2020 15:21","MG_Chung",2012,"Vitule","Fish","International (within a continent; e.g., European Union)","2",NA,NA,"Annually","","Categorical","Before, After","changes in biotic homogenization of fish fauna/assemblages caused by the elimination of a natural barrier due to dam construction, aquaculture, and aquarium trade","No","","International (within a continent; e.g., European Union)","","2","Jaccard's coefficient; Whittaker's beta biodiversity index","No","Fish"
"BLR;UKR",6396,"BLR;UKR","Primary","Primary","Waste Transfer","Field observations","Biological field observations","Freshwater","Europe","3/19/2020 16:37","MG_Chung",2011,"Murphy","Invertebrates","International (within a continent; e.g., European Union)","1","2003","2004","Annually","","Continuous","After","radiation exposure (137Cs activity concentration) after Chernobyl accident","No","","Sub-national (within-country region)","","4","abundance of individuals; taxon richness; Berger-Parker dominance; Shannon-Wiener diversity","No","Invertebrates"
"DEU",2606,"DEU","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","3/19/2020 21:51","X_Wu",2016,"Seer","Plants/trees/shrubs","Sub-national ((within-country region)","3","2011","2013","Annually","","Categorical","After","","No","","Sub-national (within-country region)","","3","Species richness; species coverage; plant community classes","No","Plants"
"PYF",6845,"PYF","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Oceania","3/19/2020 22:27","X_Wu",2010,"Juhasz","Invertebrates","Sub-national ((within-country region)","1",NA,NA,"Daily","","Categorical","After","","No","","Sub-national (within-country region)","","1","Species abundence","No","Invertebrates"
"SWE",992,"SWE","Secondary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","Europe","4/5/2020 16:01","X_Wu",2018,"Johnson","Invertebrates","Unclear/unspecified","1",NA,NA,"Monthly","","Continuous","During","","No","","Sub-national (within-country region)","","1","Species composition","No","Invertebrates"
"USA",2345,"USA","Primary","Primary","Trade;Energy Transfer","Remote sensing","Biological field observations","Terrestrial","North America","4/5/2020 16:36","X_Wu",2016,"Farwell","Birds","Unclear/unspecified","8","2008","2015","Daily","","Continuous","During","","No","","Sub-national (within-country region)","This paper is about shale gas, so I chose trade and enegy transfer as external process.","1","Species richness","No","Birds"
"TZA",5853,"TZA","Primary","Primary","Trade","Social science field surveys","Biological field observations","Terrestrial","Africa","4/5/2020 17:29","X_Wu",2012,"Flecks","Reptiles","Intercontinental (> 2 continents)","1","2009","2009","Annually","","Categorical","During","","No","","Sub-national (within-country region)","","1","Population","No","Reptiles"
"DEU;NLD;BEL;HUN;AUT;SVK;LUX;FRA",4393,"DEU;NLD;BEL;HUN;AUT;SVK;LUX;FRA","Secondary","Secondary","Trade;Species Dispersal","Aggregate institutional data","Aggregate institutional data","Freshwater","Europe","4/6/2020 11:09","X_Wu",2013,"Hanafiah","Fish","International (within a continent; e.g., European Union)","1","1992","2009","Unknown/Unclear","The data is secondary data.","Categorical","During","","No","","International (within a continent; e.g., European Union)","","1","Species richness","No","Fish"
"ATA",5309,"ATA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Antarctica","4/6/2020 11:53","X_Wu",2019,"Dunn","Birds","Intercontinental (> 2 continents)","21","1996","2017","Annually","","Continuous","During","","No","","International (within a continent; e.g., European Union)","","1","Population","No","Birds"
"BOL",6820,"BOL","Primary","Primary","Tourism","Remote sensing","Biological field observations","Terrestrial","North America","4/6/2020 16:45","X_Wu",2010,"Young","Birds","Unclear/unspecified","2","2006","2007","Daily","","Categorical","During","","No","","Sub-national (within-country region)","","1","Population","No","Birds"
"",92,"CHN","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","Asia","3/20/2020 7:24","Y_Dou",2019,"Wang","Amphibians","Sub-national ((within-country region)","15","2014","2018","Monthly","","Categorical","During","categorical disturbances","No","","Sub-national (within-country region)","","2","species richness; species abundance","No","Amphibians"
"AUS",84,"AUS;ROW","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","Oceania","4/29/2020 13:19","C_Hovis",2019,"Lindenmayer","Birds","Global (>100 countries)","1","2004","2014","Annually","","Categorical","After","Logging ","No","","Sub-national (within-country region)","LOTS OF METRICS, TOO MANY?, AM I DOING THIS WRONG? reports apparent occupancy, does not consider detectability","162","functional trait and logging, spp richness (2 logging times), apparent occupancy by spp (2 logging times), apparent occupancy by spp with fire (2 logging times)","Yes","Birds"
"",227,"","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Not specified/Global study","North America;South America;Asia;Europe;Africa;Oceania","4/16/2020 11:45","Y_Zhang",2019,"Marquardt","Not specified/global study","Global (>100 countries)","2","2009","2016","Unknown/Unclear","Found in supplementary material, the data are secondary (from other studies) - one in 2009, one in 2016, temporal resolutions are unclear","Not specified, use household expenditure and population density as variables","After","Not specified, inferred only","No","","Global (>100 countries)","","4","mean species abundance, relative abundance, relative within-sample species richness, vulnearbility-weighted global relative species","No","Other"
"BRA",425,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial;Marine","South America","4/28/2020 22:26","Y_Zhang",2019,"Costa","Invertebrates","Unclear/unspecified","2","2017","2018","Unknown/Unclear","Several field days","Continuous","Before, After","Urbanization index and percentage of fine sediment","No","","Sub-national (within-country region)","","1","Single species abundance","No","Invertebrates"
"SWE",466,"SWE","Secondary","Primary","Water Transfer","Other","Biological field observations","Freshwater","Europe","4/28/2020 22:54","Y_Zhang",2011,"Bejarano","Plants/trees/shrubs","Sub-national (within-country region)","2","2006","2009","Unknown/Unclear","","Categorical","After","Water flow (impact from dams)","No","","Sub-national (within-country region)","","2","Number of trees; number of shrubs","No","Plants"
"CAF",5756,"CAF;ROW","Primary","Primary","Trade;Migration (human)","Other","Biological field observations","Terrestrial","Africa","4/30/2020 12:40","C_Hovis",2012,"Remis","Mammals","Unclear/unspecified","2","1994","2009","Seasonally","","Continuous","Before, After","","No","","Sub-national (within-country region)","Unclear if migrants/demand for meat comes from outside the country/continent","7","groups/km, spp comp","No","Mammals"
"USA",4760,"USA;ROW","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial;Freshwater","North America","4/30/2020 13:01","C_Hovis",2013,"Sada","Invertebrates","Global (>100 countries)","1","2006","2007","Seasonally","","Categorical","Before, After","Music festival activity","No","","Sub-national (within-country region)","study took place in nevada, playas are seasonally flooded and this is crucial for the life history of the organism, wasn't sure if I should tag as freshwater or terrestrial so I put both","2","egg density for two spp","No","Invertebrates"
"FIN",4020,"FIN","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Europe","4/30/2020 14:57","Y_Zhang",2014,"Huhta","Birds","Sub-national (within-country region)","2","2004","2006","Unknown/Unclear","Involving field work days","Categorical","After","Tourists (implied)","No","","Sub-national (within-country region)","","1","Bird abundance","No","Birds"
"AUS",4293,"AUS","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Oceania","4/30/2020 15:37","Y_Zhang",2014,"Ballantyne","Plants/trees/shrubs","Sub-national (within-country region)","2","2003","2013","Unknown/Unclear","Involves field work days","Unclear number of tourists","After","Tourists in hiking trails","No","","Sub-national (within-country region)","","1","Abundance","No","Plants"
"",523,"","Secondary","Secondary","Migration (human)","Aggregate institutional data","Aggregate institutional data","Marine","North America;South America;Asia;Europe;Africa;Antarctica","4/30/2020 16:14","M_Lei",2018,"Kouvari","Mammals","Intercontinental (> 2 continents)","5",NA,NA,"Unknown/Unclear","we divide insular extinctions in five bins, being Late Pleistocene (125–10 ka), Early Holocene (10.0–8.2 ka), Middle Holocene (8.2–4.2 ka), Late Holocene (4.2–0.5 ka), and Modern Era (500 years ago till today) ","Continuous","During","first human arrival","Unclear/Uncertain","It doesn't mention where people come from in this paper","Intercontinental (> 2 continents)","","1","extinct taxa","No","Mammals"
"RUS",5773,"RUS","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Asia","4/30/2020 16:38","K_Kapsar",2012,"Chepinoga","Plants/trees/shrubs","Unclear/unspecified","1","2009","2009","Unknown/Unclear","Single time period","Continuous","During","Tourists","No","","Sub-national (within-country region)","","1","species richness","No","Plants"
"IND",2050,"IND","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","Asia","4/30/2020 16:48","M_Lei",2017,"NAUDIYAL","Plants/trees/shrubs","Sub-national (within-country region)","1",NA,NA," there is no year provided","","Continuous","During","The article divides human behavior into three categories, based on how much plants are harmed","Yes","","Sub-national (within-country region)","","1","Vegetation diversity, shannon diversity index","No","Plants"
"ESP",5782,"ESP","Primary","Primary","Knowledge Transfer","Field observations","Biological field observations","Terrestrial","Europe","4/30/2020 17:00","K_Kapsar",2012,"Martin","Birds","Unclear/unspecified","2","1998","2008","Unknown/Unclear","","Continuous","Before, During","Agri-environmental policy","No","","Sub-national (within-country region)","","1","Percent change in population size","No","Birds"
"USA",5063,"USA","Secondary","Primary","Migration (human)","Aggregate institutional data","Biological field observations","Terrestrial","North America","4/30/2020 17:10","Y_Zhang",2019,"Warren","Birds","Sub-national (within-country region)","2","2006-2008","2011-2013","Unknown/Unclear","Field work days involved","Continuous","Before, After","Urbanization between two study years","No","","Sub-national (within-country region)","","3","Richness, occupancy, abundance","No","Birds"
"AUS",396,"AUS","Secondary","Secondary","Tourism","Aggregate institutional data","Aggregate institutional data","Terrestrial","Oceania","4/30/2020 17:13","M_Lei",2019,"Wraith","Plants/trees/shrubs","Global (>100 countries)","1","2018","2018","Annually","","Continuous","During","tourism and grazing, Get the data through the report: number of threatened species","Yes","","Sub-national (within-country region)","","1","orchids richness ","No","Plants"
"BWA;ZAF;ZWE",2284,"BWA;ZAF;ZWE","Secondary","Secondary","Tourism","Aggregate institutional data","Aggregate institutional data","Terrestrial","Africa","4/30/2020 17:29","M_Lei",2016,"Selier","Mammals","Global (>100 countries)","7","2000","2012","(2000, 2001, 2004, 2007, 2008, 2010 and 2012)","","Continuous","After"," tourism,Number of tourists who travel to a country other than that in which they have their usual residence","Yes","","National","","1","tourist numbers","No","Mammals"
"ITA",5076,"ITA","Secondary","Primary","Trade","Aggregate institutional data","Biological field observations","Terrestrial","Europe","4/30/2020 18:03","Y_Zhang",2018,"Assandri","Birds","Sub-national (within-country region)","2","2017","2017","Unknown/Unclear","Three visits/surveys during breeding seasons","Continuous","After","Agriculture (EU CAP policy)","No","","Sub-national (within-country region)","","1","Richness","No","Birds"
"GRC",80,"GRC","Secondary","Primary","Investment","Remote sensing","Biological field observations","Terrestrial","Europe","4/30/2020 18:34","M_Lei",2019,"Krawczyk","Birds, Reptiles","Sub-national (within-country region)","1","2016","2016","Annually","","Categorical","After","Investment(building and road)","No","","Sub-national (within-country region)","","2","bird and reptile abundance","No","Birds; Reptiles"
"IND",708,"IND","Primary","Primary","Trade","Field observations","Biological field observations","Freshwater","Asia","4/30/2020 19:27","M_Lei",2018,"Raghavan","Fish","Sub-national (within-country region)","30",NA,NA,"Monthly","","Continuous","After","unmanaged harvests, no quantify","No","","Sub-national (within-country region)","","2","unmanaged harvests for the aquarium trade","No","Fish"
"AUS",4832,"AUS","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","Oceania","4/30/2020 21:27","M_Lei",2013,"SILCOCK","Plants/trees/shrubs","Sub-national (within-country region)","1","2010","2010","Unknown/Unclear","","Continuous","During","grazing, a control group was set up","No","","Sub-national (within-country region)","","2","richness and abundance","No","Plants"
"IDN",2402,"IDN","Primary","Primary","Investment","Field observations","Biological field observations","Terrestrial","Oceania","5/11/2020 10:04","R_Chen",2016,"Tata","Plants/trees/shrubs","Sub-national (within-country region)","2","2014","2014","Seasonally","2 times","Continuous","During","domestication ","No","","Sub-national (within-country region)","","1","growth rate of trees","No","Plants"
"CHN",2504,"CHN","Primary","Primary","Migration (human)","Field observations","Biological field observations","Freshwater","Asia","5/11/2020 10:33","R_Chen",2016,"Dronova","Birds","Sub-national (within-country region)","1","2006","2006","Daily","","Categorical","During","count the waterbirds","No","","Sub-national (within-country region)","","1","number of waterbirds","No","Birds"
"DEU",6348,"DEU","Primary","Primary","Technology Transfer","Field observations","Biological field observations","Freshwater","Europe","5/11/2020 12:22","R_Chen",2011,"Sundermann","Invertebrates","Sub-national (within-country region)","2","2007","2008","Annually","annual","Continuous","During","no peri or telecoupled flow","No","","Sub-national (within-country region)","","1","Number of available benthic invertebrate samples","No","Invertebrates"
"USA",854,"USA","Primary","Primary","Investment","Remote sensing","Remote sensing","Terrestrial","North America","5/11/2020 13:22","R_Chen",2018,"Yi","habitat","Sub-national (within-country region)","2","1984","2010","Unknown/Unclear","multi years","Continuous","During","using InVEST model","No","","Sub-national (within-country region)","","1","Habitat quality index","No","habitat"
"CHN",3790002,"CHN","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Asia","5/12/2020 12:01","R_Chen",2019,"Liu","Plants/trees/shrubs","Sub-national (within-country region)","1",NA,NA,"Unknown/Unclear","not mentioned","Continuous","After","established a regression model to explain the relationship between human interference and abun-dance of bryophytes in the five sinkholes,","No","","Sub-national (within-country region)","","1","number of species","No","Plants"
